scenario,bundle,method,n,benign,malicious,tn,fp,fn,tp,corrected,introduced,switches,net_corrected,macro_f1,malicious_recall,false_positive_rate
ALL_qualified_author_flows,0,Temporal,1159418,465990,693428,0,465990,0,693428,0,0,0,0,0.3742502075185957,1.0,1.0
ALL_qualified_author_flows,0,Stats,1159418,465990,693428,63,465927,119,693309,63,119,182,-56,0.3743578841266089,0.9998283888161424,0.9998648039657504
ALL_qualified_author_flows,0,Equal,1159418,465990,693428,0,465990,118,693310,0,118,118,-118,0.37421035359750593,0.9998298309269311,1.0
ALL_qualified_author_flows,0,Fixed,1159418,465990,693428,2,465988,0,693428,2,0,2,2,0.3742549034115614,1.0,0.9999957080624048
ALL_qualified_author_flows,0,Fixed-Dev16,1159418,465990,693428,2,465988,0,693428,2,0,2,2,0.3742549034115614,1.0,0.9999957080624048
ALL_qualified_author_flows,0,Logistic-0.5,1159418,465990,693428,2,465988,0,693428,2,0,2,2,0.3742549034115614,1.0,0.9999957080624048
ALL_qualified_author_flows,0,HGB-0.5,1159418,465990,693428,0,465990,0,693428,0,0,0,0,0.3742502075185957,1.0,1.0
ALL_qualified_author_flows,0,Logistic-Dev16,1159418,465990,693428,2,465988,0,693428,2,0,2,2,0.3742549034115614,1.0,0.9999957080624048
ALL_qualified_author_flows,0,HGB-Dev16,1159418,465990,693428,0,465990,0,693428,0,0,0,0,0.3742502075185957,1.0,1.0
ALL_qualified_author_flows,0,Logistic-Global4,1159418,465990,693428,2,465988,0,693428,2,0,2,2,0.3742549034115614,1.0,0.9999957080624048
ALL_qualified_author_flows,0,HGB-Global4,1159418,465990,693428,0,465990,0,693428,0,0,0,0,0.3742502075185957,1.0,1.0
ALL_qualified_author_flows,1,Temporal,1159418,465990,693428,33500,432490,431635,261793,0,0,0,0,0.22462893472057038,0.377534509711174,0.9281100452799417
ALL_qualified_author_flows,1,Stats,1159418,465990,693428,1754,464236,118,693310,433380,33609,466989,399771,0.37831392748605336,0.9998298309269311,0.9962359707289856
ALL_qualified_author_flows,1,Equal,1159418,465990,693428,5734,460256,0,693428,432639,28770,461409,403869,0.38756740741912304,1.0,0.9876950149144832
ALL_qualified_author_flows,1,Fixed,1159418,465990,693428,4759,461231,0,693428,431664,28770,460434,402894,0.38532335880801727,1.0,0.9897873344921565
ALL_qualified_author_flows,1,Fixed-Dev16,1159418,465990,693428,4730,461260,0,693428,431635,28770,460405,402865,0.38525648614896274,1.0,0.9898495675872873
ALL_qualified_author_flows,1,Logistic-0.5,1159418,465990,693428,4732,461258,4,693424,431633,28770,460403,402863,0.38525966058718303,0.9999942315568451,0.989845275649692
ALL_qualified_author_flows,1,HGB-0.5,1159418,465990,693428,4732,461258,4,693424,431633,28770,460403,402863,0.38525966058718303,0.9999942315568451,0.989845275649692
ALL_qualified_author_flows,1,Logistic-Dev16,1159418,465990,693428,4730,461260,4,693424,431631,28770,460401,402861,0.3852550484803149,0.9999942315568451,0.9898495675872873
ALL_qualified_author_flows,1,HGB-Dev16,1159418,465990,693428,4730,461260,4,693424,431631,28770,460401,402861,0.3852550484803149,0.9999942315568451,0.9898495675872873
ALL_qualified_author_flows,1,Logistic-Global4,1159418,465990,693428,33500,432490,431635,261793,0,0,0,0,0.22462893472057038,0.377534509711174,0.9281100452799417
ALL_qualified_author_flows,1,HGB-Global4,1159418,465990,693428,33500,432490,431635,261793,0,0,0,0,0.22462893472057038,0.377534509711174,0.9281100452799417
ALL_qualified_author_flows,2,Temporal,1159418,465990,693428,14,465976,0,693428,0,0,0,0,0.37428307801402616,1.0,0.9999699564368334
ALL_qualified_author_flows,2,Stats,1159418,465990,693428,3484,462506,118,693310,3478,126,3604,3352,0.3823345772818821,0.9998298309269311,0.9925234447091139
ALL_qualified_author_flows,2,Equal,1159418,465990,693428,17,465973,118,693310,3,118,121,-115,0.3742502581592682,0.9998298309269311,0.9999635185304405
ALL_qualified_author_flows,2,Fixed,1159418,465990,693428,3487,462503,0,693428,3473,0,3473,3473,0.3823832769950546,1.0,0.992517006802721
