fold_id,arbiter,selected,selected_low,selected_high,best_numeric_candidates,best_prediction_patterns,J,U,selected_errors,oracle_E,oracle_F,within,between,closure
0,logistic,0,0.25,0.25,16,1,16,2,2,2,2,0,0,0
0,hgb,0,0.25,0.25,16,1,16,2,2,2,2,0,0,0
1,logistic,3,0.25,1.01,3,1,3,1,283,283,283,0,0,0
1,hgb,3,0.25,1.01,3,1,3,2,284,282,203,2,79,0
2,logistic,0,0.25,0.25,16,1,16,1,2366,2366,2366,0,0,0
2,hgb,0,0.25,0.25,16,1,16,2,2299,2299,2299,0,0,0
3,logistic,0,0.25,0.25,16,1,16,2,207,177,177,30,0,0
3,hgb,0,0.25,0.25,16,1,16,4,197,167,167,30,0,0
4,logistic,0,0.25,0.25,8,1,8,1,27,27,27,0,0,0
4,hgb,0,0.25,0.25,16,1,16,1,27,27,27,0,0,0
