method,n,tn,fp,fn,tp,macro_f1,malicious_recall,false_positive_rate,C,D,switches,corrected_FN,corrected_FP,introduced_FN,introduced_FP,calls
Temporal,40000,17399,2601,256,19744,0.9283286734898359,0.9872,0.13005,0,0,0,0,0,0,0,1.0
Stats-ExtraTrees,40000,12396,7604,156,19844,0.7990323636209793,0.9922,0.3802,971,5874,6845,217,754,117,5757,1.0
Fixed,40000,17609,2391,239,19761,0.9340591381317742,0.98805,0.11955,263,36,299,20,243,3,33,1.103525
Fixed-Dev16,40000,17608,2392,238,19762,0.9340587821728674,0.9881,0.1196,262,35,297,20,242,2,33,1.103525
Logistic-0.5,40000,17452,2548,258,19742,0.9296193229321177,0.9871,0.1274,83,32,115,0,83,2,30,1.103525
Logistic-Dev16,40000,17372,2628,257,19743,0.9276206934517228,0.98715,0.1314,3,31,34,0,3,1,30,1.103525
Logistic-Global4,40000,17372,2628,257,19743,0.9276206934517228,0.98715,0.1314,3,31,34,0,3,1,30,1.103525
HGB-0.5,40000,17527,2473,257,19743,0.9315398849533033,0.98715,0.12365,161,34,195,1,160,2,32,1.103525
HGB-Dev16,40000,17448,2552,257,19743,0.9295430634711745,0.98715,0.1276,82,34,116,1,81,2,32,1.103525
HGB-Global4,40000,17450,2550,258,19742,0.9295687537936431,0.9871,0.1275,81,32,113,0,81,2,30,1.103525
