fold_id,arbiter,selection_delta_pp,outer_delta_pp,n,tn,fp,fn,tp,macro_f1,malicious_recall,false_positive_rate,C,D,switches,corrected_FN,corrected_FP,introduced_FN,introduced_FP
0,logistic,0.0,0.0,8000,4000,0,2,3998,0.9997499999843751,0.9995,0.0,0,0,0,0,0,0,0
0,hgb,0.0,0.0,8000,4000,0,2,3998,0.9997499999843751,0.9995,0.0,0,0,0,0,0,0,0
1,logistic,0.1500034875493217,-0.986693808153194,8000,3917,83,200,3800,0.9646174320004164,0.95,0.02075,1,80,81,1,0,0,80
1,hgb,0.07500127970003767,-0.9867287347153475,8000,3915,85,199,3801,0.9644927898171323,0.95025,0.02125,0,79,79,0,0,0,79
2,logistic,0.0,0.0,8000,1640,2360,6,3994,0.6762157697562949,0.9985,0.59,0,0,0,0,0,0,0
2,hgb,0.0,0.0,8000,1708,2292,7,3993,0.6870979362873759,0.99825,0.573,0,0,0,0,0,0,0
3,logistic,0.0,0.0,8000,3815,185,22,3978,0.9741142537751336,0.9945,0.04625,0,0,0,0,0,0,0
3,hgb,0.0,0.0,8000,3825,175,22,3978,0.9753659897258358,0.9945,0.04375,0,0,0,0,0,0,0
4,logistic,0.0,0.0,8000,4000,0,27,3973,0.9966249615562027,0.99325,0.0,0,0,0,0,0,0,0
4,hgb,0.0,0.0,8000,4000,0,27,3973,0.9966249615562027,0.99325,0.0,0,0,0,0,0,0,0
