fold_id,condition,arbiter,selected_candidate,selected_low,selected_high,feasible_candidates,best_rank_tuple_candidates,best_rank_tuple_patterns,best_f1_candidates,best_f1_patterns,selected_pattern_candidates,selected_pattern_outer_patterns,outer_FP_min,outer_FP_max,outer_FN_min,outer_FN_max,selected_outer_errors,oracle_E_errors,oracle_F_errors,within_class_error_space,between_class_error_space,total_error_space,closure_residual
0,row100,logistic,0,0.25,0.25,16,16,1,16,1,16,2,0,3,1,1,1,1,1,0,0,0,0
0,row100,hgb,0,0.25,0.25,16,16,1,16,1,16,1,3,3,1,1,4,4,4,0,0,0,0
0,source_concentrated,logistic,0,0.25,0.25,16,16,1,16,1,16,2,0,3,1,1,1,1,1,0,0,0,0
0,source_concentrated,hgb,0,0.25,0.25,16,16,1,16,1,16,2,0,3,1,1,1,1,1,0,0,0,0
1,row100,logistic,3,0.25,1.01,6,1,1,1,1,1,1,86,86,200,200,286,286,212,0,74,74,0
1,row100,hgb,3,0.25,1.01,13,3,1,3,1,3,1,86,86,200,200,286,286,283,0,3,3,0
1,source_concentrated,logistic,3,0.25,1.01,4,4,1,4,1,4,3,83,86,200,200,286,283,283,3,0,3,0
1,source_concentrated,hgb,1,0.25,0.5,12,9,1,9,1,9,2,85,86,200,231,316,286,283,30,3,33,0
2,row100,logistic,0,0.25,0.25,16,16,1,16,1,16,1,2360,2360,6,6,2366,2366,2366,0,0,0,0
2,row100,hgb,0,0.25,0.25,16,16,1,16,1,16,6,2360,2360,1,7,2362,2361,2361,1,0,1,0
2,source_concentrated,logistic,0,0.25,0.25,16,16,1,16,1,16,1,2360,2360,6,6,2366,2366,2366,0,0,0,0
2,source_concentrated,hgb,0,0.25,0.25,16,16,1,16,1,16,4,2360,2360,1,7,2362,2361,2361,1,0,1,0
3,row100,logistic,0,0.25,0.25,16,12,1,12,1,12,2,180,185,0,0,180,180,172,0,8,8,0
3,row100,hgb,0,0.25,0.25,16,12,1,12,1,12,6,157,185,0,0,175,157,157,18,0,18,0
3,source_concentrated,logistic,0,0.25,0.25,16,12,1,12,1,12,3,175,185,0,0,175,175,167,0,8,8,0
3,source_concentrated,hgb,0,0.25,0.25,16,12,1,12,1,12,4,161,185,0,0,179,161,161,18,0,18,0
4,row100,logistic,0,0.25,0.25,16,16,1,16,1,16,1,0,0,27,27,27,27,27,0,0,0,0
4,row100,hgb,0,0.25,0.25,16,16,1,16,1,16,4,0,2,20,31,26,22,22,4,0,4,0
4,source_concentrated,logistic,0,0.25,0.25,16,16,1,16,1,16,1,0,0,27,27,27,27,27,0,0,0,0
4,source_concentrated,hgb,0,0.25,0.25,16,16,1,16,1,16,4,0,2,17,32,24,19,19,5,0,5,0
