fold_id,condition,arbiter,role,selected_candidate,candidate_set,candidates,n,triggered,triggered_disagreements,m,K,m_benign,m_malicious,m_first_benign,m_first_malicious,best_dev_patterns,best_dev_candidates
0,row100,logistic,selection,0,all,16,4000,4,0,0,1,0,0,0,0,1,16
0,row100,logistic,selection,0,dev_feasible,16,4000,4,0,0,1,0,0,0,0,1,16
0,row100,logistic,evaluation,0,all,16,8000,142,3,3,2,3,0,0,3,1,16
0,row100,logistic,evaluation,0,dev_feasible,16,8000,142,3,3,2,3,0,0,3,1,16
0,row100,hgb,selection,0,all,16,4000,4,0,0,1,0,0,0,0,1,16
0,row100,hgb,selection,0,dev_feasible,16,4000,4,0,0,1,0,0,0,0,1,16
0,row100,hgb,evaluation,0,all,16,8000,142,3,0,1,0,0,0,0,1,16
0,row100,hgb,evaluation,0,dev_feasible,16,8000,142,3,0,1,0,0,0,0,1,16
0,source_concentrated,logistic,selection,0,all,16,4000,4,0,0,1,0,0,0,0,1,16
0,source_concentrated,logistic,selection,0,dev_feasible,16,4000,4,0,0,1,0,0,0,0,1,16
0,source_concentrated,logistic,evaluation,0,all,16,8000,142,3,3,2,3,0,0,3,1,16
0,source_concentrated,logistic,evaluation,0,dev_feasible,16,8000,142,3,3,2,3,0,0,3,1,16
0,source_concentrated,hgb,selection,0,all,16,4000,4,0,0,1,0,0,0,0,1,16
0,source_concentrated,hgb,selection,0,dev_feasible,16,4000,4,0,0,1,0,0,0,0,1,16
0,source_concentrated,hgb,evaluation,0,all,16,8000,142,3,3,2,3,0,0,3,1,16
0,source_concentrated,hgb,evaluation,0,dev_feasible,16,8000,142,3,3,2,3,0,0,3,1,16
1,row100,logistic,selection,3,all,16,4000,56,9,6,9,0,6,2,4,1,1
1,row100,logistic,selection,3,dev_feasible,6,4000,56,9,4,4,0,4,2,2,1,1
1,row100,logistic,evaluation,3,all,16,8000,253,142,90,8,81,9,3,87,1,1
1,row100,logistic,evaluation,3,dev_feasible,6,8000,253,142,85,4,80,5,3,82,1,1
1,row100,hgb,selection,3,all,16,4000,56,9,4,4,0,4,2,2,1,3
1,row100,hgb,selection,3,dev_feasible,13,4000,56,9,4,3,0,4,2,2,1,3
1,row100,hgb,evaluation,3,all,16,8000,253,142,35,6,4,31,3,32,1,3
1,row100,hgb,evaluation,3,dev_feasible,13,8000,253,142,35,4,4,31,3,32,1,3
1,source_concentrated,logistic,selection,3,all,16,4000,56,9,2,2,0,2,0,2,1,4
1,source_concentrated,logistic,selection,3,dev_feasible,4,4000,56,9,0,1,0,0,0,0,1,4
1,source_concentrated,logistic,evaluation,3,all,16,8000,253,142,86,12,80,6,3,83,1,4
1,source_concentrated,logistic,evaluation,3,dev_feasible,4,8000,253,142,3,3,3,0,3,0,1,4
1,source_concentrated,hgb,selection,1,all,16,4000,56,9,3,4,0,3,1,2,1,9
1,source_concentrated,hgb,selection,1,dev_feasible,12,4000,56,9,1,2,0,1,1,0,1,9
1,source_concentrated,hgb,evaluation,1,all,16,8000,253,142,35,4,4,31,3,32,1,9
1,source_concentrated,hgb,evaluation,1,dev_feasible,12,8000,253,142,35,4,4,31,3,32,1,9
2,row100,logistic,selection,0,all,16,4000,24,0,0,1,0,0,0,0,1,16
2,row100,logistic,selection,0,dev_feasible,16,4000,24,0,0,1,0,0,0,0,1,16
2,row100,logistic,evaluation,0,all,16,8000,3193,6,0,1,0,0,0,0,1,16
2,row100,logistic,evaluation,0,dev_feasible,16,8000,3193,6,0,1,0,0,0,0,1,16
2,row100,hgb,selection,0,all,16,4000,24,0,0,1,0,0,0,0,1,16
2,row100,hgb,selection,0,dev_feasible,16,4000,24,0,0,1,0,0,0,0,1,16
2,row100,hgb,evaluation,0,all,16,8000,3193,6,6,6,0,6,5,1,1,16
2,row100,hgb,evaluation,0,dev_feasible,16,8000,3193,6,6,6,0,6,5,1,1,16
2,source_concentrated,logistic,selection,0,all,16,4000,24,0,0,1,0,0,0,0,1,16
2,source_concentrated,logistic,selection,0,dev_feasible,16,4000,24,0,0,1,0,0,0,0,1,16
2,source_concentrated,logistic,evaluation,0,all,16,8000,3193,6,0,1,0,0,0,0,1,16
2,source_concentrated,logistic,evaluation,0,dev_feasible,16,8000,3193,6,0,1,0,0,0,0,1,16
2,source_concentrated,hgb,selection,0,all,16,4000,24,0,0,1,0,0,0,0,1,16
2,source_concentrated,hgb,selection,0,dev_feasible,16,4000,24,0,0,1,0,0,0,0,1,16
2,source_concentrated,hgb,evaluation,0,all,16,8000,3193,6,6,4,0,6,5,1,1,16
2,source_concentrated,hgb,evaluation,0,dev_feasible,16,8000,3193,6,6,4,0,6,5,1,1,16
3,row100,logistic,selection,0,all,16,4000,142,70,70,2,0,70,70,0,1,12
3,row100,logistic,selection,0,dev_feasible,16,4000,142,70,70,2,0,70,70,0,1,12
3,row100,logistic,evaluation,0,all,16,8000,233,63,57,4,35,22,52,5,1,12
3,row100,logistic,evaluation,0,dev_feasible,16,8000,233,63,57,4,35,22,52,5,1,12
3,row100,hgb,selection,0,all,16,4000,142,70,70,2,0,70,70,0,1,12
3,row100,hgb,selection,0,dev_feasible,16,4000,142,70,70,2,0,70,70,0,1,12
3,row100,hgb,evaluation,0,all,16,8000,233,63,62,9,40,22,52,10,1,12
3,row100,hgb,evaluation,0,dev_feasible,16,8000,233,63,62,9,40,22,52,10,1,12
3,source_concentrated,logistic,selection,0,all,16,4000,142,70,70,2,0,70,70,0,1,12
3,source_concentrated,logistic,selection,0,dev_feasible,16,4000,142,70,70,2,0,70,70,0,1,12
3,source_concentrated,logistic,evaluation,0,all,16,8000,233,63,62,6,40,22,52,10,1,12
3,source_concentrated,logistic,evaluation,0,dev_feasible,16,8000,233,63,62,6,40,22,52,10,1,12
3,source_concentrated,hgb,selection,0,all,16,4000,142,70,70,2,0,70,70,0,1,12
3,source_concentrated,hgb,selection,0,dev_feasible,16,4000,142,70,70,2,0,70,70,0,1,12
3,source_concentrated,hgb,evaluation,0,all,16,8000,233,63,58,6,36,22,52,6,1,12
3,source_concentrated,hgb,evaluation,0,dev_feasible,16,8000,233,63,58,6,36,22,52,6,1,12
4,row100,logistic,selection,0,all,16,4000,4,1,0,1,0,0,0,0,1,16
4,row100,logistic,selection,0,dev_feasible,16,4000,4,1,0,1,0,0,0,0,1,16
4,row100,logistic,evaluation,0,all,16,8000,320,37,0,1,0,0,0,0,1,16
4,row100,logistic,evaluation,0,dev_feasible,16,8000,320,37,0,1,0,0,0,0,1,16
4,row100,hgb,selection,0,all,16,4000,4,1,0,1,0,0,0,0,1,16
4,row100,hgb,selection,0,dev_feasible,16,4000,4,1,0,1,0,0,0,0,1,16
4,row100,hgb,evaluation,0,all,16,8000,320,37,13,4,2,11,9,4,1,16
4,row100,hgb,evaluation,0,dev_feasible,16,8000,320,37,13,4,2,11,9,4,1,16
4,source_concentrated,logistic,selection,0,all,16,4000,4,1,0,1,0,0,0,0,1,16
4,source_concentrated,logistic,selection,0,dev_feasible,16,4000,4,1,0,1,0,0,0,0,1,16
4,source_concentrated,logistic,evaluation,0,all,16,8000,320,37,0,1,0,0,0,0,1,16
4,source_concentrated,logistic,evaluation,0,dev_feasible,16,8000,320,37,0,1,0,0,0,0,1,16
4,source_concentrated,hgb,selection,0,all,16,4000,4,1,0,1,0,0,0,0,1,16
4,source_concentrated,hgb,selection,0,dev_feasible,16,4000,4,1,0,1,0,0,0,0,1,16
4,source_concentrated,hgb,evaluation,0,all,16,8000,320,37,17,4,2,15,12,5,1,16
4,source_concentrated,hgb,evaluation,0,dev_feasible,16,8000,320,37,17,4,2,15,12,5,1,16
