fold_id,arbiter,seed,arm,m_benign,K_benign,m_malicious,K_malicious,FP_min,FP_max,TP_min,TP_max,feasible_candidates,half_feasible,selected_original,selected_ablated,choice_changed,all_max_F1_candidates_feasible,selected_TP_is_max
0,logistic,20260922,low,0,1,0,1,0,0,1000,1000,16,True,0,0,False,True,True
0,logistic,20260922,random,0,1,0,1,0,0,1000,1000,16,True,0,0,False,True,True
0,logistic,20260922,high,0,1,0,1,0,0,1000,1000,16,True,0,0,False,True,True
0,logistic,20260923,low,0,1,0,1,0,0,999,999,16,True,0,0,False,True,True
0,logistic,20260923,random,0,1,0,1,0,0,999,999,16,True,0,0,False,True,True
0,logistic,20260923,high,0,1,0,1,0,0,999,999,16,True,0,0,False,True,True
0,logistic,20260924,low,0,1,0,1,0,0,1000,1000,16,True,0,0,False,True,True
0,logistic,20260924,random,0,1,0,1,0,0,1000,1000,16,True,0,0,False,True,True
0,logistic,20260924,high,0,1,0,1,0,0,1000,1000,16,True,0,0,False,True,True
0,hgb,20260922,low,0,1,0,1,0,0,1000,1000,16,True,0,0,False,True,True
0,hgb,20260922,random,0,1,0,1,0,0,1000,1000,16,True,0,0,False,True,True
0,hgb,20260922,high,0,1,0,1,0,0,1000,1000,16,True,0,0,False,True,True
0,hgb,20260923,low,0,1,0,1,0,0,999,999,16,True,0,0,False,True,True
0,hgb,20260923,random,0,1,0,1,0,0,999,999,16,True,0,0,False,True,True
0,hgb,20260923,high,0,1,0,1,0,0,999,999,16,True,0,0,False,True,True
0,hgb,20260924,low,0,1,0,1,0,0,1000,1000,16,True,0,0,False,True,True
0,hgb,20260924,random,0,1,0,1,0,0,1000,1000,16,True,0,0,False,True,True
0,hgb,20260924,high,0,1,0,1,0,0,1000,1000,16,True,0,0,False,True,True
1,logistic,20260922,low,0,1,0,1,0,0,995,995,16,True,0,0,False,True,True
1,logistic,20260922,random,0,1,1,2,0,0,994,995,4,False,3,3,False,True,True
1,logistic,20260922,high,0,1,6,9,0,0,989,995,6,False,3,3,False,True,True
1,logistic,20260923,low,0,1,0,1,0,0,996,996,16,True,0,0,False,True,True
1,logistic,20260923,random,0,1,4,6,0,0,992,996,10,True,3,3,False,True,True
1,logistic,20260923,high,0,1,6,9,0,0,990,996,6,False,3,3,False,True,True
1,logistic,20260924,low,0,1,0,1,0,0,995,995,16,True,0,0,False,True,True
1,logistic,20260924,random,0,1,3,6,0,0,992,995,10,True,3,3,False,True,True
1,logistic,20260924,high,0,1,6,9,0,0,989,995,6,False,3,3,False,True,True
1,hgb,20260922,low,0,1,0,1,0,0,995,995,16,True,0,0,False,True,True
1,hgb,20260922,random,0,1,1,2,0,0,994,995,4,False,3,3,False,True,True
1,hgb,20260922,high,0,1,4,4,0,0,991,995,13,True,3,3,False,True,True
1,hgb,20260923,low,0,1,0,1,0,0,996,996,16,True,0,0,False,True,True
1,hgb,20260923,random,0,1,2,4,0,0,994,996,13,True,3,3,False,True,True
1,hgb,20260923,high,0,1,4,4,0,0,992,996,13,True,3,3,False,True,True
1,hgb,20260924,low,0,1,0,1,0,0,995,995,16,True,0,0,False,True,True
1,hgb,20260924,random,0,1,2,4,0,0,993,995,13,True,3,3,False,True,True
1,hgb,20260924,high,0,1,4,4,0,0,991,995,13,True,3,3,False,True,True
2,logistic,20260922,low,0,1,0,1,0,0,999,999,16,True,0,0,False,True,True
2,logistic,20260922,random,0,1,0,1,0,0,999,999,16,True,0,0,False,True,True
2,logistic,20260922,high,0,1,0,1,0,0,999,999,16,True,0,0,False,True,True
2,logistic,20260923,low,0,1,0,1,0,0,1000,1000,16,True,0,0,False,True,True
2,logistic,20260923,random,0,1,0,1,0,0,1000,1000,16,True,0,0,False,True,True
2,logistic,20260923,high,0,1,0,1,0,0,1000,1000,16,True,0,0,False,True,True
2,logistic,20260924,low,0,1,0,1,0,0,1000,1000,16,True,0,0,False,True,True
2,logistic,20260924,random,0,1,0,1,0,0,1000,1000,16,True,0,0,False,True,True
2,logistic,20260924,high,0,1,0,1,0,0,1000,1000,16,True,0,0,False,True,True
2,hgb,20260922,low,0,1,0,1,0,0,999,999,16,True,0,0,False,True,True
2,hgb,20260922,random,0,1,0,1,0,0,999,999,16,True,0,0,False,True,True
2,hgb,20260922,high,0,1,0,1,0,0,999,999,16,True,0,0,False,True,True
2,hgb,20260923,low,0,1,0,1,0,0,1000,1000,16,True,0,0,False,True,True
2,hgb,20260923,random,0,1,0,1,0,0,1000,1000,16,True,0,0,False,True,True
2,hgb,20260923,high,0,1,0,1,0,0,1000,1000,16,True,0,0,False,True,True
2,hgb,20260924,low,0,1,0,1,0,0,1000,1000,16,True,0,0,False,True,True
2,hgb,20260924,random,0,1,0,1,0,0,1000,1000,16,True,0,0,False,True,True
2,hgb,20260924,high,0,1,0,1,0,0,1000,1000,16,True,0,0,False,True,True
3,logistic,20260922,low,0,1,0,1,829,829,1000,1000,16,True,0,0,False,True,True
3,logistic,20260922,random,0,1,41,2,829,829,959,1000,16,True,0,0,False,True,True
3,logistic,20260922,high,0,1,70,2,829,829,930,1000,16,True,0,0,False,True,True
3,logistic,20260923,low,0,1,0,1,831,831,999,999,16,True,0,0,False,True,True
