left,right,metric,difference,conditional_low,conditional_high,replicates,unit
Fixed-Dev16,Fixed,macro_f1,-0.0006296203605220541,-0.005369819373457768,0.002768516815103763,1000,"existing group, class-stratified"
Fixed-Dev16,Fixed,malicious_recall,0.0027000000000000357,0.0,0.007699999999999929,1000,"existing group, class-stratified"
Fixed-Dev16,Fixed,false_positive_rate,0.003899999999999987,0.0,0.011700000000000002,1000,"existing group, class-stratified"
Fixed-Dev16,Fixed,C,-78.0,-234.0,0.0,1000,"existing group, class-stratified"
Fixed-Dev16,Fixed,D,-54.0,-154.0,0.0,1000,"existing group, class-stratified"
Logistic-Dev16,Fixed-Dev16,macro_f1,-9.863580063873556e-05,-0.0005032182408429925,0.0003019401147679956,1000,"existing group, class-stratified"
Logistic-Dev16,Fixed-Dev16,malicious_recall,-0.000300000000000078,-0.0007025000000000307,0.0,1000,"existing group, class-stratified"
Logistic-Dev16,Fixed-Dev16,false_positive_rate,-9.999999999998899e-05,-0.0008999999999999845,0.0005999999999999894,1000,"existing group, class-stratified"
Logistic-Dev16,Fixed-Dev16,C,-23.0,-51.0,0.0,1000,"existing group, class-stratified"
Logistic-Dev16,Fixed-Dev16,D,-19.0,-45.0,-1.0,1000,"existing group, class-stratified"
HGB-Dev16,Fixed-Dev16,macro_f1,7.548645394184206e-05,-0.00022606338038934915,0.0004505914722539389,1000,"existing group, class-stratified"
HGB-Dev16,Fixed-Dev16,malicious_recall,4.999999999999449e-05,0.0,0.00014999999999998348,1000,"existing group, class-stratified"
HGB-Dev16,Fixed-Dev16,false_positive_rate,-9.999999999998899e-05,-0.0008500000000000002,0.0005000000000000004,1000,"existing group, class-stratified"
HGB-Dev16,Fixed-Dev16,C,-9.0,-24.0,0.0,1000,"existing group, class-stratified"
HGB-Dev16,Fixed-Dev16,D,-12.0,-32.0,2.0,1000,"existing group, class-stratified"
Logistic-Global4,Logistic-Dev16,macro_f1,7.591404424822645e-05,0.0,0.00022969097319952558,1000,"existing group, class-stratified"
Logistic-Global4,Logistic-Dev16,malicious_recall,0.0,0.0,0.0,1000,"existing group, class-stratified"
Logistic-Global4,Logistic-Dev16,false_positive_rate,-0.00015000000000001124,-0.00045000000000000595,0.0,1000,"existing group, class-stratified"
Logistic-Global4,Logistic-Dev16,C,0.0,0.0,0.0,1000,"existing group, class-stratified"
Logistic-Global4,Logistic-Dev16,D,-3.0,-9.0,0.0,1000,"existing group, class-stratified"
HGB-Global4,HGB-Dev16,macro_f1,7.591595847256105e-05,0.0,0.00022970293993152533,1000,"existing group, class-stratified"
HGB-Global4,HGB-Dev16,malicious_recall,0.0,0.0,0.0,1000,"existing group, class-stratified"
HGB-Global4,HGB-Dev16,false_positive_rate,-0.00015000000000001124,-0.00045000000000000595,0.0,1000,"existing group, class-stratified"
HGB-Global4,HGB-Dev16,C,0.0,0.0,0.0,1000,"existing group, class-stratified"
HGB-Global4,HGB-Dev16,D,-3.0,-9.0,0.0,1000,"existing group, class-stratified"
