fold_id,method,n,tn,fp,fn,tp,macro_f1,malicious_recall,false_positive_rate,C,D,switches
0,Temporal,8000,3997,3,1,3999,0.9994999999687499,0.99975,0.00075,0,0,0
0,Fixed,8000,4000,0,1,3999,0.999874999998047,0.99975,0.0,3,0,3
0,Fixed-Dev16,8000,4000,0,1,3999,0.999874999998047,0.99975,0.0,3,0,3
0,Logistic-0.5,8000,4000,0,1,3999,0.999874999998047,0.99975,0.0,3,0,3
0,HGB-0.5,8000,3997,3,1,3999,0.9994999999687499,0.99975,0.00075,0,0,0
0,Logistic-Dev16,8000,4000,0,1,3999,0.999874999998047,0.99975,0.0,3,0,3
0,Logistic-Global4,8000,4000,0,1,3999,0.999874999998047,0.99975,0.0,3,0,3
0,HGB-Dev16,8000,3997,3,1,3999,0.9994999999687499,0.99975,0.00075,0,0,0
0,HGB-Global4,8000,3997,3,1,3999,0.9994999999687499,0.99975,0.00075,0,0,0
1,Temporal,8000,3917,83,200,3800,0.9646174320004164,0.95,0.02075,0,0,0
1,Fixed,8000,3986,14,254,3746,0.9664698228405565,0.9365,0.0035,78,63,141
1,Fixed-Dev16,8000,3908,92,200,3800,0.9634933466624293,0.95,0.023,0,9,9
1,Logistic-0.5,8000,3991,9,205,3795,0.9732339336686846,0.94875,0.00225,77,8,85
1,HGB-0.5,8000,3915,85,231,3769,0.9604868396480303,0.94225,0.02125,1,34,35
1,Logistic-Dev16,8000,3914,86,200,3800,0.9642427390411965,0.95,0.0215,0,3,3
1,Logistic-Global4,8000,3917,83,200,3800,0.9646174320004164,0.95,0.02075,0,0,0
1,HGB-Dev16,8000,3914,86,200,3800,0.9642427390411965,0.95,0.0215,0,3,3
1,HGB-Global4,8000,3917,83,200,3800,0.9646174320004164,0.95,0.02075,0,0,0
2,Temporal,8000,1640,2360,6,3994,0.6762157697562949,0.9985,0.59,0,0,0
2,Fixed,8000,1640,2360,2,3998,0.6766589146485626,0.9995,0.59,5,1,6
2,Fixed-Dev16,8000,1640,2360,2,3998,0.6766589146485626,0.9995,0.59,5,1,6
2,Logistic-0.5,8000,1640,2360,6,3994,0.6762157697562949,0.9985,0.59,0,0,0
2,HGB-0.5,8000,1640,2360,3,3997,0.6765481182326134,0.99925,0.59,4,1,5
2,Logistic-Dev16,8000,1640,2360,6,3994,0.6762157697562949,0.9985,0.59,0,0,0
2,Logistic-Global4,8000,1640,2360,6,3994,0.6762157697562949,0.9985,0.59,0,0,0
2,HGB-Dev16,8000,1640,2360,2,3998,0.6766589146485626,0.9995,0.59,5,1,6
2,HGB-Global4,8000,1640,2360,2,3998,0.6766589146485626,0.9995,0.59,5,1,6
3,Temporal,8000,3845,155,22,3978,0.9778688831667866,0.9945,0.03875,0,0,0
3,Fixed,8000,3824,176,0,4000,0.9779893468438724,1.0,0.044,32,31,63
3,Fixed-Dev16,8000,3824,176,0,4000,0.9779893468438724,1.0,0.044,32,31,63
3,Logistic-0.5,8000,3820,180,0,4000,0.9774886036055753,1.0,0.045,27,30,57
3,HGB-0.5,8000,3821,179,0,4000,0.9776137925551134,1.0,0.04475,28,30,58
3,Logistic-Dev16,8000,3820,180,0,4000,0.9774886036055753,1.0,0.045,27,30,57
3,Logistic-Global4,8000,3820,180,0,4000,0.9774886036055753,1.0,0.045,27,30,57
3,HGB-Dev16,8000,3825,175,0,4000,0.9781145274594288,1.0,0.04375,32,30,62
3,HGB-Global4,8000,3825,175,0,4000,0.9781145274594288,1.0,0.04375,32,30,62
4,Temporal,8000,4000,0,27,3973,0.9966249615562027,0.99325,0.0,0,0,0
4,Fixed,8000,4000,0,25,3975,0.9968749694821238,0.99375,0.0,13,11,24
4,Fixed-Dev16,8000,4000,0,25,3975,0.9968749694821238,0.99375,0.0,13,11,24
4,Logistic-0.5,8000,4000,0,27,3973,0.9966249615562027,0.99325,0.0,0,0,0
4,HGB-0.5,8000,3998,2,24,3976,0.9967499754216891,0.994,0.0005,7,6,13
4,Logistic-Dev16,8000,4000,0,27,3973,0.9966249615562027,0.99325,0.0,0,0,0
4,Logistic-Global4,8000,4000,0,27,3973,0.9966249615562027,0.99325,0.0,0,0,0
4,HGB-Dev16,8000,3998,2,24,3976,0.9967499754216891,0.994,0.0005,7,6,13
4,HGB-Global4,8000,3998,2,24,3976,0.9967499754216891,0.994,0.0005,7,6,13
