fold_id,method,candidate,parameter0,parameter1,candidate_budget,feasible_candidates,best_numeric_candidates,switches,tn,fp,fn,tp,macro_f1,malicious_recall,false_positive_rate
0,Fixed-Dev16,0,0.25,0.25,16,16,16,0,2000,0,1,1999,0.9997499999843751,0.9995,0.0
0,Logistic-Global4,0,0.25,0.25,4,4,4,0,2000,0,1,1999,0.9997499999843751,0.9995,0.0
0,HGB-Global4,0,0.25,0.25,4,4,4,0,2000,0,1,1999,0.9997499999843751,0.9995,0.0
1,Fixed-Dev16,3,0.25,no_switch,16,4,3,2,2000,0,8,1992,0.997999991999968,0.996,0.0
1,Logistic-Global4,15,1.01,1.01,4,1,1,0,2000,0,10,1990,0.9974999843749024,0.995,0.0
1,HGB-Global4,15,1.01,1.01,4,4,1,0,2000,0,10,1990,0.9974999843749024,0.995,0.0
2,Fixed-Dev16,0,0.25,0.25,16,16,16,0,2000,0,1,1999,0.9997499999843751,0.9995,0.0
2,Logistic-Global4,0,0.25,0.25,4,4,4,0,2000,0,1,1999,0.9997499999843751,0.9995,0.0
2,HGB-Global4,0,0.25,0.25,4,4,4,0,2000,0,1,1999,0.9997499999843751,0.9995,0.0
3,Fixed-Dev16,0,0.25,0.25,16,16,12,70,346,1654,1,1999,0.5010397893634195,0.9995,0.827
3,Logistic-Global4,0,0.25,0.25,4,4,3,70,346,1654,1,1999,0.5010397893634195,0.9995,0.827
3,HGB-Global4,0,0.25,0.25,4,4,3,70,346,1654,1,1999,0.5010397893634195,0.9995,0.827
4,Fixed-Dev16,0,0.25,0.25,16,16,4,1,2000,0,0,2000,1.0,1.0,0.0
4,Logistic-Global4,0,0.25,0.25,4,4,4,0,2000,0,1,1999,0.9997499999843751,0.9995,0.0
4,HGB-Global4,0,0.25,0.25,4,4,4,0,2000,0,1,1999,0.9997499999843751,0.9995,0.0
