method,macro_f1_min,macro_f1_max,malicious_recall_min,malicious_recall_max,false_positive_rate_min,false_positive_rate_max,fp_min,fp_max,fn_min,fn_max,corrected_min,corrected_max,introduced_min,introduced_max,switches_min,switches_max
Temporal,0.22462893472057038,0.40554239377337675,0.377534509711174,1.0,0.9281100452799417,1.0,432490.0,465990.0,0.0,431635.0,0.0,0.0,0.0,0.0,0.0,0.0
Stats,0.3743578841266089,0.3823345772818821,0.999809641375889,0.9999985578892113,0.9925234447091139,0.9998648039657504,462506.0,465927.0,1.0,132.0,41.0,433380.0,19.0,33609.0,182.0,466989.0
Equal,0.37421035359750593,0.38756740741912304,0.9998298309269311,1.0,0.9876950149144832,1.0,460256.0,465990.0,0.0,118.0,0.0,432639.0,18.0,28770.0,37.0,461409.0
Fixed,0.3742549034115614,0.40552901150340087,1.0,1.0,0.9706667525054186,0.9999957080624048,452321.0,465988.0,0.0,0.0,0.0,431664.0,0.0,28770.0,2.0,460434.0
Fixed-Dev16,0.3742549034115614,0.40552901150340087,1.0,1.0,0.9706667525054186,0.9999957080624048,452321.0,465988.0,0.0,0.0,0.0,431635.0,0.0,28770.0,2.0,460405.0
Logistic-0.5,0.3742549034115614,0.40554239377337675,0.9999942315568451,1.0,0.9706538766926329,0.9999957080624048,452315.0,465988.0,0.0,4.0,0.0,431633.0,0.0,28770.0,0.0,460403.0
HGB-0.5,0.3742502075185957,0.4055379330496064,0.9999942315568451,1.0,0.9706581686302281,1.0,452317.0,465990.0,0.0,4.0,0.0,431633.0,0.0,28770.0,0.0,460403.0
Logistic-Dev16,0.3742549034115614,0.40554239377337675,0.9999942315568451,1.0,0.9706538766926329,0.9999957080624048,452315.0,465988.0,0.0,4.0,0.0,431631.0,0.0,28770.0,0.0,460401.0
HGB-Dev16,0.3742502075185957,0.4055379330496064,0.9999942315568451,1.0,0.9706581686302281,1.0,452317.0,465990.0,0.0,4.0,0.0,431631.0,0.0,28770.0,0.0,460401.0
Logistic-Global4,0.22462893472057038,0.40554239377337675,0.377534509711174,1.0,0.9281100452799417,0.9999957080624048,432490.0,465988.0,0.0,431635.0,0.0,18.0,0.0,18.0,0.0,36.0
HGB-Global4,0.22462893472057038,0.4055379330496064,0.377534509711174,1.0,0.9281100452799417,1.0,432490.0,465990.0,0.0,431635.0,0.0,2191.0,0.0,18.0,0.0,2191.0
