method,condition,n,tn,fp,fn,tp,macro_f1,corrected_vs_clean,damaged_vs_clean
equal_average,original,40000,17364,2636,286,19714,0.9266969900798223,0,0
equal_average,time_scale_2,40000,16675,3325,214,19786,0.9109865621092372,73,690
fixed,original,40000,17450,2550,282,19718,0.9289716516732478,0,0
fixed,time_scale_2,40000,16799,3201,226,19774,0.9138484405337494,57,652
hgb_05,original,40000,17371,2629,259,19741,0.9275456444564673,0,0
hgb_05,time_scale_2,40000,16748,3252,237,19763,0.9122766091496295,67,668
hgb_dev,original,40000,17374,2626,227,19773,0.9284175177666676,0,0
hgb_dev,time_scale_2,40000,16730,3270,231,19769,0.9119668550255577,11,659
logistic_05,original,40000,17451,2549,239,19761,0.9300667683014583,0,0
logistic_05,time_scale_2,40000,16832,3168,236,19764,0.9144402971280363,7,623
logistic_dev,original,40000,17374,2626,234,19766,0.928243395512087,0,0
logistic_dev,time_scale_2,40000,16736,3264,229,19771,0.9121693576194615,9,642
stats,original,40000,15083,4917,617,19383,0.8600325005848841,0,0
stats,time_scale_2,40000,14513,5487,419,19581,0.8499411213271413,217,589
temporal,original,40000,17399,2601,256,19744,0.9283286734898359,0,0
temporal,time_scale_2,40000,16758,3242,251,19749,0.9121839943125145,12,648
