population,method,tn,fp,fn,tp,macro_f1,malicious_recall,false_positive_rate,n
all_eligible625523,temporal,293854,16033,1450,314186,0.9720210280025658,0.9954061006982727,0.05173821425229196,625523
common39428,temporal,17399,2601,256,19172,0.9273919824304857,0.9868231418571134,0.13005,39428
original40000,temporal,17399,2601,256,19744,0.9283286734898359,0.9872,0.13005,40000
all_eligible625523,strong_single,293840,16047,1383,314253,0.972105611181736,0.9956183705280767,0.051783392010636135,625523
common39428,strong_single,17401,2599,241,19187,0.9278218692201281,0.9875952233889232,0.12995,39428
original40000,strong_single,17401,2599,241,19759,0.9287524073125328,0.98795,0.12995,40000
all_eligible625523,equal_average,290304,19583,3191,312445,0.9635463943315887,0.989890253329785,0.06319400297527808,625523
common39428,equal_average,17364,2636,286,19142,0.9257392175703341,0.9852789787934939,0.1318,39428
original40000,equal_average,17364,2636,286,19714,0.9266969900798223,0.9857,0.1318,40000
all_eligible625523,fixed,294665,15222,3109,312527,0.9706710074688274,0.9901500462558137,0.049121131251068935,625523
common39428,fixed,17450,2550,282,19146,0.928039723956133,0.9854848672019765,0.1275,39428
original40000,fixed,17450,2550,282,19718,0.9289716516732478,0.9859,0.1275,40000
all_eligible625523,logistic_05,294749,15138,1350,314286,0.9736155188213669,0.9957229213397711,0.04885006470100391,625523
common39428,logistic_05,17451,2549,239,19189,0.9291511655203072,0.9876981675931645,0.12745,39428
original40000,logistic_05,17451,2549,239,19761,0.9300667683014583,0.98805,0.12745,40000
all_eligible625523,hgb_05,292897,16990,2295,313341,0.9691368312369317,0.9927289662776109,0.05482643673338991,625523
common39428,hgb_05,17371,2629,259,19169,0.9265999223197774,0.9866687255507515,0.13145,39428
original40000,hgb_05,17371,2629,259,19741,0.9275456444564673,0.98705,0.13145,40000
all_eligible625523,logistic_dev,293253,16634,1297,314339,0.9713017769306125,0.9958908362797653,0.05367763087835243,625523
common39428,logistic_dev,17374,2626,234,19194,0.9273078277256097,0.9879555281037677,0.1313,39428
original40000,logistic_dev,17374,2626,234,19766,0.928243395512087,0.9883,0.1313,40000
all_eligible625523,hgb_dev,293115,16772,1170,314466,0.971283345352373,0.9962931984944683,0.0541229544963164,625523
common39428,hgb_dev,17374,2626,227,19201,0.9274845522430533,0.9883158328186123,0.1313,39428
original40000,hgb_dev,17374,2626,227,19773,0.9284175177666676,0.98865,0.1313,40000
