id,source_family,path,aggregate_files,scope,status
admission_gate_resilience_addendum_w274,data/releases/mad_etd_admission_gate_resilience_addendum_w274,thesis/data/releases/mad_etd_admission_gate_resilience_addendum_w274,9,historical_thesis_evidence,recorded_files_not_a_new_reproduction
anonymous_reproducibility_capsule_w269,data/releases/mad_etd_anonymous_reproducibility_capsule_w269,thesis/data/releases/mad_etd_anonymous_reproducibility_capsule_w269,9,historical_thesis_evidence,recorded_files_not_a_new_reproduction
multidataset_skill_evidence_pack_w102,data/releases/mad_etd_multidataset_skill_evidence_pack_w102,thesis/data/releases/mad_etd_multidataset_skill_evidence_pack_w102,6,historical_thesis_evidence,recorded_files_not_a_new_reproduction
nfiot_positive_evidence_pack_w47,data/releases/mad_etd_nfiot_positive_evidence_pack_w47,thesis/data/releases/mad_etd_nfiot_positive_evidence_pack_w47,9,historical_thesis_evidence,recorded_files_not_a_new_reproduction
routing_efficiency_evidence_pack_w325,data/releases/mad_etd_routing_efficiency_evidence_pack_w325,thesis/data/releases/mad_etd_routing_efficiency_evidence_pack_w325,9,historical_thesis_evidence,recorded_files_not_a_new_reproduction
future_framework,data/runs/future_framework,thesis/data/runs/future_framework,108,historical_thesis_evidence,recorded_files_not_a_new_reproduction
architecture_governance_v6_0,data/runs/mad_etd_architecture_governance_v6_0,thesis/data/runs/mad_etd_architecture_governance_v6_0,4,historical_thesis_evidence,recorded_files_not_a_new_reproduction
baseline_comparison,data/runs/mad_etd_baseline_comparison,thesis/data/runs/mad_etd_baseline_comparison,9,historical_thesis_evidence,recorded_files_not_a_new_reproduction
dohbrw_fresh_tls_performance_w282_w286,data/runs/mad_etd_dohbrw_fresh_tls_performance_w282_w286,thesis/data/runs/mad_etd_dohbrw_fresh_tls_performance_w282_w286,9,historical_thesis_evidence,recorded_files_not_a_new_reproduction
dohbrw_independent_robustness_w287_w290,data/runs/mad_etd_dohbrw_independent_robustness_w287_w290,thesis/data/runs/mad_etd_dohbrw_independent_robustness_w287_w290,6,historical_thesis_evidence,recorded_files_not_a_new_reproduction
external_citable_multiagent_v13,data/runs/mad_etd_external_citable_multiagent_v13,thesis/data/runs/mad_etd_external_citable_multiagent_v13,9,historical_thesis_evidence,recorded_files_not_a_new_reproduction
external_citable_thesis_v14,data/runs/mad_etd_external_citable_thesis_v14,thesis/data/runs/mad_etd_external_citable_thesis_v14,11,historical_thesis_evidence,recorded_files_not_a_new_reproduction
feature_forensics_v1,data/runs/mad_etd_feature_forensics_v1,thesis/data/runs/mad_etd_feature_forensics_v1,10,historical_thesis_evidence,recorded_files_not_a_new_reproduction
feature_policy_effectiveness_v1,data/runs/mad_etd_feature_policy_effectiveness_v1,thesis/data/runs/mad_etd_feature_policy_effectiveness_v1,7,historical_thesis_evidence,recorded_files_not_a_new_reproduction
hybrid_multiagent_evidence_v1,data/runs/mad_etd_hybrid_multiagent_evidence_v1,thesis/data/runs/mad_etd_hybrid_multiagent_evidence_v1,17,historical_thesis_evidence,recorded_files_not_a_new_reproduction
layered_security_governance_w266_w270,data/runs/mad_etd_layered_security_governance_w266_w270,thesis/data/runs/mad_etd_layered_security_governance_w266_w270,9,historical_thesis_evidence,recorded_files_not_a_new_reproduction
nfiot_bot_targeted_performance_w96,data/runs/mad_etd_nfiot_bot_targeted_performance_w96,thesis/data/runs/mad_etd_nfiot_bot_targeted_performance_w96,11,historical_thesis_evidence,recorded_files_not_a_new_reproduction
nfiot_positive_replication_w45,data/runs/mad_etd_nfiot_positive_replication_w45,thesis/data/runs/mad_etd_nfiot_positive_replication_w45,8,historical_thesis_evidence,recorded_files_not_a_new_reproduction
nfiot_positive_statistical_validation_w46,data/runs/mad_etd_nfiot_positive_statistical_validation_w46,thesis/data/runs/mad_etd_nfiot_positive_statistical_validation_w46,8,historical_thesis_evidence,recorded_files_not_a_new_reproduction
thesis_agent_framework_closure_v25,data/runs/mad_etd_thesis_agent_framework_closure_v25,thesis/data/runs/mad_etd_thesis_agent_framework_closure_v25,1,historical_thesis_evidence,recorded_files_not_a_new_reproduction
thesis_blindreview_closure_v26,data/runs/mad_etd_thesis_blindreview_closure_v26,thesis/data/runs/mad_etd_thesis_blindreview_closure_v26,9,historical_thesis_evidence,recorded_files_not_a_new_reproduction
thesis_fieldaudit_batch_pairing_v1,data/runs/mad_etd_thesis_fieldaudit_batch_pairing_v1,thesis/data/runs/mad_etd_thesis_fieldaudit_batch_pairing_v1,2,historical_thesis_evidence,recorded_files_not_a_new_reproduction
thesis_fieldaudit_pairing_v1,data/runs/mad_etd_thesis_fieldaudit_pairing_v1,thesis/data/runs/mad_etd_thesis_fieldaudit_pairing_v1,1,historical_thesis_evidence,recorded_files_not_a_new_reproduction
thesis_final_evidence_v21,data/runs/mad_etd_thesis_final_evidence_v21,thesis/data/runs/mad_etd_thesis_final_evidence_v21,65,historical_thesis_evidence,recorded_files_not_a_new_reproduction
thesis_final_experiment_closure_v20,data/runs/mad_etd_thesis_final_experiment_closure_v20,thesis/data/runs/mad_etd_thesis_final_experiment_closure_v20,12,historical_thesis_evidence,recorded_files_not_a_new_reproduction
thesis_fusion_ablation_v1,data/runs/mad_etd_thesis_fusion_ablation_v1,thesis/data/runs/mad_etd_thesis_fusion_ablation_v1,4,historical_thesis_evidence,recorded_files_not_a_new_reproduction
