model_role,bin_index,confidence_low,confidence_high,sample_count,mean_confidence,accuracy
hgb_reference,0,0.0,0.1,0,,
hgb_reference,1,0.1,0.2,0,,
hgb_reference,2,0.2,0.30000000000000004,0,,
hgb_reference,3,0.30000000000000004,0.4,0,,
hgb_reference,4,0.4,0.5,0,,
hgb_reference,5,0.5,0.6000000000000001,36,0.5482229622555779,0.6388888888888888
hgb_reference,6,0.6000000000000001,0.7000000000000001,517,0.6059654508618564,0.6344294003868471
hgb_reference,7,0.7000000000000001,0.8,37,0.7438711483513525,0.8108108108108109
hgb_reference,8,0.8,0.9,94,0.8514232182844493,0.9680851063829787
hgb_reference,9,0.9,1.0,19316,0.9978272327243027,0.9982915717539863
v5_10_selective_candidate,0,0.0,0.1,0,,
v5_10_selective_candidate,1,0.1,0.2,0,,
v5_10_selective_candidate,2,0.2,0.30000000000000004,0,,
v5_10_selective_candidate,3,0.30000000000000004,0.4,0,,
v5_10_selective_candidate,4,0.4,0.5,0,,
v5_10_selective_candidate,5,0.5,0.6000000000000001,0,,
v5_10_selective_candidate,6,0.6000000000000001,0.7000000000000001,0,,
v5_10_selective_candidate,7,0.7000000000000001,0.8,0,,
v5_10_selective_candidate,8,0.8,0.9,0,,
v5_10_selective_candidate,9,0.9,1.0,18748,0.9996885882425871,0.999466609771709
