dataset,kind,level,mode,verdict_stability,coverage,ood_escalation_rate,average_agent_calls,latency_p95_ms,selective_risk
ustc,dummy_packet,high,baseline,0.7045,0.0955,0.24883333333333332,2.4143333333333334,28.93732502125204,0.2146596858638743
ustc,dummy_packet,high,full_active,0.7045,0.0955,0.24883333333333332,2.4756666666666667,33.18311499315314,0.2146596858638743
ustc,dummy_packet,high,full_shadow,0.7045,0.0955,0.24883333333333332,2.4756666666666667,33.40342498268001,0.2146596858638743
ustc,dummy_packet,low,baseline,0.791,0.03766666666666667,0.248,2.4683333333333333,28.65156500483863,0.1327433628318584
ustc,dummy_packet,low,full_active,0.791,0.03766666666666667,0.248,2.5276666666666667,32.94133495364804,0.1327433628318584
ustc,dummy_packet,low,full_shadow,0.791,0.03766666666666667,0.248,2.5276666666666667,33.010055011254735,0.1327433628318584
ustc,dummy_packet,medium,baseline,0.787,0.03216666666666667,0.24916666666666668,2.4673333333333334,28.70002002164256,0.2227979274611399
ustc,dummy_packet,medium,full_active,0.787,0.03216666666666667,0.24916666666666668,2.5221666666666667,33.20973501831759,0.2227979274611399
ustc,dummy_packet,medium,full_shadow,0.787,0.03216666666666667,0.24916666666666668,2.5221666666666667,33.225910025066696,0.2227979274611399
ustc,iat_jitter,high,baseline,0.8576666666666667,0.07083333333333333,0.2305,2.4778333333333333,28.230900003109127,0.009411764705882342
ustc,iat_jitter,high,full_active,0.8576666666666667,0.07083333333333333,0.2305,2.5351666666666666,32.53231498529203,0.009411764705882342
ustc,iat_jitter,high,full_shadow,0.8576666666666667,0.07083333333333333,0.2305,2.5351666666666666,32.64266500191298,0.009411764705882342
ustc,iat_jitter,low,baseline,0.9265,0.10983333333333334,0.041,2.5011666666666668,28.188260021852333,0.0
ustc,iat_jitter,low,full_active,0.9265,0.10983333333333334,0.041,2.5378333333333334,32.57819498539902,0.0
ustc,iat_jitter,low,full_shadow,0.9265,0.10983333333333334,0.041,2.5378333333333334,32.80434501648415,0.0
ustc,iat_jitter,medium,baseline,0.8713333333333333,0.09733333333333333,0.1555,2.4855,28.255324959172867,0.001712328767123239
ustc,iat_jitter,medium,full_active,0.8713333333333333,0.09733333333333333,0.1555,2.5366666666666666,32.633939999504946,0.001712328767123239
ustc,iat_jitter,medium,full_shadow,0.8713333333333333,0.09733333333333333,0.1555,2.5366666666666666,32.617514990852214,0.001712328767123239
ustc,padding,high,baseline,0.8698333333333333,0.0465,0.08516666666666667,2.449666666666667,28.079735016217455,0.010752688172043001
ustc,padding,high,full_active,0.8698333333333333,0.0465,0.08516666666666667,2.524,32.5246499851346,0.010752688172043001
ustc,padding,high,full_shadow,0.8698333333333333,0.0465,0.08516666666666667,2.524,32.67021504289005,0.010752688172043001
ustc,padding,low,baseline,0.951,0.10233333333333333,0.055,2.4843333333333333,27.864940007566474,0.0
ustc,padding,low,full_active,0.951,0.10233333333333333,0.055,2.537333333333333,32.25049004540779,0.0
ustc,padding,low,full_shadow,0.951,0.10233333333333333,0.055,2.537333333333333,32.27902997168713,0.0
ustc,padding,medium,baseline,0.8993333333333333,0.06183333333333333,0.1245,2.4543333333333335,27.9543099924922,0.0
ustc,padding,medium,full_active,0.8993333333333333,0.06183333333333333,0.1245,2.5361666666666665,32.567155014839955,0.0
ustc,padding,medium,full_shadow,0.8993333333333333,0.06183333333333333,0.1245,2.5361666666666665,32.55964001873508,0.0
ustc,sequence_truncation,high,baseline,0.7245,0.004333333333333333,0.31233333333333335,2.0721666666666665,27.46032001450658,0.0
ustc,sequence_truncation,high,full_active,0.7253333333333334,0.0035,0.31233333333333335,2.684,32.14315498480573,0.0
ustc,sequence_truncation,high,full_shadow,0.7245,0.004333333333333333,0.31233333333333335,2.6831666666666667,32.20266003336292,0.0
ustc,sequence_truncation,low,baseline,0.8316666666666667,0.0295,0.2575,2.4535,28.21700001368299,0.0
ustc,sequence_truncation,low,full_active,0.8316666666666667,0.0295,0.2575,2.6193333333333335,32.60077997983899,0.0
ustc,sequence_truncation,low,full_shadow,0.8316666666666667,0.0295,0.2575,2.6193333333333335,32.721295024384744,0.0
ustc,sequence_truncation,medium,baseline,0.7016666666666667,0.020166666666666666,0.2778333333333333,2.0871666666666666,27.85539999604225,0.0
ustc,sequence_truncation,medium,full_active,0.7018333333333333,0.02,0.2778333333333333,2.6523333333333334,32.49877501511946,0.0
ustc,sequence_truncation,medium,full_shadow,0.7016666666666667,0.020166666666666666,0.2778333333333333,2.6521666666666666,32.42332497029565,0.0
cipherspectrum,dummy_packet,high,baseline,0.8616666666666667,0.050333333333333334,0.202,3.0,34.36933000048157,
cipherspectrum,dummy_packet,high,full_active,0.9096666666666666,0.0,0.202,3.993,40.200720005668664,
cipherspectrum,dummy_packet,high,full_shadow,0.8616666666666667,0.050333333333333334,0.202,3.9426666666666668,40.504904979025014,
cipherspectrum,dummy_packet,low,baseline,0.969,0.018666666666666668,0.041,3.3673333333333333,34.2117850203067,
cipherspectrum,dummy_packet,low,full_active,0.9846666666666667,0.0,0.041,3.9726666666666666,39.70746501581743,
cipherspectrum,dummy_packet,low,full_shadow,0.969,0.018666666666666668,0.041,3.9486666666666665,40.23222999530844,
cipherspectrum,dummy_packet,medium,baseline,0.8923333333333333,0.063,0.07133333333333333,3.3253333333333335,35.02532503625843,
cipherspectrum,dummy_packet,medium,full_active,0.9516666666666667,0.0,0.07133333333333333,3.987,39.96886496606748,
cipherspectrum,dummy_packet,medium,full_shadow,0.8923333333333333,0.063,0.07133333333333333,3.924,39.91696002776733,
cipherspectrum,iat_jitter,high,baseline,0.798,0.0023333333333333335,0.204,3.0593333333333335,34.83576499857008,
cipherspectrum,iat_jitter,high,full_active,0.804,0.0,0.204,3.941666666666667,40.17109499836806,
