dataset,mode,sample_count,coverage,alert_rate,human_review_rate,average_agent_calls,latency_p95_ms,verdict_invariance_rate,selective_macro_f1
ustc_test,baseline,93822,0.1383257658118565,0.5111274541152395,0.8616742341881435,2.503474664790774,46.780494978884235,1.0,1.0
ustc_test,full_shadow,93822,0.1383257658118565,0.5111274541152395,0.8616742341881435,2.53393660335529,41.78080003184732,1.0,1.0
ustc_test,full_active,93822,0.13820852252137025,0.5111274541152395,0.8617914774786297,2.5340538466457763,41.145800027879886,0.9998827567095138,1.0
cesnet_50k,baseline,50000,0.00074,0.03734,0.99926,2.03138,48.302255038288415,1.0,
cesnet_50k,full_shadow,50000,0.00074,0.03734,0.99926,2.03138,44.83311999356374,1.0,
cesnet_50k,full_active,50000,0.00074,0.03734,0.99926,2.03138,44.73070502572227,1.0,
cipherspectrum_development,baseline,9600,0.0033333333333333335,0.7126041666666667,0.9966666666666667,3.3978125,45.11074495676439,1.0,
cipherspectrum_development,full_shadow,9600,0.0033333333333333335,0.7126041666666667,0.9966666666666667,3.3978125,50.05819496582262,1.0,
cipherspectrum_development,full_active,9600,0.0,0.7126041666666667,1.0,3.46875,49.532935037859716,0.9966666666666667,
cipherspectrum_validation,baseline,3200,0.0134375,0.5659375,0.9865625,3.2046875,34.204694972140715,1.0,
cipherspectrum_validation,full_shadow,3200,0.0134375,0.5659375,0.9865625,3.2046875,39.129229984246194,1.0,
cipherspectrum_validation,full_active,3200,0.0,0.5659375,1.0,3.293125,39.1031149571063,0.9865625,
cipherspectrum_locked_test,baseline,3200,0.001875,0.5884375,0.998125,3.199375,34.698604993172914,1.0,
cipherspectrum_locked_test,full_shadow,3200,0.001875,0.5884375,0.998125,3.199375,39.069829997606575,1.0,
cipherspectrum_locked_test,full_active,3200,0.0,0.5884375,1.0,3.3253125,38.95332998363301,0.998125,
