dataset,mode,sample_count,coverage_delta,human_review_rate_delta,average_agent_calls_delta,latency_mean_delta_ms,uncertainty_delta,conflict_delta,verdict_invariance_rate
ustc_test,baseline,93822,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ustc_test,memory_shadow,93822,0.0,0.0,0.030461938564515734,-0.13681594724861412,0.0,0.0,1.0
ustc_test,planner_executor,93822,0.0,0.0,0.0,-3.5892624202581764,0.0,0.0,1.0
ustc_test,deliberation_shadow,93822,0.0,0.0,0.0,-3.837548904252742,0.0,0.0,1.0
ustc_test,reflection_critic,93822,0.0,0.0,0.0,-6.478477516944089,0.0,0.0,1.0
ustc_test,full_shadow,93822,0.0,0.0,0.030461938564515734,-6.2798457897586175,0.0,0.0,1.0
ustc_test,full_active,93822,-0.00011724329048623527,0.00011724329048623527,0.03057918185500208,-6.463900755594938,3.4519240693580267e-05,-3.802429351454564e-05,0.9998827567095138
cesnet_50k,baseline,50000,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cesnet_50k,memory_shadow,50000,0.0,0.0,0.0,-2.9766820658743356,0.0,0.0,1.0
cesnet_50k,planner_executor,50000,0.0,0.0,0.0,-3.725801367799285,0.0,0.0,1.0
cesnet_50k,deliberation_shadow,50000,0.0,0.0,0.0,-4.053841338085476,0.0,0.0,1.0
cesnet_50k,reflection_critic,50000,0.0,0.0,0.0,-4.225142312030073,0.0,0.0,1.0
cesnet_50k,full_shadow,50000,0.0,0.0,0.0,-2.6965649361128428,0.0,0.0,1.0
cesnet_50k,full_active,50000,0.0,0.0,0.0,-2.7753005221032083,0.0,0.0,1.0
cipherspectrum_development,baseline,9600,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cipherspectrum_development,memory_shadow,9600,0.0,0.0,0.0,0.6603398744785736,0.0,0.0,1.0
cipherspectrum_development,planner_executor,9600,0.0,0.0,0.0,3.208121666169369,0.0,0.0,1.0
cipherspectrum_development,deliberation_shadow,9600,0.0,0.0,0.0,2.935278791246674,0.0,0.0,1.0
cipherspectrum_development,reflection_critic,9600,0.0,0.0,0.0,1.8696576767858204,0.0,0.0,1.0
cipherspectrum_development,full_shadow,9600,0.0,0.0,0.0,2.66782710352345,0.0,0.0,1.0
cipherspectrum_development,full_active,9600,-0.0033333333333333335,0.0033333333333332993,0.07093749999999988,1.9169501973313672,0.0009714789800621032,-0.0010765284666006396,0.9966666666666667
cipherspectrum_validation,baseline,3200,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cipherspectrum_validation,memory_shadow,3200,0.0,0.0,0.0,-0.6022444997142884,0.0,0.0,1.0
cipherspectrum_validation,planner_executor,3200,0.0,0.0,0.0,-0.3154480315424735,0.0,0.0,1.0
cipherspectrum_validation,deliberation_shadow,3200,0.0,0.0,0.0,-0.8770805627500522,0.0,0.0,1.0
cipherspectrum_validation,reflection_critic,3200,0.0,0.0,0.0,-0.8117970003513619,0.0,0.0,1.0
cipherspectrum_validation,full_shadow,3200,0.0,0.0,0.0,0.6622082497415249,0.0,0.0,1.0
cipherspectrum_validation,full_active,3200,-0.0134375,0.013437499999999991,0.08843749999999995,0.4278916565635882,0.0039268011857468595,-0.004337552248425484,0.9865625
cipherspectrum_locked_test,baseline,3200,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cipherspectrum_locked_test,memory_shadow,3200,0.0,0.0,0.0,-1.0141859695431776,0.0,0.0,1.0
cipherspectrum_locked_test,planner_executor,3200,0.0,0.0,0.0,-0.6323655008600326,0.0,0.0,1.0
cipherspectrum_locked_test,deliberation_shadow,3200,0.0,0.0,0.0,-1.2612834064566414,0.0,0.0,1.0
cipherspectrum_locked_test,reflection_critic,3200,0.0,0.0,0.0,-1.2512650627650146,0.0,0.0,1.0
cipherspectrum_locked_test,full_shadow,3200,0.0,0.0,0.0,0.14716153180415859,0.0,0.0,1.0
cipherspectrum_locked_test,full_active,3200,-0.001875,0.00187499999999996,0.12593750000000004,0.3744871559138119,0.0004797699186616583,-0.0005506646371782817,0.998125
