dataset,kind,level,mode,verdict_stability_delta,coverage_delta_vs_baseline,selective_risk_delta_vs_baseline,ood_escalation_delta,agent_calls_delta,dispatch_change_delta,shadow_fusion_invariance_rate
ustc,padding,low,full_shadow,0.0,0.0,0.0,0.0,0.050000000000000266,0.0,1.0
ustc,padding,low,full_active,0.0,0.0,0.0,0.0,0.050000000000000266,0.0,
ustc,padding,medium,full_shadow,0.0,0.0,,0.0,0.10000000000000009,0.0,1.0
ustc,padding,medium,full_active,0.0,0.0,,0.0,0.10000000000000009,0.0,
ustc,padding,high,full_shadow,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ustc,padding,high,full_active,0.0,0.0,0.0,0.0,0.0,0.0,
ustc,dummy_packet,low,full_shadow,0.0,0.0,0.0,0.0,0.0,0.05,1.0
ustc,dummy_packet,low,full_active,0.0,0.0,0.0,0.0,0.0,0.05,
ustc,dummy_packet,medium,full_shadow,0.0,0.0,0.0,0.0,0.0,0.05,1.0
ustc,dummy_packet,medium,full_active,0.0,0.0,0.0,0.0,0.0,0.05,
ustc,dummy_packet,high,full_shadow,0.0,0.0,0.0,0.0,0.0,0.05000000000000002,1.0
ustc,dummy_packet,high,full_active,0.0,0.0,0.0,0.0,0.0,0.05000000000000002,
ustc,iat_jitter,low,full_shadow,0.0,0.0,0.0,0.0,0.050000000000000266,0.0,1.0
ustc,iat_jitter,low,full_active,0.0,0.0,0.0,0.0,0.050000000000000266,0.0,
ustc,iat_jitter,medium,full_shadow,0.0,0.0,0.0,0.0,0.10000000000000009,0.0,1.0
ustc,iat_jitter,medium,full_active,0.0,0.0,0.0,0.0,0.10000000000000009,0.0,
ustc,iat_jitter,high,full_shadow,0.0,0.0,,0.0,0.10000000000000009,0.0,1.0
ustc,iat_jitter,high,full_active,0.0,0.0,,0.0,0.10000000000000009,0.0,
ustc,sequence_truncation,low,full_shadow,0.0,0.0,,0.0,0.20000000000000018,0.15,1.0
ustc,sequence_truncation,low,full_active,0.0,0.0,,0.0,0.20000000000000018,0.15,
ustc,sequence_truncation,medium,full_shadow,0.0,0.0,,0.0,0.75,0.1499999999999999,1.0
ustc,sequence_truncation,medium,full_active,0.0,0.0,,0.0,0.75,0.1499999999999999,
ustc,sequence_truncation,high,full_shadow,0.0,0.0,,0.0,0.8000000000000003,0.15000000000000002,1.0
ustc,sequence_truncation,high,full_active,0.0,0.0,,0.0,0.8000000000000003,0.15000000000000002,
cipherspectrum,padding,low,full_shadow,0.0,0.0,,0.0,0.6999999999999997,0.1,1.0
cipherspectrum,padding,low,full_active,0.0,0.0,,0.0,0.6999999999999997,0.2,
cipherspectrum,padding,medium,full_shadow,0.0,0.0,,0.0,0.6999999999999997,0.2,1.0
cipherspectrum,padding,medium,full_active,0.0,0.0,,0.0,0.6999999999999997,0.3,
cipherspectrum,padding,high,full_shadow,0.0,0.0,,0.0,0.8999999999999999,0.09999999999999998,1.0
cipherspectrum,padding,high,full_active,0.0,0.0,,0.0,0.8999999999999999,0.2,
cipherspectrum,dummy_packet,low,full_shadow,0.0,0.0,,0.0,0.7999999999999998,0.30000000000000004,1.0
cipherspectrum,dummy_packet,low,full_active,0.09999999999999998,-0.1,,0.0,0.8999999999999999,0.19999999999999998,
cipherspectrum,dummy_packet,medium,full_shadow,0.0,0.0,,0.0,0.7999999999999998,0.3,1.0
cipherspectrum,dummy_packet,medium,full_active,0.20000000000000007,-0.2,,0.0,1.0,0.2,
cipherspectrum,dummy_packet,high,full_shadow,0.0,0.0,,0.0,0.7999999999999998,0.49999999999999994,1.0
cipherspectrum,dummy_packet,high,full_active,0.20000000000000007,-0.2,,0.0,1.0,0.3,
cipherspectrum,iat_jitter,low,full_shadow,0.0,0.0,,0.0,0.6999999999999997,0.0,1.0
cipherspectrum,iat_jitter,low,full_active,0.0,0.0,,0.0,0.6999999999999997,0.1,
cipherspectrum,iat_jitter,medium,full_shadow,0.0,0.0,,0.0,0.7999999999999998,0.30000000000000004,1.0
cipherspectrum,iat_jitter,medium,full_active,0.0,0.0,,0.0,0.7999999999999998,0.30000000000000004,
cipherspectrum,iat_jitter,high,full_shadow,0.0,0.0,,0.0,0.7999999999999998,0.30000000000000004,1.0
cipherspectrum,iat_jitter,high,full_active,0.0,0.0,,0.0,0.7999999999999998,0.30000000000000004,
cipherspectrum,sequence_truncation,low,full_shadow,0.0,0.0,,0.0,0.7999999999999998,0.6,1.0
cipherspectrum,sequence_truncation,low,full_active,0.0,0.0,,0.0,0.7999999999999998,0.6,
cipherspectrum,sequence_truncation,medium,full_shadow,0.0,0.0,,0.0,0.6000000000000001,0.49999999999999994,1.0
cipherspectrum,sequence_truncation,medium,full_active,0.09999999999999998,-0.1,,0.0,0.7000000000000002,0.39999999999999997,
cipherspectrum,sequence_truncation,high,full_shadow,0.0,0.0,,0.0,0.2999999999999998,0.7,1.0
cipherspectrum,sequence_truncation,high,full_active,0.0,0.0,,0.0,0.2999999999999998,0.7,
