dataset,kind,level,mode,verdict_stability_delta,coverage_delta_vs_baseline,selective_risk_delta_vs_baseline,ood_escalation_delta,agent_calls_delta,dispatch_change_delta,shadow_fusion_invariance_rate
ustc,padding,low,full_shadow,0.0,0.0,0.0,0.0,0.052999999999999936,0.008999999999999998,1.0
ustc,padding,low,full_active,0.0,0.0,0.0,0.0,0.052999999999999936,0.008999999999999998,
ustc,padding,medium,full_shadow,0.0,0.0,0.0,0.0,0.08183333333333298,0.019833333333333328,1.0
ustc,padding,medium,full_active,0.0,0.0,0.0,0.0,0.08183333333333298,0.019833333333333328,
ustc,padding,high,full_shadow,0.0,0.0,0.0,0.0,0.07433333333333314,0.020333333333333328,1.0
ustc,padding,high,full_active,0.0,0.0,0.0,0.0,0.07433333333333314,0.020333333333333328,
ustc,dummy_packet,low,full_shadow,0.0,0.0,0.0,0.0,0.05933333333333346,0.036166666666666666,1.0
ustc,dummy_packet,low,full_active,0.0,0.0,0.0,0.0,0.05933333333333346,0.036166666666666666,
ustc,dummy_packet,medium,full_shadow,0.0,0.0,0.0,0.0,0.05483333333333329,0.035166666666666666,1.0
ustc,dummy_packet,medium,full_active,0.0,0.0,0.0,0.0,0.05483333333333329,0.035166666666666666,
ustc,dummy_packet,high,full_shadow,0.0,0.0,0.0,0.0,0.06133333333333324,0.043833333333333335,1.0
ustc,dummy_packet,high,full_active,0.0,0.0,0.0,0.0,0.06133333333333324,0.043833333333333335,
ustc,iat_jitter,low,full_shadow,0.0,0.0,0.0,0.0,0.036666666666666625,0.0011666666666666665,1.0
ustc,iat_jitter,low,full_active,0.0,0.0,0.0,0.0,0.036666666666666625,0.0011666666666666665,
ustc,iat_jitter,medium,full_shadow,0.0,0.0,0.0,0.0,0.05116666666666658,0.001666666666666667,1.0
ustc,iat_jitter,medium,full_active,0.0,0.0,0.0,0.0,0.05116666666666658,0.001666666666666667,
ustc,iat_jitter,high,full_shadow,0.0,0.0,0.0,0.0,0.057333333333333236,0.002333333333333333,1.0
ustc,iat_jitter,high,full_active,0.0,0.0,0.0,0.0,0.057333333333333236,0.002333333333333333,
ustc,sequence_truncation,low,full_shadow,0.0,0.0,0.0,0.0,0.1658333333333335,0.13633333333333333,1.0
ustc,sequence_truncation,low,full_active,0.0,0.0,0.0,0.0,0.1658333333333335,0.1365,
ustc,sequence_truncation,medium,full_shadow,0.0,0.0,0.0,0.0,0.565,0.1773333333333333,1.0
ustc,sequence_truncation,medium,full_active,0.0001666666666666483,-0.00016666666666666566,0.0,0.0,0.5651666666666668,0.1773333333333333,
ustc,sequence_truncation,high,full_shadow,0.0,0.0,0.0,0.0,0.6110000000000002,0.21033333333333332,1.0
ustc,sequence_truncation,high,full_active,0.0008333333333333526,-0.0008333333333333331,0.0,0.0,0.6118333333333337,0.2096666666666666,
cipherspectrum,padding,low,full_shadow,0.0,0.0,,0.0,0.5563333333333333,0.012,1.0
cipherspectrum,padding,low,full_active,0.0,-0.004333333333333333,,0.0,0.5606666666666666,0.027000000000000003,
cipherspectrum,padding,medium,full_shadow,0.0,0.0,,0.0,0.6379999999999999,-0.0040000000000000036,1.0
cipherspectrum,padding,medium,full_active,0.0,-0.004333333333333333,,0.0,0.6423333333333332,0.017666666666666664,
cipherspectrum,padding,high,full_shadow,0.0,0.0,,0.0,0.9333333333333336,-0.10200000000000004,1.0
cipherspectrum,padding,high,full_active,0.00033333333333340764,-0.004,,0.0,0.9373333333333336,-0.10033333333333333,
cipherspectrum,dummy_packet,low,full_shadow,0.0,0.0,,0.0,0.5813333333333333,0.0020000000000000018,1.0
cipherspectrum,dummy_packet,low,full_active,0.015666666666666718,-0.018666666666666668,,0.0,0.6053333333333333,0.05566666666666667,
cipherspectrum,dummy_packet,medium,full_shadow,0.0,0.0,,0.0,0.5986666666666665,0.04266666666666667,1.0
cipherspectrum,dummy_packet,medium,full_active,0.05933333333333335,-0.063,,0.0,0.6616666666666666,0.06633333333333334,
cipherspectrum,dummy_packet,high,full_shadow,0.0,0.0,,0.0,0.9426666666666668,0.061333333333333295,1.0
cipherspectrum,dummy_packet,high,full_active,0.04799999999999993,-0.050333333333333334,,0.0,0.9929999999999999,0.04799999999999999,
cipherspectrum,iat_jitter,low,full_shadow,0.0,0.0,,0.0,0.5516666666666667,0.005666666666666665,1.0
cipherspectrum,iat_jitter,low,full_active,0.004666666666666708,-0.005,,0.0,0.5569999999999999,0.027333333333333334,
cipherspectrum,iat_jitter,medium,full_shadow,0.0,0.0,,0.0,0.7063333333333333,0.0013333333333333253,1.0
cipherspectrum,iat_jitter,medium,full_active,0.0076666666666667105,-0.006,,0.0,0.7130000000000001,0.021666666666666667,
cipherspectrum,iat_jitter,high,full_shadow,0.0,0.0,,0.0,0.8799999999999999,-0.0576666666666667,1.0
cipherspectrum,iat_jitter,high,full_active,0.006000000000000005,-0.0023333333333333335,,0.0,0.8823333333333334,-0.04700000000000004,
cipherspectrum,sequence_truncation,low,full_shadow,0.0,0.0,,0.0,0.6366666666666667,0.15266666666666664,1.0
cipherspectrum,sequence_truncation,low,full_active,0.010000000000000009,-0.013,,0.0,0.6503333333333337,0.1673333333333333,
cipherspectrum,sequence_truncation,medium,full_shadow,0.0,0.0,,0.0,0.4710000000000001,0.27066666666666667,1.0
cipherspectrum,sequence_truncation,medium,full_active,0.029999999999999916,-0.029,,0.0,0.5013333333333336,0.25966666666666666,
cipherspectrum,sequence_truncation,high,full_shadow,0.0,0.0,,0.0,0.30200000000000005,0.39599999999999996,1.0
cipherspectrum,sequence_truncation,high,full_active,0.02366666666666667,-0.026333333333333334,,0.0,0.33866666666666667,0.38933333333333336,
