capture_id,role,binary_label,browser,tool,resolver,official_csv_entry,official_csv_rows,tls_stream_count,aligned_supervised_doh,non_doh_ood_only,short_tls_stream,unmatched_tls_stream
fresh-7c6c8fd21d3360a27c56,acceptance,benign,firefox,,quad9,CSVs/Firefox/Separate/dump.6dbe55.csv,92670,103724,2141,70236,1205,30142
fresh-d1bff2bb7dfa217e48e8,acceptance,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh1_2020-03-29T07:45:23.888818.csv,26,14,14,,,
fresh-12fad864881cca22e8b2,acceptance,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh10_2020-03-25T15:48:58.147451.csv,6,1,1,,,
fresh-61ed10e1b519dee3cc2e,acceptance,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh3_2020-03-28T09:39:17.626683.csv,2,1,1,,,
fresh-f9f876448aee33a0f90c,acceptance,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh2_2020-03-28T08:43:59.173899.csv,2,1,1,,,
fresh-6157b9e2da80ebc6d7fc,acceptance,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh9_2020-03-26T00:42:13.737993.csv,6,1,1,,,
fresh-bd8e6b339a1838638328,acceptance,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh7_2020-03-25T16:44:49.304216.csv,6,1,1,,,
fresh-11d965c4b86f234d03ff,acceptance,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh5_2020-03-28T13:20:28.583611.csv,2,1,1,,,
fresh-ac6e48ae189c0ff93d29,acceptance,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-29T10:03:46.319554.csv,2,1,1,,,
fresh-64344a2261a46a70445b,acceptance,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh2_2020-03-28T07:48:41.240517.csv,2,1,1,,,
fresh-0a3e3ded5b00b5b85040,acceptance,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-29T02:41:57.812960.csv,2,1,1,,,
fresh-0b221082a37b1f4914d4,acceptance,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh9_2020-03-25T19:34:06.609007.csv,6,1,1,,,
fresh-723f1f31bc9243ada898,acceptance,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh7_2020-03-25T10:15:12.444491.csv,6,1,1,,,
fresh-cf69c0e9d3a0aba660c0,acceptance,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh8_2020-03-25T00:27:00.928889.csv,6,1,1,,,
fresh-27c93a30795717bd7873,acceptance,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh10_2020-03-25T11:11:00.973538.csv,6,1,1,,,
fresh-c60ac7e242ab4c8edbc6,acceptance,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh6_2020-03-29T08:40:50.861455.csv,2,1,1,,,
fresh-581ec3494b98700e79ec,acceptance,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh5_2020-03-29T01:46:47.058613.csv,2,1,1,,,
fresh-5fb8acd88205365a9b38,acceptance,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh3_2020-03-28T23:01:05.077990.csv,2,1,1,,,
fresh-0d77e348025d3e13418a,acceptance,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh2_2020-03-29T04:59:57.508591.csv,2,1,1,,,
fresh-3e214bda99271a85bd37,acceptance,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh7_2020-03-25T00:55:01.270136.csv,6,1,1,,,
fresh-c8d8d6a134b2a5392045,acceptance,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh10_2020-03-25T18:37:44.488882.csv,6,1,1,,,
fresh-d2c5dd63312eaa0ae705,acceptance,malicious,,iodine,,CSVs/iodine/Separate/iodine_null-64-tunnel_99911_doh2_2020-03-20T09:24:34.129406.csv,6,1,1,,,
fresh-3a543d649c5df8b03364,acceptance,malicious,,iodine,,CSVs/iodine/Separate/iodine_null-64-tunnel_1111_doh10_2020-03-22T22:41:27.263008.csv,6,1,1,,,
fresh-b410b20a21c9f394ca1f,acceptance,malicious,,iodine,,CSVs/iodine/Separate/iodine_null-64-tunnel_99911_doh4_2020-03-20T04:50:06.664128.csv,6,1,1,,,
