capture_id,role,binary_label,browser,tool,resolver,official_csv_entry,official_csv_rows,tls_stream_count,aligned_supervised_doh,non_doh_ood_only,short_tls_stream,unmatched_tls_stream
fresh-c149f87859de484c00ed,development,benign,firefox,,cloudflare,CSVs/Firefox/Separate/dump.003ce1.csv,90260,69535,903,67528,1104,
fresh-6dd7464fd001a2038f80,development,benign,firefox,,cloudflare,CSVs/Firefox/Separate/dump.003ce1.csv,90260,75828,1106,67531,1104,6087
fresh-732f9a0511e116dad7ad,development,benign,firefox,,quad9,CSVs/Firefox/Separate/dump.6dbe55.csv,92670,72971,1682,70085,1204,
fresh-1e2c8af679f3b99fa4af,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh8_2020-03-25T06:59:18.126697.csv,6,1,1,,,
fresh-7e88de5cd3139ca04890,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-28T17:29:19.375480.csv,2,1,1,,,
fresh-0268f892a23c38d1aa76,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh9_2020-03-25T02:47:28.911404.csv,6,1,1,,,
fresh-67472420714256d28142,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh8_2020-03-25T13:57:55.571021.csv,6,1,1,,,
fresh-6f0f128de4e560e7aef0,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh6_2020-03-29T08:13:08.843891.csv,2,1,1,,,
fresh-ed6b5b86a5f916ffb72c,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh9_2020-03-24T21:38:09.404981.csv,6,1,1,,,
fresh-376c3297c78f05c86957,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh2_2020-03-29T00:23:55.752946.csv,2,1,1,,,
fresh-a5b950bf723f54e11792,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh3_2020-03-29T09:08:29.630071.csv,2,1,1,,,
fresh-b937fd2fc9f121b70cd6,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh5_2020-03-28T18:52:14.764661.csv,2,1,1,,,
fresh-e4f83f45e8ff957bee8c,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh6_2020-03-28T12:25:16.447878.csv,2,1,1,,,
fresh-eb2f88cdee651d3323af,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh7_2020-03-25T14:25:40.902981.csv,6,1,1,,,
fresh-0d7778f9051b3e42ccf7,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh7_2020-03-25T08:23:30.839066.csv,6,1,1,,,
fresh-febb67cd4a3535051299,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh8_2020-03-25T16:44:50.689568.csv,6,1,1,,,
fresh-e634e35ab6f6af0c342e,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh2_2020-03-29T07:45:25.017052.csv,2,1,1,,,
fresh-dc4ec0796136c7c17ce5,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh6_2020-03-28T10:34:43.805933.csv,2,1,1,,,
fresh-267eef22d46e5c1c6f97,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh3_2020-03-28T13:20:27.949298.csv,2,1,1,,,
fresh-732867d4df13923c1e44,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh9_2020-03-25T20:30:42.603998.csv,6,1,1,,,
fresh-0123df13a48e170febd0,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh10_2020-03-25T06:03:31.438806.csv,6,1,1,,,
fresh-2a4f67d01677891321a0,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh7_2020-03-25T09:47:18.119864.csv,6,1,1,,,
fresh-f4de9d9b0014027d284d,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh5_2020-03-29T04:04:45.346398.csv,2,1,1,,,
fresh-6fe9c7ae0c822fbb7dcc,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh9_2020-03-25T13:57:56.317252.csv,6,1,1,,,
fresh-7faa22159e097a55e14a,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh10_2020-03-25T02:19:19.028160.csv,6,1,1,,,
fresh-84742a8bd01fb339cd36,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh3_2020-03-28T10:34:42.594542.csv,2,1,1,,,
fresh-071afaf239096772416f,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh2_2020-03-29T02:14:21.723498.csv,2,1,1,,,
fresh-8c0e0f16acf958821c3f,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh7_2020-03-25T20:30:40.028345.csv,6,1,1,,,
fresh-683c61dfc474e13be750,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh7_2020-03-25T05:35:39.176601.csv,6,1,1,,,
fresh-cd87f9a7bb48ab56cf1f,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh5_2020-03-29T05:55:06.449196.csv,2,1,1,,,
fresh-9636bdb17b47fb48e4bc,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh1_2020-03-29T08:13:06.491347.csv,26,14,14,,,
fresh-97b1a4bb647043a431b5,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh9_2020-03-25T15:21:12.268187.csv,6,1,1,,,
fresh-e73fd09a698c83557888,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-29T02:14:22.498811.csv,2,1,1,,,
fresh-5ac33e4abefb46922635,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh7_2020-03-25T14:53:25.940450.csv,6,1,1,,,
fresh-5288058ed23fab14c027,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh9_2020-03-25T03:15:37.332324.csv,6,1,1,,,
fresh-08dba6245b6a78e019c7,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh1_2020-03-29T04:32:18.916823.csv,26,14,14,,,
fresh-daced2f109ed42db0b90,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh6_2020-03-28T19:19:51.629894.csv,2,1,1,,,
fresh-d077ece94aafaf361d8b,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh2_2020-03-28T17:29:18.365120.csv,2,1,1,,,
fresh-a4fadb415dcf4bcb6a37,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh5_2020-03-28T08:16:20.910993.csv,2,1,1,,,
fresh-0ad44685ff674c4506e4,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh3_2020-03-29T10:03:45.953873.csv,2,1,1,,,
fresh-06134eef11d8fcdce469,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh7_2020-03-25T04:11:35.267767.csv,6,1,1,,,
fresh-fb39c75afd545124543b,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh9_2020-03-25T04:11:38.075144.csv,6,1,1,,,
fresh-2e18c3015c3d3c93662e,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh9_2020-03-25T20:58:46.753299.csv,5,1,1,,,
fresh-6a782fdb5bfec5bf7d76,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh2_2020-03-29T08:13:07.276750.csv,2,1,1,,,
fresh-1c919e0f963507fd0d5e,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh2_2020-03-29T04:32:21.431738.csv,2,1,1,,,
fresh-11e61efb48f8c4534221,development,malicious,,dnscat2,,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh3_2020-03-29T04:59:58.040597.csv,2,1,1,,,
