capture_id,capture_group_id,role,binary_label,browser,tool,resolver,csv_archive,csv_entry,csv_candidate_entries,csv_pair_mode,pcap_path,pcap_sha256,pcap_size_bytes,archive_name,archive_sha256,archive_member,relative_path,alignment_only_fields_enter_detector_input
fresh-c149f87859de484c00ed,fresh-c149f87859de484c00ed,train,benign,firefox,,cloudflare,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/BenignDoH-NonDoH-CSVs.zip,,"[""CSVs/Firefox/Separate/dump.003ce1.csv"", ""CSVs/Firefox/Separate/dump.1da2a3.csv"", ""CSVs/Firefox/Separate/dump.218564.csv"", ""CSVs/Firefox/Separate/dump.22e976.csv"", ""CSVs/Firefox/Separate/dump.6dbe55.csv"", ""CSVs/Firefox/Separate/dump.e022b7.csv""]",firefox_maximum_5tuple_overlap,data/raw/DoHBrw/pcap/_w282_fresh_training/BenignDoH_NonDoH-Firefox-CloudFlare/CloudFlare/1/dump.pcap,d7c90744c1168e14a95ac8bff0cbaa6aca02863e21a3549340bc3f304f76e490,5002698752,BenignDoH_NonDoH-Firefox-CloudFlare.zip,8620845355f2ba2f26493eb388472c07839d7de533c3c578dadbb95ef6e59b62,CloudFlare/1/dump.pcap,BenignDoH_NonDoH-Firefox-CloudFlare.zip/CloudFlare/1/dump.pcap,False
fresh-6dd7464fd001a2038f80,fresh-6dd7464fd001a2038f80,selection,benign,firefox,,cloudflare,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/BenignDoH-NonDoH-CSVs.zip,,"[""CSVs/Firefox/Separate/dump.003ce1.csv"", ""CSVs/Firefox/Separate/dump.1da2a3.csv"", ""CSVs/Firefox/Separate/dump.218564.csv"", ""CSVs/Firefox/Separate/dump.22e976.csv"", ""CSVs/Firefox/Separate/dump.6dbe55.csv"", ""CSVs/Firefox/Separate/dump.e022b7.csv""]",firefox_maximum_5tuple_overlap,data/raw/DoHBrw/pcap/_w282_fresh_training/BenignDoH_NonDoH-Firefox-CloudFlare/CloudFlare/2/dump.pcap,3ac780b5c1aaa4396266e77dd047c252e401fe037a4241f282dfd70fe19c3015,5050975247,BenignDoH_NonDoH-Firefox-CloudFlare.zip,8620845355f2ba2f26493eb388472c07839d7de533c3c578dadbb95ef6e59b62,CloudFlare/2/dump.pcap,BenignDoH_NonDoH-Firefox-CloudFlare.zip/CloudFlare/2/dump.pcap,False
fresh-732f9a0511e116dad7ad,fresh-732f9a0511e116dad7ad,train,benign,firefox,,quad9,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/BenignDoH-NonDoH-CSVs.zip,,"[""CSVs/Firefox/Separate/dump.003ce1.csv"", ""CSVs/Firefox/Separate/dump.1da2a3.csv"", ""CSVs/Firefox/Separate/dump.218564.csv"", ""CSVs/Firefox/Separate/dump.22e976.csv"", ""CSVs/Firefox/Separate/dump.6dbe55.csv"", ""CSVs/Firefox/Separate/dump.e022b7.csv""]",firefox_maximum_5tuple_overlap,data/raw/DoHBrw/pcap/BenignDoH_NonDoH-Firefox-Quad9/Quad9/1/dump.pcap,8f5a63d91a5e08cf175171303285ae46a6467781f1aa0b7daed2018912490017,5022515200,BenignDoH_NonDoH-Firefox-Quad9.zip,5a07b37125f69b9b234505dedf9cfb42896fba24b78cdc60ee2e69ee57b30c35,Quad9/1/dump.pcap,BenignDoH_NonDoH-Firefox-Quad9.zip/Quad9/1/dump.pcap,False
fresh-7c6c8fd21d3360a27c56,fresh-7c6c8fd21d3360a27c56,acceptance,benign,firefox,,quad9,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/BenignDoH-NonDoH-CSVs.zip,,"[""CSVs/Firefox/Separate/dump.003ce1.csv"", ""CSVs/Firefox/Separate/dump.1da2a3.csv"", ""CSVs/Firefox/Separate/dump.218564.csv"", ""CSVs/Firefox/Separate/dump.22e976.csv"", ""CSVs/Firefox/Separate/dump.6dbe55.csv"", ""CSVs/Firefox/Separate/dump.e022b7.csv""]",firefox_maximum_5tuple_overlap,data/raw/DoHBrw/pcap/BenignDoH_NonDoH-Firefox-Quad9/Quad9/2/dump.pcap,14c9af3366cd2c264dbf3c946213264ee4b7327ad7d557eed03d380a2bb1678a,5442487424,BenignDoH_NonDoH-Firefox-Quad9.zip,5a07b37125f69b9b234505dedf9cfb42896fba24b78cdc60ee2e69ee57b30c35,Quad9/2/dump.pcap,BenignDoH_NonDoH-Firefox-Quad9.zip/Quad9/2/dump.pcap,False
fresh-1e2c8af679f3b99fa4af,fresh-1e2c8af679f3b99fa4af,train,malicious,,dnscat2,,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/MaliciousDoH-CSVs.zip,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh8_2020-03-25T06:59:18.126697.csv,,exact_official_capture_csv,data/raw/DoHBrw/pcap/_w282_fresh_training/MaliciousDoH-dnscat2-Pcap-1202_1802/dsncat2_default-tunnel_99911_doh8_2020-03-25T06_59_18.126697.pcap,cb5d63aa453bb81242a8636520e142299c19bc21153dc46940374a73987c73ac,3135413,MaliciousDoH-dnscat2-Pcap-1202_1802.zip,b97d7ac6d3dd7e65ff7c7610c3a95fff80664ba0e4e2ab25fcb62d15069388fa,dsncat2_default-tunnel_99911_doh8_2020-03-25T06:59:18.126697.pcap,MaliciousDoH-dnscat2-Pcap-1202_1802.zip/dsncat2_default-tunnel_99911_doh8_2020-03-25T06:59:18.126697.pcap,False
fresh-7e88de5cd3139ca04890,fresh-7e88de5cd3139ca04890,train,malicious,,dnscat2,,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/MaliciousDoH-CSVs.zip,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-28T17:29:19.375480.csv,,exact_official_capture_csv,data/raw/DoHBrw/pcap/_w282_fresh_training/MaliciousDoH-dnscat2-Pcap-1202_1802/dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-28T17_29_19.375480.pcap,ed6c28c2c02707842b1fb1c15a7e50f95db01ae7b8fc35b9e595352da0661838,27615,MaliciousDoH-dnscat2-Pcap-1202_1802.zip,b97d7ac6d3dd7e65ff7c7610c3a95fff80664ba0e4e2ab25fcb62d15069388fa,dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-28T17:29:19.375480.pcap,MaliciousDoH-dnscat2-Pcap-1202_1802.zip/dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-28T17:29:19.375480.pcap,False
fresh-0268f892a23c38d1aa76,fresh-0268f892a23c38d1aa76,train,malicious,,dnscat2,,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/MaliciousDoH-CSVs.zip,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh9_2020-03-25T02:47:28.911404.csv,,exact_official_capture_csv,data/raw/DoHBrw/pcap/_w282_fresh_training/MaliciousDoH-dnscat2-Pcap-1202_1802/dsncat2_default-tunnel_99911_doh9_2020-03-25T02_47_28.911404.pcap,c27610d88742e8def536a9be14a02cb0d273abd16ebcbace5d7f1ad88c448698,2667692,MaliciousDoH-dnscat2-Pcap-1202_1802.zip,b97d7ac6d3dd7e65ff7c7610c3a95fff80664ba0e4e2ab25fcb62d15069388fa,dsncat2_default-tunnel_99911_doh9_2020-03-25T02:47:28.911404.pcap,MaliciousDoH-dnscat2-Pcap-1202_1802.zip/dsncat2_default-tunnel_99911_doh9_2020-03-25T02:47:28.911404.pcap,False
fresh-67472420714256d28142,fresh-67472420714256d28142,train,malicious,,dnscat2,,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/MaliciousDoH-CSVs.zip,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh8_2020-03-25T13:57:55.571021.csv,,exact_official_capture_csv,data/raw/DoHBrw/pcap/_w282_fresh_training/MaliciousDoH-dnscat2-Pcap-1202_1802/dsncat2_default-tunnel_99911_doh8_2020-03-25T13_57_55.571021.pcap,cac69ab90610b221fba21394cd1ef0687d079c18c74d8c6201f4fde4f6292516,3069505,MaliciousDoH-dnscat2-Pcap-1202_1802.zip,b97d7ac6d3dd7e65ff7c7610c3a95fff80664ba0e4e2ab25fcb62d15069388fa,dsncat2_default-tunnel_99911_doh8_2020-03-25T13:57:55.571021.pcap,MaliciousDoH-dnscat2-Pcap-1202_1802.zip/dsncat2_default-tunnel_99911_doh8_2020-03-25T13:57:55.571021.pcap,False
fresh-6f0f128de4e560e7aef0,fresh-6f0f128de4e560e7aef0,train,malicious,,dnscat2,,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/MaliciousDoH-CSVs.zip,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh6_2020-03-29T08:13:08.843891.csv,,exact_official_capture_csv,data/raw/DoHBrw/pcap/_w282_fresh_training/MaliciousDoH-dnscat2-Pcap-1202_1802/dsncat2_default-tunnel_dnsadguardcom_doh6_2020-03-29T08_13_08.843891.pcap,d09cea319e921040619bf93ab6096ce08cd2ccd13117d06ef9cfd3067c708df2,27677,MaliciousDoH-dnscat2-Pcap-1202_1802.zip,b97d7ac6d3dd7e65ff7c7610c3a95fff80664ba0e4e2ab25fcb62d15069388fa,dsncat2_default-tunnel_dnsadguardcom_doh6_2020-03-29T08:13:08.843891.pcap,MaliciousDoH-dnscat2-Pcap-1202_1802.zip/dsncat2_default-tunnel_dnsadguardcom_doh6_2020-03-29T08:13:08.843891.pcap,False
fresh-ed6b5b86a5f916ffb72c,fresh-ed6b5b86a5f916ffb72c,train,malicious,,dnscat2,,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/MaliciousDoH-CSVs.zip,CSVs/dnscat2/Separate/dsncat2_default-tunnel_99911_doh9_2020-03-24T21:38:09.404981.csv,,exact_official_capture_csv,data/raw/DoHBrw/pcap/_w282_fresh_training/MaliciousDoH-dnscat2-Pcap-1202_1802/dsncat2_default-tunnel_99911_doh9_2020-03-24T21_38_09.404981.pcap,9352e8be82be2c55aefc70e8c2b7a7d20a8f4ab4e6cad35a972baf9dc3fd8213,3277723,MaliciousDoH-dnscat2-Pcap-1202_1802.zip,b97d7ac6d3dd7e65ff7c7610c3a95fff80664ba0e4e2ab25fcb62d15069388fa,dsncat2_default-tunnel_99911_doh9_2020-03-24T21:38:09.404981.pcap,MaliciousDoH-dnscat2-Pcap-1202_1802.zip/dsncat2_default-tunnel_99911_doh9_2020-03-24T21:38:09.404981.pcap,False
