capture_id,role,binary_label,browser,tool,resolver,official_csv_entry,official_csv_rows,tls_stream_count,non_doh_ood_only,aligned_supervised_doh,short_tls_stream
w287-benign-3b00aacb1f4997e512,independent_robustness_acceptance,benign,chrome,,cloudflare,CSVs/Chrome/Separate/dump_00003_20200113182754.df1632.csv,27824,10120,9999,13,108
w287-benign-34f789a94e7c8dde40,independent_robustness_acceptance,benign,chrome,,cloudflare,CSVs/Chrome/Separate/dump_00005_20200113205730.4a72d7.csv,25787,9868,9767,25,76
w287-benign-e37bc927e6a33bd0ef,independent_robustness_acceptance,benign,chrome,,cloudflare,CSVs/Chrome/Separate/dump_00002_20200113162614.325f51.csv,30063,12087,11901,29,157
w287-benign-1eb1edbcdc5db3165f,independent_robustness_acceptance,benign,chrome,,cloudflare,CSVs/Chrome/Separate/dump_00004_20200113193921.586656.csv,26011,9711,9646,19,46
w287-malicious-3ee8cf43768add4d67,independent_robustness_acceptance,malicious,,dnscat2,adguard,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh5_2020-03-29T08:13:08.483518.csv,2,1,,1,
w287-malicious-f96a2598a7eccb483b,independent_robustness_acceptance,malicious,,dnscat2,adguard,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-29T09:08:30.093100.csv,2,1,,1,
w287-malicious-c867f2131253b25d78,independent_robustness_acceptance,malicious,,dnscat2,adguard,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh1_2020-03-28T22:05:46.847497.csv,26,14,,14,
w287-malicious-cf9a7a957f5c4794ae,independent_robustness_acceptance,malicious,,dnscat2,adguard,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-28T07:48:42.169254.csv,2,1,,1,
w287-malicious-21b80027173e8ce92e,independent_robustness_acceptance,malicious,,dnscat2,adguard,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-29T08:40:49.930357.csv,2,1,,1,
w287-malicious-8990f1477615c2793e,independent_robustness_acceptance,malicious,,dnscat2,adguard,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh1_2020-03-29T10:03:44.873989.csv,27,14,,14,
