capture_id,capture_group_id,role,binary_label,browser,tool,resolver,csv_archive,csv_entry,csv_candidate_entries,csv_pair_mode,pcap_path,pcap_sha256,pcap_size_bytes,archive_name,archive_sha256,archive_member,member_crc32,member_size_bytes,relative_path,w84_historical_role,w71_historical_role,w71_locked_test_member,w282_w285_overlap,freshness_scope,alignment_only_fields_enter_detector_input
w287-benign-3b00aacb1f4997e512,w287-benign-3b00aacb1f4997e512,independent_robustness_acceptance,benign,chrome,,cloudflare,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/BenignDoH-NonDoH-CSVs.zip,CSVs/Chrome/Separate/dump_00003_20200113182754.df1632.csv,[],official_exact_stem,data/raw/DoHBrw/pcap/_w84_staged_official_archives/BenignDoH_NonDoH-Chrome-Cloudflare/Cloudflare/dump_00003_20200113182754.pcap,25e21d6a2435fdfddda9e0241cf4d3a5f8ac1155eed1d8a39db6d6f9007f8302,1000000317,,,,,1000000317,_w84_staged_official_archives/BenignDoH_NonDoH-Chrome-Cloudflare/Cloudflare/dump_00003_20200113182754.pcap,calibration,train,False,False,model_fresh_for_w284_not_globally_history_fresh,False
w287-benign-34f789a94e7c8dde40,w287-benign-34f789a94e7c8dde40,independent_robustness_acceptance,benign,chrome,,cloudflare,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/BenignDoH-NonDoH-CSVs.zip,CSVs/Chrome/Separate/dump_00005_20200113205730.4a72d7.csv,[],official_exact_stem,data/raw/DoHBrw/pcap/_w84_staged_official_archives/BenignDoH_NonDoH-Chrome-Cloudflare/Cloudflare/dump_00005_20200113205730.pcap,413b63e7db1c35b4918b1e4fe5e07999aace2c685895816250711fc2bfd82cb2,1000001080,,,,,1000001080,_w84_staged_official_archives/BenignDoH_NonDoH-Chrome-Cloudflare/Cloudflare/dump_00005_20200113205730.pcap,selection,train,False,False,model_fresh_for_w284_not_globally_history_fresh,False
w287-benign-e37bc927e6a33bd0ef,w287-benign-e37bc927e6a33bd0ef,independent_robustness_acceptance,benign,chrome,,cloudflare,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/BenignDoH-NonDoH-CSVs.zip,CSVs/Chrome/Separate/dump_00002_20200113162614.325f51.csv,[],official_exact_stem,data/raw/DoHBrw/pcap/_w84_staged_official_archives/BenignDoH_NonDoH-Chrome-Cloudflare/Cloudflare/dump_00002_20200113162614.pcap,7c4b5cbfe5de1fd3d5d4e573f905b12f45c41d9ff837e728fa242d35306ffbc1,1000000571,,,,,1000000571,_w84_staged_official_archives/BenignDoH_NonDoH-Chrome-Cloudflare/Cloudflare/dump_00002_20200113162614.pcap,train,train,False,False,model_fresh_for_w284_not_globally_history_fresh,False
w287-benign-1eb1edbcdc5db3165f,w287-benign-1eb1edbcdc5db3165f,independent_robustness_acceptance,benign,chrome,,cloudflare,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/BenignDoH-NonDoH-CSVs.zip,CSVs/Chrome/Separate/dump_00004_20200113193921.586656.csv,[],official_exact_stem,data/raw/DoHBrw/pcap/_w84_staged_official_archives/BenignDoH_NonDoH-Chrome-Cloudflare/Cloudflare/dump_00004_20200113193921.pcap,b6a45766fa44d4df5f18aaf16bfaeb089925dfff4b471ac3a0d6fb3b79217077,1000000215,,,,,1000000215,_w84_staged_official_archives/BenignDoH_NonDoH-Chrome-Cloudflare/Cloudflare/dump_00004_20200113193921.pcap,train,train,False,False,model_fresh_for_w284_not_globally_history_fresh,False
w287-malicious-3ee8cf43768add4d67,w287-malicious-3ee8cf43768add4d67,independent_robustness_acceptance,malicious,,dnscat2,adguard,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/MaliciousDoH-CSVs.zip,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh5_2020-03-29T08:13:08.483518.csv,[],official_exact_stem,data/raw/DoHBrw/pcap/_w287_independent_robustness/MaliciousDoH-dnscat2-Pcap-1202_1802/dsncat2_default-tunnel_dnsadguardcom_doh5_2020-03-29T08_13_08.483518.pcap,,28010,MaliciousDoH-dnscat2-Pcap-1202_1802.zip,b97d7ac6d3dd7e65ff7c7610c3a95fff80664ba0e4e2ab25fcb62d15069388fa,dsncat2_default-tunnel_dnsadguardcom_doh5_2020-03-29T08:13:08.483518.pcap,2bbd0c01,28010,MaliciousDoH-dnscat2-Pcap-1202_1802.zip/dsncat2_default-tunnel_dnsadguardcom_doh5_2020-03-29T08:13:08.483518.pcap,,not_historically_consumed,False,False,globally_fresh_archive_member,False
w287-malicious-f96a2598a7eccb483b,w287-malicious-f96a2598a7eccb483b,independent_robustness_acceptance,malicious,,dnscat2,adguard,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/MaliciousDoH-CSVs.zip,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-29T09:08:30.093100.csv,[],official_exact_stem,data/raw/DoHBrw/pcap/_w287_independent_robustness/MaliciousDoH-dnscat2-Pcap-1202_1802/dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-29T09_08_30.093100.pcap,,27672,MaliciousDoH-dnscat2-Pcap-1202_1802.zip,b97d7ac6d3dd7e65ff7c7610c3a95fff80664ba0e4e2ab25fcb62d15069388fa,dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-29T09:08:30.093100.pcap,a0f1366d,27672,MaliciousDoH-dnscat2-Pcap-1202_1802.zip/dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-29T09:08:30.093100.pcap,,not_historically_consumed,False,False,globally_fresh_archive_member,False
w287-malicious-c867f2131253b25d78,w287-malicious-c867f2131253b25d78,independent_robustness_acceptance,malicious,,dnscat2,adguard,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/MaliciousDoH-CSVs.zip,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh1_2020-03-28T22:05:46.847497.csv,[],official_exact_stem,data/raw/DoHBrw/pcap/_w287_independent_robustness/MaliciousDoH-dnscat2-Pcap-1202_1802/dsncat2_default-tunnel_dnsadguardcom_doh1_2020-03-28T22_05_46.847497.pcap,,2117512,MaliciousDoH-dnscat2-Pcap-1202_1802.zip,b97d7ac6d3dd7e65ff7c7610c3a95fff80664ba0e4e2ab25fcb62d15069388fa,dsncat2_default-tunnel_dnsadguardcom_doh1_2020-03-28T22:05:46.847497.pcap,b8cbc7a4,2117512,MaliciousDoH-dnscat2-Pcap-1202_1802.zip/dsncat2_default-tunnel_dnsadguardcom_doh1_2020-03-28T22:05:46.847497.pcap,,not_historically_consumed,False,False,globally_fresh_archive_member,False
w287-malicious-cf9a7a957f5c4794ae,w287-malicious-cf9a7a957f5c4794ae,independent_robustness_acceptance,malicious,,dnscat2,adguard,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/MaliciousDoH-CSVs.zip,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-28T07:48:42.169254.csv,[],official_exact_stem,data/raw/DoHBrw/pcap/_w287_independent_robustness/MaliciousDoH-dnscat2-Pcap-1202_1802/dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-28T07_48_42.169254.pcap,,27870,MaliciousDoH-dnscat2-Pcap-1202_1802.zip,b97d7ac6d3dd7e65ff7c7610c3a95fff80664ba0e4e2ab25fcb62d15069388fa,dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-28T07:48:42.169254.pcap,0296d500,27870,MaliciousDoH-dnscat2-Pcap-1202_1802.zip/dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-28T07:48:42.169254.pcap,,not_historically_consumed,False,False,globally_fresh_archive_member,False
w287-malicious-21b80027173e8ce92e,w287-malicious-21b80027173e8ce92e,independent_robustness_acceptance,malicious,,dnscat2,adguard,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/MaliciousDoH-CSVs.zip,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-29T08:40:49.930357.csv,[],official_exact_stem,data/raw/DoHBrw/pcap/_w287_independent_robustness/MaliciousDoH-dnscat2-Pcap-1202_1802/dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-29T08_40_49.930357.pcap,,27676,MaliciousDoH-dnscat2-Pcap-1202_1802.zip,b97d7ac6d3dd7e65ff7c7610c3a95fff80664ba0e4e2ab25fcb62d15069388fa,dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-29T08:40:49.930357.pcap,b2b2a421,27676,MaliciousDoH-dnscat2-Pcap-1202_1802.zip/dsncat2_default-tunnel_dnsadguardcom_doh4_2020-03-29T08:40:49.930357.pcap,,not_historically_consumed,False,False,globally_fresh_archive_member,False
w287-malicious-8990f1477615c2793e,w287-malicious-8990f1477615c2793e,independent_robustness_acceptance,malicious,,dnscat2,adguard,data/raw/DoHBrw/auxiliary_csv_archives/CSVs/MaliciousDoH-CSVs.zip,CSVs/dnscat2/Separate/dsncat2_default-tunnel_dnsadguardcom_doh1_2020-03-29T10:03:44.873989.csv,[],official_exact_stem,data/raw/DoHBrw/pcap/_w287_independent_robustness/MaliciousDoH-dnscat2-Pcap-1202_1802/dsncat2_default-tunnel_dnsadguardcom_doh1_2020-03-29T10_03_44.873989.pcap,,750008,MaliciousDoH-dnscat2-Pcap-1202_1802.zip,b97d7ac6d3dd7e65ff7c7610c3a95fff80664ba0e4e2ab25fcb62d15069388fa,dsncat2_default-tunnel_dnsadguardcom_doh1_2020-03-29T10:03:44.873989.pcap,21c2b754,750008,MaliciousDoH-dnscat2-Pcap-1202_1802.zip/dsncat2_default-tunnel_dnsadguardcom_doh1_2020-03-29T10:03:44.873989.pcap,,not_historically_consumed,False,False,globally_fresh_archive_member,False
