external_system,paper_identity,publication_status,dataset_task,metric,external_value,mad_etd_value,delta,delta_percentage_points,numerically_positive,interval_lower,interval_upper,interval_type,interval_scope,interval_supports_positive,formal_paired_significance,evidence_tier,official_code_participating,locally_executed_external_system,same_acceptance_query,same_safe_input,same_split_roles,faithful_reproduction,source_artifact,source_artifact_sha256
Continual-Federated-IDS,10.1186/s42400-023-00199-0,peer_reviewed,CICIDS2017 5-way 3-shot binary projection,accuracy,0.99655,0.99895,0.0023999999999999577,0.23999999999999577,True,0.0017500000000000293,0.0031999999999999806,1000_resample_paired_episode_delta_ci,paired_delta,True,True,official_code_participating_adapted_same_query,True,True,True,True,True,False,data/runs/mad_etd_external_peer_multiagent_v10/paper_ready_cfids_same_query_table.csv,5cb86b564445fc2622b7ddbf47a9ba31e7cd6f60e37121e5f5b2e2415d2483db
Continual-Federated-IDS,10.1186/s42400-023-00199-0,peer_reviewed,CICIDS2017 5-way 3-shot binary projection,macro_f1,0.994594661478513,0.9983573719626884,0.0037627104841753134,0.37627104841753134,True,0.0027399972478382995,0.005016326073251437,1000_resample_paired_episode_delta_ci,paired_delta,True,True,official_code_participating_adapted_same_query,True,True,True,True,True,False,data/runs/mad_etd_external_peer_multiagent_v10/paper_ready_cfids_same_query_table.csv,5cb86b564445fc2622b7ddbf47a9ba31e7cd6f60e37121e5f5b2e2415d2483db
Continual-Federated-IDS,10.1186/s42400-023-00199-0,peer_reviewed,CICIDS2017 5-way 3-shot binary projection,weighted_f1,0.9965452859907622,0.9989493586810552,0.0024040726902929688,0.24040726902929688,True,0.0017518006143296821,0.003205231370639383,1000_resample_paired_episode_delta_ci,paired_delta,True,True,official_code_participating_adapted_same_query,True,True,True,True,True,False,data/runs/mad_etd_external_peer_multiagent_v10/paper_ready_cfids_same_query_table.csv,5cb86b564445fc2622b7ddbf47a9ba31e7cd6f60e37121e5f5b2e2415d2483db
Continual-Federated-IDS,10.1186/s42400-023-00199-0,peer_reviewed,CICIDS2017 5-way 3-shot binary projection,malicious_precision,0.9969430407386611,0.9989383625804035,0.001995321841742337,0.19953218417423368,True,,,not_available,paired_delta,False,False,official_code_participating_adapted_same_query,True,True,True,True,True,False,data/runs/mad_etd_external_peer_multiagent_v10/paper_ready_cfids_same_query_table.csv,5cb86b564445fc2622b7ddbf47a9ba31e7cd6f60e37121e5f5b2e2415d2483db
Continual-Federated-IDS,10.1186/s42400-023-00199-0,peer_reviewed,CICIDS2017 5-way 3-shot binary projection,malicious_recall,0.99875,0.99975,0.0010000000000000009,0.10000000000000009,True,,,not_available,paired_delta,False,False,official_code_participating_adapted_same_query,True,True,True,True,True,False,data/runs/mad_etd_external_peer_multiagent_v10/paper_ready_cfids_same_query_table.csv,5cb86b564445fc2622b7ddbf47a9ba31e7cd6f60e37121e5f5b2e2415d2483db
Continual-Federated-IDS,10.1186/s42400-023-00199-0,peer_reviewed,CICIDS2017 5-way 3-shot binary projection,malicious_f1,0.9978457023322614,0.9993440164932996,0.0014983141610381834,0.14983141610381834,True,,,not_available,paired_delta,False,False,official_code_participating_adapted_same_query,True,True,True,True,True,False,data/runs/mad_etd_external_peer_multiagent_v10/paper_ready_cfids_same_query_table.csv,5cb86b564445fc2622b7ddbf47a9ba31e7cd6f60e37121e5f5b2e2415d2483db
ZTA-FL,10.1109/SATC69565.2026.11542411,peer_reviewed,Edge-IIoTset_binary_benign_vs_malicious,accuracy,0.7616599894171895,0.9043011565500038,0.14264116713281427,14.264116713281428,True,0.01798888804898323,0.3168247104845412,1000_resample_paired_source_group_delta_ci,paired_delta,True,True,official_code_participating_adapted_same_query,True,True,True,True,True,False,data/runs/mad_etd_external_peer_multiagent_v11/paper_ready_ztafl_same_query_table.csv,edc39fbe8f72bb7e49370dd8ec9db51fa9c6c3ef7721781631433d89275d8fed
ZTA-FL,10.1109/SATC69565.2026.11542411,peer_reviewed,Edge-IIoTset_binary_benign_vs_malicious,macro_f1,0.7599762311596887,0.9043006310430965,0.14432439988340784,14.432439988340784,True,0.02586119445202395,0.3359390434628645,1000_resample_paired_source_group_delta_ci,paired_delta,True,True,official_code_participating_adapted_same_query,True,True,True,True,True,False,data/runs/mad_etd_external_peer_multiagent_v11/paper_ready_ztafl_same_query_table.csv,edc39fbe8f72bb7e49370dd8ec9db51fa9c6c3ef7721781631433d89275d8fed
ZTA-FL,10.1109/SATC69565.2026.11542411,peer_reviewed,Edge-IIoTset_binary_benign_vs_malicious,weighted_f1,0.7581085967747894,0.9042797972369974,0.146171200462208,14.6171200462208,True,0.018098447257967075,0.37565694706184294,1000_resample_paired_source_group_delta_ci,paired_delta,True,True,official_code_participating_adapted_same_query,True,True,True,True,True,False,data/runs/mad_etd_external_peer_multiagent_v11/paper_ready_ztafl_same_query_table.csv,edc39fbe8f72bb7e49370dd8ec9db51fa9c6c3ef7721781631433d89275d8fed
ZTA-FL,10.1109/SATC69565.2026.11542411,peer_reviewed,Edge-IIoTset_binary_benign_vs_malicious,malicious_precision,0.9165985282093213,0.9994974032501257,0.0828988750408044,8.28988750408044,True,0.0,0.44574887229677995,1000_resample_paired_source_group_delta_ci,paired_delta,False,False,official_code_participating_adapted_same_query,True,True,True,True,True,False,data/runs/mad_etd_external_peer_multiagent_v11/paper_ready_ztafl_same_query_table.csv,edc39fbe8f72bb7e49370dd8ec9db51fa9c6c3ef7721781631433d89275d8fed
