cross_dataset_stability,dataset_occurrence_count,feature_name
not_available,2,alignment.absolute_timestamp
not_available,2,alignment.capture_id
not_available,2,alignment.capture_path
not_available,2,alignment.ip
not_available,2,alignment.port
not_available,2,alignment.source_row
not_available,2,alignment.tcp_stream
not_available,8,context.dst_ip
not_available,8,context.dst_port
not_available,8,context.flow_id
not_available,8,context.sni
not_available,8,context.src_ip
not_available,8,context.src_port
not_available,8,labels.application
not_available,8,labels.attack
not_available,8,labels.binary
not_available,8,labels.category
not_available,8,labels.family
not_available,8,labels.tool
not_available,1,native.ack_flag_count
not_available,1,native.act_data_pkt_fwd
not_available,1,native.active_max
not_available,1,native.active_mean
not_available,1,native.active_min
not_available,1,native.active_std
not_available,1,native.average_packet_size
not_available,1,native.avg_bwd_segment_size
not_available,1,native.avg_fwd_segment_size
not_available,1,native.bwd_avg_bulk_rate
not_available,1,native.bwd_avg_bytes_bulk
not_available,1,native.bwd_avg_packets_bulk
not_available,1,native.bwd_header_length
not_available,1,native.bwd_iat_max
not_available,1,native.bwd_iat_mean
not_available,1,native.bwd_iat_min
not_available,1,native.bwd_iat_std
not_available,1,native.bwd_iat_total
not_available,1,native.bwd_packet_length_max
not_available,1,native.bwd_packet_length_mean
not_available,1,native.bwd_packet_length_min
not_available,1,native.bwd_packet_length_std
not_available,1,native.bwd_packets_s
not_available,1,native.bwd_psh_flags
not_available,1,native.bwd_urg_flags
not_available,1,native.client_tcp_flags
not_available,1,native.cwe_flag_count
not_available,1,native.dns_query_id
not_available,1,native.dns_query_type
not_available,1,native.dns_ttl_answer
not_available,1,native.down_up_ratio
not_available,1,native.dst_to_src_avg_throughput
not_available,1,native.dst_to_src_second_bytes
not_available,1,native.duration_in
not_available,1,native.duration_out
not_available,1,native.ece_flag_count
not_available,1,native.fin_flag_count
not_available,1,native.flow_bytes_s
not_available,1,native.flow_duration
not_available,1,native.flow_duration_milliseconds
not_available,1,native.flow_iat_max
not_available,1,native.flow_iat_mean
not_available,1,native.flow_iat_min
not_available,1,native.flow_iat_std
not_available,1,native.flow_packets_s
not_available,1,native.ftp_command_ret_code
not_available,1,native.fwd_avg_bulk_rate
not_available,1,native.fwd_avg_bytes_bulk
not_available,1,native.fwd_avg_packets_bulk
not_available,1,native.fwd_header_length
not_available,1,native.fwd_iat_max
not_available,1,native.fwd_iat_mean
not_available,1,native.fwd_iat_min
not_available,1,native.fwd_iat_std
not_available,1,native.fwd_iat_total
