analysis_status,cramers_v,cross_dataset_stability,dataset_name,decision_reason,feature_name,feature_rank_stability,final_feature_policy,group_stability,grouped_bootstrap_auc_high,grouped_bootstrap_auc_low,ks_statistic,label_association,missingness_leakage,mutation_invariance,permutation_importance,semantic_role,shap_importance,shortcut_risk,single_feature_auc,source_association,wasserstein_distance
computed,not_available,not_available,CESNET-TLS22,Feature is currently native to a limited dataset/schema and requires scoped validation.,stats.ppi_duration,not_available,dataset_specific,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,CESNET-TLS22,Feature is currently native to a limited dataset/schema and requires scoped validation.,stats.ppi_negative_ipt_count,not_available,dataset_specific,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,CESNET-TLS22,Feature is currently native to a limited dataset/schema and requires scoped validation.,stats.ppi_roundtrips,not_available,dataset_specific,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,CipherSpectrum,Feature is currently native to a limited dataset/schema and requires scoped validation.,stats.packet_length_variance,not_available,dataset_specific,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,NF-BoT-IoT/NF-ToN-IoT,Feature is currently native to a limited dataset/schema and requires scoped validation.,native.client_tcp_flags,not_available,dataset_specific,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,dataset_native_flow_feature,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,NF-BoT-IoT/NF-ToN-IoT,Feature is currently native to a limited dataset/schema and requires scoped validation.,native.dns_query_id,not_available,dataset_specific,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,dataset_native_flow_feature,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,NF-BoT-IoT/NF-ToN-IoT,Feature is currently native to a limited dataset/schema and requires scoped validation.,native.dns_query_type,not_available,dataset_specific,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,dataset_native_flow_feature,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,NF-BoT-IoT/NF-ToN-IoT,Feature is currently native to a limited dataset/schema and requires scoped validation.,native.dns_ttl_answer,not_available,dataset_specific,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,dataset_native_flow_feature,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,NF-BoT-IoT/NF-ToN-IoT,Feature is currently native to a limited dataset/schema and requires scoped validation.,native.dst_to_src_avg_throughput,not_available,dataset_specific,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,dataset_native_flow_feature,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,NF-BoT-IoT/NF-ToN-IoT,Feature is currently native to a limited dataset/schema and requires scoped validation.,native.dst_to_src_second_bytes,not_available,dataset_specific,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,dataset_native_flow_feature,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,NF-BoT-IoT/NF-ToN-IoT,Feature is currently native to a limited dataset/schema and requires scoped validation.,native.duration_in,not_available,dataset_specific,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,dataset_native_flow_feature,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,NF-BoT-IoT/NF-ToN-IoT,Feature is currently native to a limited dataset/schema and requires scoped validation.,native.duration_out,not_available,dataset_specific,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,dataset_native_flow_feature,not_available,0.0,not_available,not_available,not_available
