analysis_status,cramers_v,cross_dataset_stability,dataset_name,decision_reason,feature_name,feature_rank_stability,final_feature_policy,group_stability,grouped_bootstrap_auc_high,grouped_bootstrap_auc_low,ks_statistic,label_association,missingness_leakage,mutation_invariance,permutation_importance,semantic_role,shap_importance,shortcut_risk,single_feature_auc,source_association,wasserstein_distance
inventory_only,not_available,not_available,USTC-TFC2016,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",context.dst_ip,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,USTC-TFC2016,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",context.dst_port,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,USTC-TFC2016,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",context.flow_id,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,USTC-TFC2016,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",context.sni,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,USTC-TFC2016,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",context.src_ip,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,USTC-TFC2016,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",context.src_port,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,USTC-TFC2016,Ground truth or task context is evaluation-only.,labels.application,not_available,label_only,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,label_only,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,USTC-TFC2016,Ground truth or task context is evaluation-only.,labels.attack,not_available,label_only,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,label_only,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,USTC-TFC2016,Ground truth or task context is evaluation-only.,labels.binary,not_available,label_only,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,label_only,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,USTC-TFC2016,Ground truth or task context is evaluation-only.,labels.category,not_available,label_only,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,label_only,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,USTC-TFC2016,Ground truth or task context is evaluation-only.,labels.family,not_available,label_only,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,label_only,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,USTC-TFC2016,Ground truth or task context is evaluation-only.,labels.tool,not_available,label_only,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,label_only,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,USTC-TFC2016,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",provenance.capture_id,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,USTC-TFC2016,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",provenance.capture_path,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,USTC-TFC2016,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",provenance.dataset,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,USTC-TFC2016,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",provenance.source_file,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,USTC-TFC2016,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",sample_id,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,USTC-TFC2016,Evidence is safe only when the corresponding sequence/TLS capability is present.,sequence.directions,not_available,safe_conditional,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,temporal_sequence,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,USTC-TFC2016,Evidence is safe only when the corresponding sequence/TLS capability is present.,sequence.iats,not_available,safe_conditional,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,temporal_sequence,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,USTC-TFC2016,Evidence is safe only when the corresponding sequence/TLS capability is present.,sequence.packet_lengths,not_available,safe_conditional,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,temporal_sequence,not_available,0.0,not_available,not_available,not_available
computed,0.7881415413903556,not_available,USTC-TFC2016,Source/group association or leave-one-group-out instability exceeds the pre-registered shortcut-risk boundary.,stats.duration,not_available,shortcut_suspect,not_available,0.9361354415123327,0.8999979138535625,0.794047619047619,0.45433235795889404,0.0,not_available,0.04406857651184566,flow_statistics,0.040961174345009795,1.0,0.9188541666666666,1.2181534445797615,0.5726488604326069
computed,0.36311196358555053,not_available,USTC-TFC2016,Source/group association or leave-one-group-out instability exceeds the pre-registered shortcut-risk boundary.,stats.inbound_bytes,not_available,shortcut_suspect,not_available,0.5711875415422396,0.5096385718024327,0.31238095238095237,0.34112792133908143,0.0,not_available,0.002367387227490325,flow_statistics,0.025277113240116958,0.8287437708240972,0.5388660714285715,0.8287437708240972,0.11036654523395513
computed,0.7231010325551145,not_available,USTC-TFC2016,Source/group association or leave-one-group-out instability exceeds the pre-registered shortcut-risk boundary.,stats.mean_packet_length,not_available,shortcut_suspect,not_available,0.7439247258804422,0.6976618865604375,0.405,0.5223833359050405,0.0,not_available,0.11928302026786027,flow_statistics,0.12968935298055537,1.0,0.7205565476190476,1.6422821613772607,0.8208437479441549
computed,0.47980001656266624,not_available,USTC-TFC2016,Source/group association or leave-one-group-out instability exceeds the pre-registered shortcut-risk boundary.,stats.outbound_bytes,not_available,shortcut_suspect,not_available,0.5831554630789249,0.5226214286121196,0.27785714285714286,0.5521952806355142,0.0,not_available,0.016699617913384545,flow_statistics,0.04196097152119737,1.0,0.5517926587301587,1.6228822575780977,0.6752636965768392
computed,0.47038121163096563,not_available,USTC-TFC2016,Source/group association or leave-one-group-out instability exceeds the pre-registered shortcut-risk boundary.,stats.outbound_ratio,not_available,shortcut_suspect,not_available,0.5988028729812959,0.5452823101878496,0.30357142857142855,0.31071841584361737,0.0,not_available,0.09723010412524316,flow_statistics,0.03480517621733655,1.0,0.5731269841269842,1.2370673765668152,0.7019106946616342
computed,0.41205518521239776,not_available,USTC-TFC2016,Source/group association or leave-one-group-out instability exceeds the pre-registered shortcut-risk boundary.,stats.packet_count,not_available,shortcut_suspect,not_available,0.6286133512996879,0.5680340869085189,0.26904761904761904,0.22583156488534084,0.0,not_available,0.08349883797190238,flow_statistics,0.06548015907216219,0.8898515016204982,0.5974077380952381,0.8898515016204982,0.14931501493514887
computed,0.36109202085147746,not_available,USTC-TFC2016,Source/group association or leave-one-group-out instability exceeds the pre-registered shortcut-risk boundary.,stats.packet_length_variance,not_available,shortcut_suspect,not_available,0.5982466458789715,0.5365404396852386,0.2783333333333333,0.25566997772925126,0.0,not_available,0.011530794490522633,flow_statistics,0.05015921942335603,1.0,0.568155753968254,1.1718453905468005,0.3718820949501996
computed,0.3739355861966965,not_available,USTC-TFC2016,Source/group association or leave-one-group-out instability exceeds the pre-registered shortcut-risk boundary.,stats.total_bytes,not_available,shortcut_suspect,not_available,0.5579587025277793,0.5063097693157241,0.2438095238095238,0.48530317896785946,0.0,not_available,0.018540365640864163,flow_statistics,0.028263378298534616,1.0,0.5325505952380952,1.5879269271031986,0.1918507550281329
inventory_only,not_available,not_available,USTC-TFC2016,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",trace_id,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,CESNET-TLS22,"Field contract blocks identity, endpoint, provenance, or shortcut-prone context.",context.dst_ip,not_available,blocked,not_available,not_available,not_available,not_available,not_available,not_available,True,not_available,blocked,not_available,0.0,not_available,not_available,not_available
