analysis_status,cramers_v,cross_dataset_stability,dataset_name,decision_reason,feature_name,feature_rank_stability,final_feature_policy,group_stability,grouped_bootstrap_auc_high,grouped_bootstrap_auc_low,ks_statistic,label_association,missingness_leakage,mutation_invariance,permutation_importance,semantic_role,shap_importance,shortcut_risk,single_feature_auc,source_association,wasserstein_distance
computed,not_available,not_available,CESNET-TLS22,Canonical aggregate is present across at least four audited datasets.,stats.duration,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,CESNET-TLS22,Canonical aggregate is present across at least four audited datasets.,stats.inbound_bytes,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,CESNET-TLS22,Canonical aggregate is present across at least four audited datasets.,stats.mean_packet_length,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,CESNET-TLS22,Canonical aggregate is present across at least four audited datasets.,stats.outbound_bytes,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,CESNET-TLS22,Canonical aggregate is present across at least four audited datasets.,stats.outbound_ratio,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,CESNET-TLS22,Canonical aggregate is present across at least four audited datasets.,stats.packet_count,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,CESNET-TLS22,Canonical aggregate is present across at least four audited datasets.,stats.total_bytes,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,CipherSpectrum,Canonical aggregate is present across at least four audited datasets.,stats.duration,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,CipherSpectrum,Canonical aggregate is present across at least four audited datasets.,stats.inbound_bytes,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,CipherSpectrum,Canonical aggregate is present across at least four audited datasets.,stats.mean_packet_length,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,CipherSpectrum,Canonical aggregate is present across at least four audited datasets.,stats.outbound_bytes,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,CipherSpectrum,Canonical aggregate is present across at least four audited datasets.,stats.outbound_ratio,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,CipherSpectrum,Canonical aggregate is present across at least four audited datasets.,stats.packet_count,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,CipherSpectrum,Canonical aggregate is present across at least four audited datasets.,stats.total_bytes,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,HIKARI-2021,Canonical aggregate is present across at least four audited datasets.,stats.duration,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
computed,not_available,not_available,HIKARI-2021,Canonical aggregate is present across at least four audited datasets.,stats.inbound_bytes,not_available,safe_common,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,flow_statistics,not_available,0.0,not_available,not_available,not_available
