analysis_status,cramers_v,cross_dataset_stability,dataset_name,decision_reason,feature_name,feature_rank_stability,final_feature_policy,group_stability,grouped_bootstrap_auc_high,grouped_bootstrap_auc_low,ks_statistic,label_association,missingness_leakage,mutation_invariance,permutation_importance,semantic_role,shap_importance,shortcut_risk,single_feature_auc,source_association,wasserstein_distance
inventory_only,not_available,not_available,USTC-TFC2016,Evidence is safe only when the corresponding sequence/TLS capability is present.,sequence.directions,not_available,safe_conditional,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,temporal_sequence,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,USTC-TFC2016,Evidence is safe only when the corresponding sequence/TLS capability is present.,sequence.iats,not_available,safe_conditional,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,temporal_sequence,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,USTC-TFC2016,Evidence is safe only when the corresponding sequence/TLS capability is present.,sequence.packet_lengths,not_available,safe_conditional,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,temporal_sequence,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,CESNET-TLS22,Evidence is safe only when the corresponding sequence/TLS capability is present.,sequence.directions,not_available,safe_conditional,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,temporal_sequence,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,CESNET-TLS22,Evidence is safe only when the corresponding sequence/TLS capability is present.,sequence.iats,not_available,safe_conditional,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,temporal_sequence,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,CESNET-TLS22,Evidence is safe only when the corresponding sequence/TLS capability is present.,sequence.packet_lengths,not_available,safe_conditional,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,temporal_sequence,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,CipherSpectrum,Evidence is safe only when the corresponding sequence/TLS capability is present.,sequence.directions,not_available,safe_conditional,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,temporal_sequence,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,CipherSpectrum,Evidence is safe only when the corresponding sequence/TLS capability is present.,sequence.iats,not_available,safe_conditional,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,temporal_sequence,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,CipherSpectrum,Evidence is safe only when the corresponding sequence/TLS capability is present.,sequence.packet_lengths,not_available,safe_conditional,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,temporal_sequence,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,CipherSpectrum,Evidence is safe only when the corresponding sequence/TLS capability is present.,tls.cipher_suite,not_available,safe_conditional,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,tls_protocol,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,CipherSpectrum,Evidence is safe only when the corresponding sequence/TLS capability is present.,tls.handshake_complete,not_available,safe_conditional,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,tls_protocol,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,CipherSpectrum,Evidence is safe only when the corresponding sequence/TLS capability is present.,tls.version,not_available,safe_conditional,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,tls_protocol,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,DoHBrw-2020,Evidence is safe only when the corresponding sequence/TLS capability is present.,tls.alpn,not_available,safe_conditional,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,tls_protocol,not_available,0.0,not_available,not_available,not_available
inventory_only,not_available,not_available,DoHBrw-2020,Evidence is safe only when the corresponding sequence/TLS capability is present.,tls.client_cipher_count,not_available,safe_conditional,not_available,not_available,not_available,not_available,not_available,not_available,not_available,not_available,tls_protocol,not_available,0.0,not_available,not_available,not_available
