analysis_status,dataset_name,feature_name,final_feature_policy,group_stability,shortcut_risk,source_association
inventory_only,USTC-TFC2016,context.dst_ip,blocked,not_available,0.0,not_available
inventory_only,USTC-TFC2016,context.dst_port,blocked,not_available,0.0,not_available
inventory_only,USTC-TFC2016,context.flow_id,blocked,not_available,0.0,not_available
inventory_only,USTC-TFC2016,context.sni,blocked,not_available,0.0,not_available
inventory_only,USTC-TFC2016,context.src_ip,blocked,not_available,0.0,not_available
inventory_only,USTC-TFC2016,context.src_port,blocked,not_available,0.0,not_available
inventory_only,USTC-TFC2016,labels.application,label_only,not_available,0.0,not_available
inventory_only,USTC-TFC2016,labels.attack,label_only,not_available,0.0,not_available
inventory_only,USTC-TFC2016,labels.binary,label_only,not_available,0.0,not_available
inventory_only,USTC-TFC2016,labels.category,label_only,not_available,0.0,not_available
inventory_only,USTC-TFC2016,labels.family,label_only,not_available,0.0,not_available
inventory_only,USTC-TFC2016,labels.tool,label_only,not_available,0.0,not_available
inventory_only,USTC-TFC2016,provenance.capture_id,blocked,not_available,0.0,not_available
inventory_only,USTC-TFC2016,provenance.capture_path,blocked,not_available,0.0,not_available
inventory_only,USTC-TFC2016,provenance.dataset,blocked,not_available,0.0,not_available
inventory_only,USTC-TFC2016,provenance.source_file,blocked,not_available,0.0,not_available
inventory_only,USTC-TFC2016,sample_id,blocked,not_available,0.0,not_available
inventory_only,USTC-TFC2016,sequence.directions,safe_conditional,not_available,0.0,not_available
inventory_only,USTC-TFC2016,sequence.iats,safe_conditional,not_available,0.0,not_available
inventory_only,USTC-TFC2016,sequence.packet_lengths,safe_conditional,not_available,0.0,not_available
computed,USTC-TFC2016,stats.duration,shortcut_suspect,not_available,1.0,1.2181534445797615
computed,USTC-TFC2016,stats.inbound_bytes,shortcut_suspect,not_available,0.8287437708240972,0.8287437708240972
computed,USTC-TFC2016,stats.mean_packet_length,shortcut_suspect,not_available,1.0,1.6422821613772607
computed,USTC-TFC2016,stats.outbound_bytes,shortcut_suspect,not_available,1.0,1.6228822575780977
computed,USTC-TFC2016,stats.outbound_ratio,shortcut_suspect,not_available,1.0,1.2370673765668152
computed,USTC-TFC2016,stats.packet_count,shortcut_suspect,not_available,0.8898515016204982,0.8898515016204982
computed,USTC-TFC2016,stats.packet_length_variance,shortcut_suspect,not_available,1.0,1.1718453905468005
computed,USTC-TFC2016,stats.total_bytes,shortcut_suspect,not_available,1.0,1.5879269271031986
inventory_only,USTC-TFC2016,trace_id,blocked,not_available,0.0,not_available
inventory_only,CESNET-TLS22,context.dst_ip,blocked,not_available,0.0,not_available
inventory_only,CESNET-TLS22,context.dst_port,blocked,not_available,0.0,not_available
inventory_only,CESNET-TLS22,context.flow_id,blocked,not_available,0.0,not_available
inventory_only,CESNET-TLS22,context.sni,blocked,not_available,0.0,not_available
inventory_only,CESNET-TLS22,context.src_ip,blocked,not_available,0.0,not_available
inventory_only,CESNET-TLS22,context.src_port,blocked,not_available,0.0,not_available
inventory_only,CESNET-TLS22,labels.application,label_only,not_available,0.0,not_available
inventory_only,CESNET-TLS22,labels.attack,label_only,not_available,0.0,not_available
inventory_only,CESNET-TLS22,labels.binary,label_only,not_available,0.0,not_available
inventory_only,CESNET-TLS22,labels.category,label_only,not_available,0.0,not_available
inventory_only,CESNET-TLS22,labels.family,label_only,not_available,0.0,not_available
inventory_only,CESNET-TLS22,labels.tool,label_only,not_available,0.0,not_available
inventory_only,CESNET-TLS22,provenance.capture_id,blocked,not_available,0.0,not_available
inventory_only,CESNET-TLS22,provenance.capture_path,blocked,not_available,0.0,not_available
inventory_only,CESNET-TLS22,provenance.dataset,blocked,not_available,0.0,not_available
inventory_only,CESNET-TLS22,provenance.source_file,blocked,not_available,0.0,not_available
inventory_only,CESNET-TLS22,sample_id,blocked,not_available,0.0,not_available
inventory_only,CESNET-TLS22,sequence.directions,safe_conditional,not_available,0.0,not_available
inventory_only,CESNET-TLS22,sequence.iats,safe_conditional,not_available,0.0,not_available
inventory_only,CESNET-TLS22,sequence.packet_lengths,safe_conditional,not_available,0.0,not_available
computed,CESNET-TLS22,stats.duration,safe_common,not_available,0.0,not_available
computed,CESNET-TLS22,stats.inbound_bytes,safe_common,not_available,0.0,not_available
computed,CESNET-TLS22,stats.mean_packet_length,safe_common,not_available,0.0,not_available
computed,CESNET-TLS22,stats.outbound_bytes,safe_common,not_available,0.0,not_available
computed,CESNET-TLS22,stats.outbound_ratio,safe_common,not_available,0.0,not_available
computed,CESNET-TLS22,stats.packet_count,safe_common,not_available,0.0,not_available
computed,CESNET-TLS22,stats.ppi_duration,dataset_specific,not_available,0.0,not_available
computed,CESNET-TLS22,stats.ppi_negative_ipt_count,dataset_specific,not_available,0.0,not_available
