blocked_identity_field_count,configuration,dataset,diagnostic_only,feature_count,features,group_kind
0,all_numeric_features,USTC-TFC2016,True,21,protocol_numeric|total_bytes|outbound_bytes|inbound_bytes|packet_count|duration_ms|sequence_length|length_mean|length_std|length_min|length_max|signed_length_mean|signed_length_std|direction_change_rate|iat_mean|iat_std|iat_max|outbound_ratio|mean_packet_length|packet_length_variance|truncated,family_application_file
0,safe_common_only,USTC-TFC2016,False,6,protocol_numeric|total_bytes|outbound_bytes|inbound_bytes|packet_count|duration_ms,family_application_file
0,safe_common_plus_safe_conditional,USTC-TFC2016,False,17,protocol_numeric|total_bytes|outbound_bytes|inbound_bytes|packet_count|duration_ms|sequence_length|length_mean|length_std|length_min|length_max|signed_length_mean|signed_length_std|direction_change_rate|iat_mean|iat_std|iat_max,family_application_file
0,safe_common_plus_dataset_specific,USTC-TFC2016,False,10,protocol_numeric|total_bytes|outbound_bytes|inbound_bytes|packet_count|duration_ms|outbound_ratio|mean_packet_length|packet_length_variance|truncated,family_application_file
0,all_numeric_features,NF-IoT,True,6,protocol|in_bytes|out_bytes|in_packets|out_packets|flow_duration_ms,source_variant
0,safe_common_only,NF-IoT,False,6,protocol_numeric|total_bytes|outbound_bytes|inbound_bytes|packet_count|duration_ms,source_variant
0,safe_common_plus_safe_conditional,NF-IoT,False,6,protocol_numeric|total_bytes|outbound_bytes|inbound_bytes|packet_count|duration_ms,source_variant
0,safe_common_plus_dataset_specific,NF-IoT,False,8,protocol_numeric|total_bytes|outbound_bytes|inbound_bytes|packet_count|duration_ms|outbound_byte_ratio|outbound_packet_ratio,source_variant
0,all_numeric_features,CICIDS2017,True,21,protocol_numeric|total_bytes|outbound_bytes|inbound_bytes|packet_count|duration_ms|sequence_length|length_mean|length_std|length_min|length_max|signed_length_mean|signed_length_std|direction_change_rate|iat_mean|iat_std|iat_max|short_flow_flag|length_sum|signed_length_mean|signed_length_std,capture_day
0,safe_common_only,CICIDS2017,False,6,protocol_numeric|total_bytes|outbound_bytes|inbound_bytes|packet_count|duration_ms,capture_day
0,safe_common_plus_safe_conditional,CICIDS2017,False,17,protocol_numeric|total_bytes|outbound_bytes|inbound_bytes|packet_count|duration_ms|sequence_length|length_mean|length_std|length_min|length_max|signed_length_mean|signed_length_std|direction_change_rate|iat_mean|iat_std|iat_max,capture_day
0,safe_common_plus_dataset_specific,CICIDS2017,False,10,protocol_numeric|total_bytes|outbound_bytes|inbound_bytes|packet_count|duration_ms|short_flow_flag|length_sum|signed_length_mean|signed_length_std,capture_day
0,all_numeric_features,HIKARI-2021,True,18,protocol_numeric|total_bytes|outbound_bytes|inbound_bytes|packet_count|duration_ms|fwd_pkts_per_sec|bwd_pkts_per_sec|flow_pkts_per_sec|down_up_ratio|flow_SYN_flag_count|flow_RST_flag_count|flow_ACK_flag_count|flow_pkts_payload.avg|flow_pkts_payload.std|flow_iat.avg|flow_iat.std|payload_bytes_per_second,collection
0,safe_common_only,HIKARI-2021,False,6,protocol_numeric|total_bytes|outbound_bytes|inbound_bytes|packet_count|duration_ms,collection
0,safe_common_plus_safe_conditional,HIKARI-2021,False,6,protocol_numeric|total_bytes|outbound_bytes|inbound_bytes|packet_count|duration_ms,collection
0,safe_common_plus_dataset_specific,HIKARI-2021,False,12,protocol_numeric|total_bytes|outbound_bytes|inbound_bytes|packet_count|duration_ms|fwd_pkts_per_sec|bwd_pkts_per_sec|flow_pkts_per_sec|down_up_ratio|flow_SYN_flag_count|flow_RST_flag_count,collection
0,all_numeric_features,DoHBrw-2020,True,17,protocol_numeric|total_bytes|outbound_bytes|inbound_bytes|packet_count|duration_ms|tls_record_count|tls_length_mean|tls_length_std|tls_length_min|tls_length_max|tls_signed_mean|tls_signed_std|client_cipher_count|client_extension_count|server_extension_count|alpn_count,capture_id
0,safe_common_only,DoHBrw-2020,False,6,protocol_numeric|total_bytes|outbound_bytes|inbound_bytes|packet_count|duration_ms,capture_id
0,safe_common_plus_safe_conditional,DoHBrw-2020,False,13,protocol_numeric|total_bytes|outbound_bytes|inbound_bytes|packet_count|duration_ms|tls_record_count|tls_length_mean|tls_length_std|tls_length_min|tls_length_max|tls_signed_mean|tls_signed_std,capture_id
0,safe_common_plus_dataset_specific,DoHBrw-2020,False,10,protocol_numeric|total_bytes|outbound_bytes|inbound_bytes|packet_count|duration_ms|client_cipher_count|client_extension_count|server_extension_count|alpn_count,capture_id
