configuration,dataset,feature_rank_stability,group_kind,group_status,source_predictability_auc
all_numeric_features,USTC-TFC2016,0.8822510822510822,family_application_file,available,0.9446995930203301
safe_common_only,USTC-TFC2016,0.8476190476190477,family_application_file,available,0.8954724298007246
safe_common_plus_safe_conditional,USTC-TFC2016,0.8570261437908497,family_application_file,available,0.9468433914553142
safe_common_plus_dataset_specific,USTC-TFC2016,0.9191919191919191,family_application_file,available,0.8946932241344605
all_numeric_features,NF-IoT,0.06666666666666667,source_variant,available,0.9987583590534979
safe_common_only,NF-IoT,0.2571428571428572,source_variant,available,0.9992592592592592
safe_common_plus_safe_conditional,NF-IoT,0.2571428571428572,source_variant,available,0.9992592592592592
safe_common_plus_dataset_specific,NF-IoT,0.20634920634920637,source_variant,available,0.9988946759259258
all_numeric_features,CICIDS2017,0.7320346320346319,capture_day,available,0.9090145533001769
safe_common_only,CICIDS2017,0.37142857142857144,capture_day,available,0.8887519406034734
safe_common_plus_safe_conditional,CICIDS2017,0.7066993464052288,capture_day,available,0.9099081920488311
safe_common_plus_dataset_specific,CICIDS2017,0.7292929292929292,capture_day,available,0.8939488719899373
all_numeric_features,HIKARI-2021,not_available,collection,blocked_single_collection_group,not_available
safe_common_only,HIKARI-2021,not_available,collection,blocked_single_collection_group,not_available
safe_common_plus_safe_conditional,HIKARI-2021,not_available,collection,blocked_single_collection_group,not_available
safe_common_plus_dataset_specific,HIKARI-2021,not_available,collection,blocked_single_collection_group,not_available
all_numeric_features,DoHBrw-2020,0.9109477124183009,capture_id,available,not_available
safe_common_only,DoHBrw-2020,1.0,capture_id,available,not_available
safe_common_plus_safe_conditional,DoHBrw-2020,0.8882783882783882,capture_id,available,not_available
safe_common_plus_dataset_specific,DoHBrw-2020,0.9919191919191919,capture_id,available,not_available
