mode,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,malicious_recall,ece,brier_score,coverage,selective_error,source_mode
factorial_hgb_plus_temporal,0.87615,0.897723480072732,0.87615,0.8744474315260711,0.874447431526071,0.9926,0.10178025995142856,0.08975434694942547,1.0,0.12385000000000002,
factorial_tree_plus_temporal,0.943675,0.948521545533723,0.943675,0.9435224314610504,0.9435224314610503,0.99565,0.0841891673979419,0.06448216396928191,1.0,0.05632499999999996,
fixed_weight_ensemble,0.885925,0.9006563580124232,0.8859250000000001,0.8848666928416424,0.8848666928416423,0.9818,0.08572010763121289,0.07189962995332938,1.0,0.11407500000000004,
full_mad_etd_fusion,0.9254,0.9323069508616384,0.9254,0.9251008347582247,0.9251008347582247,0.9886,0.06904626408493061,0.06369167602801305,1.0,0.0746,
reliability_only_fusion,0.941725,0.9459075785287625,0.9417249999999999,0.9415880250504753,0.9415880250504753,0.99015,0.08603916216040908,0.06464890060010546,1.0,0.058274999999999966,
reliability_plus_ood_fusion,0.941725,0.9459075785287625,0.9417249999999999,0.9415880250504753,0.9415880250504753,0.99015,0.08603916216040908,0.06464890060010546,1.0,0.058274999999999966,
simple_probability_average,0.9424,0.9467254459337806,0.9424,0.9422602328099491,0.9422602328099491,0.9916,0.08727735838466504,0.06465507805479616,1.0,0.057599999999999985,
stats_hgb_only,0.84725,0.8700069046644845,0.84725,0.8448646386844115,0.8448646386844115,0.97125,0.1500130290441235,0.1477325390412553,1.0,0.15275000000000005,
stats_tree_only,0.86465,0.8805815866936362,0.8646499999999999,0.8632185423793775,0.8632185423793775,0.96695,0.0944314058221671,0.09284457037421875,1.0,0.13534999999999997,
strongest_single_agent,0.928675,0.936844232879732,0.9286749999999999,0.9283399793261593,0.9283399793261593,0.99705,0.07481095422080244,0.07023527130894108,1.0,0.07132499999999997,temporal_only
temporal_only,0.928675,0.936844232879732,0.9286749999999999,0.9283399793261593,0.9283399793261593,0.99705,0.07481095422080244,0.07023527130894108,1.0,0.07132499999999997,
validation_selected_single_agent,0.9277,0.9315621184479295,0.9277,0.9275378812262888,0.9275378812262887,0.975,0.05402729840899351,0.04722249223352731,1.0,0.07230000000000003,
