case_state_hash,dataset_scope,repeat,real_llm_call,valid_guarded_plan,sanitized_plan,api_latency_ms,total_tokens,error
50679a61d4b2c6711f1903bec38c2f9cbbb5489e9b4fd604e63f7d53fd7db3e1,USTC-TFC2016,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
50679a61d4b2c6711f1903bec38c2f9cbbb5489e9b4fd604e63f7d53fd7db3e1,USTC-TFC2016,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
50679a61d4b2c6711f1903bec38c2f9cbbb5489e9b4fd604e63f7d53fd7db3e1,USTC-TFC2016,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
4731182958fb67b5b7acb598bec6bfbd71a9a5178045d58f9b2406729e6e2fa0,CICIoT2023,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
4731182958fb67b5b7acb598bec6bfbd71a9a5178045d58f9b2406729e6e2fa0,CICIoT2023,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
4731182958fb67b5b7acb598bec6bfbd71a9a5178045d58f9b2406729e6e2fa0,CICIoT2023,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
ef0e7012eaab6f86cb84bfd19218bf7c9647ac7b69834f781195e537eb88d038,NF-IoT,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
ef0e7012eaab6f86cb84bfd19218bf7c9647ac7b69834f781195e537eb88d038,NF-IoT,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
ef0e7012eaab6f86cb84bfd19218bf7c9647ac7b69834f781195e537eb88d038,NF-IoT,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
a9f6982bdc0cfc6208d4ca99b0764cb9bb69eed9a6b5ff120245022b46724b7b,NF-IoT,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
a9f6982bdc0cfc6208d4ca99b0764cb9bb69eed9a6b5ff120245022b46724b7b,NF-IoT,2,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
a9f6982bdc0cfc6208d4ca99b0764cb9bb69eed9a6b5ff120245022b46724b7b,NF-IoT,3,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
2411f81233861b864df6c6f784d7473ab676f5601b129637dbf42ac6af07329e,USTC-TFC2016,1,False,False,"{""fallback"":""rule_planner"",""requests"":[],""stop"":false}",,,HTTPError
