heldout_group,validation_groups,validation_count,acceptance_count,selected_stats_backend,gate_target_request_rate,logistic_gate_request_rate,logistic_gate_macro_f1
benign:BitTorrent,benign:SMB|malware:Miuref,4000,2000,stats_extra_trees,0.96775,0.671,0.5
benign:FTP,benign:SMB|malware:Nsis-ay,4000,2000,stats_extra_trees,0.95225,0.0905,0.43149516770892554
benign:Facetime,benign:Outlook|malware:Htbot,4000,2000,stats_extra_trees,0.99575,1.0,0.16666666666666666
benign:Gmail,benign:BitTorrent|malware:Zeus,4000,2000,stats_extra_trees,1.0,1.0,0.5
benign:MySQL,benign:Outlook|malware:Shifu,4000,2000,stats_hgb,0.90075,0.819,0.5
benign:Outlook,benign:MySQL|malware:Shifu,4000,2000,stats_hgb,0.86575,1.0,0.5
benign:SMB,benign:BitTorrent|malware:Shifu,4000,2000,stats_hgb,0.88625,0.975,0.48691636736788096
benign:Skype,benign:FTP|malware:Tinba,4000,2000,stats_extra_trees,0.969,1.0,0.3952222558209858
benign:Weibo,benign:FTP|malware:Tinba,4000,2000,stats_extra_trees,0.92725,0.0695,0.5
benign:WorldOfWarcraft,benign:BitTorrent|malware:Miuref,4000,2000,stats_extra_trees,1.0,1.0,0.4991234660656148
malware:Cridex,benign:SMB|malware:Geodo,4000,2000,stats_extra_trees,0.9645,1.0,0.5
malware:Geodo,benign:Gmail|malware:Htbot,4000,2000,stats_hgb,0.3525,0.087,0.4976136649083145
malware:Htbot,benign:WorldOfWarcraft|malware:Neris,4000,2000,stats_extra_trees,0.99475,0.6645,0.4986212083228879
malware:Miuref,benign:Outlook|malware:Geodo,4000,2000,stats_extra_trees,0.99975,0.8545,0.5
malware:Neris,benign:FTP|malware:Geodo,4000,2000,stats_extra_trees,0.9275,0.897,0.4986212083228879
malware:Nsis-ay,benign:Outlook|malware:Shifu,4000,2000,stats_hgb,0.18775,0.232,0.48612538540596095
malware:Shifu,benign:BitTorrent|malware:Tinba,4000,2000,stats_hgb,0.1385,0.713,0.5
malware:Tinba,benign:WorldOfWarcraft|malware:Miuref,4000,2000,stats_hgb,0.88925,0.997,0.5
malware:Virut,benign:Weibo|malware:Cridex,4000,2000,stats_hgb,0.7345,0.0955,0.49987496874218557
malware:Zeus,benign:Skype|malware:Miuref,4000,2000,stats_extra_trees,0.564,1.0,0.49987496874218557
