heldout_group,sample_count,class_label,reference_group_class_f1,candidate_group_class_f1,group_class_f1_delta,followup_rate,stats_selected_rate
benign:BitTorrent,500,0,1.0,1.0,0.0,0.0,0.0
benign:FTP,500,0,0.8662131519274376,0.8662131519274376,0.0,0.116,0.0
benign:Facetime,500,0,0.3870967741935484,0.3870967741935484,0.0,0.0,0.0
benign:Gmail,500,0,0.998998998998999,0.998998998998999,0.0,0.016,0.0
benign:MySQL,500,0,0.9583333333333334,0.9583333333333334,0.0,0.08,0.0
benign:Outlook,500,0,1.0,1.0,0.0,0.0,0.0
benign:SMB,500,0,0.9637305699481865,0.9637305699481865,0.0,0.074,0.0
benign:Skype,500,0,0.7908101571946796,0.7908101571946796,0.0,0.598,0.0
benign:Weibo,500,0,1.0,1.0,0.0,0.002,0.0
benign:WorldOfWarcraft,500,0,0.9979959919839679,0.9979959919839679,0.0,0.004,0.0
malware:Cridex,500,1,1.0,1.0,0.0,0.0,0.0
malware:Geodo,500,1,0.9949748743718593,0.9949748743718593,0.0,0.0,0.0
malware:Htbot,500,1,1.0,1.0,0.0,0.04,0.0
malware:Miuref,500,1,1.0,1.0,0.0,0.0,0.0
malware:Neris,500,1,0.9969909729187563,0.9969909729187563,0.0,0.004,0.0
malware:Nsis-ay,500,1,1.0,1.0,0.0,0.082,0.0
malware:Shifu,500,1,1.0,1.0,0.0,0.138,0.0
malware:Tinba,500,1,1.0,1.0,0.0,0.0,0.0
malware:Virut,500,1,0.998998998998999,0.998998998998999,0.0,0.002,0.0
malware:Zeus,500,1,1.0,1.0,0.0,0.008,0.0
