from_config,to_config,from_verdict,to_verdict,sample_count,rate
probability_average,yager_no_reliability_ood_off,benign,benign,2897,0.48283333333333334
probability_average,yager_no_reliability_ood_off,benign,unknown,9,0.0015
probability_average,yager_no_reliability_ood_off,malicious,malicious,3090,0.515
probability_average,yager_no_reliability_ood_off,malicious,suspicious,3,0.0005
probability_average,yager_no_reliability_ood_off,malicious,unknown,1,0.00016666666666666666
yager_no_reliability_ood_off,reliability_yager_ood_off,benign,benign,2897,0.48283333333333334
yager_no_reliability_ood_off,reliability_yager_ood_off,malicious,malicious,3090,0.515
yager_no_reliability_ood_off,reliability_yager_ood_off,suspicious,suspicious,3,0.0005
yager_no_reliability_ood_off,reliability_yager_ood_off,unknown,unknown,10,0.0016666666666666668
reliability_yager_ood_off,full_fusion,benign,benign,1017,0.1695
reliability_yager_ood_off,full_fusion,benign,unknown,1880,0.31333333333333335
reliability_yager_ood_off,full_fusion,malicious,malicious,385,0.06416666666666666
reliability_yager_ood_off,full_fusion,malicious,suspicious,2666,0.44433333333333336
reliability_yager_ood_off,full_fusion,malicious,unknown,39,0.0065
reliability_yager_ood_off,full_fusion,suspicious,suspicious,3,0.0005
reliability_yager_ood_off,full_fusion,unknown,unknown,10,0.0016666666666666668
probability_average,full_fusion,benign,benign,1017,0.1695
probability_average,full_fusion,benign,unknown,1889,0.31483333333333335
probability_average,full_fusion,malicious,malicious,385,0.06416666666666666
probability_average,full_fusion,malicious,suspicious,2669,0.44483333333333336
probability_average,full_fusion,malicious,unknown,40,0.006666666666666667
