parameter,level,value,coverage,selective_error,all_sample_malicious_recall,full_macro_f1,coverage_delta_vs_default,selective_error_delta_vs_default,all_sample_malicious_recall_delta_vs_default
support_threshold,minus_10_percent,0.72,0.23833333333333334,0.0,0.13089851325145443,0.3764952576849191,0.00466666666666668,0.0,0.0064641241111829395
support_threshold,default,0.8,0.23366666666666666,0.0,0.1244343891402715,0.3699043611657198,0.0,0.0,0.0
support_threshold,plus_10_percent,0.88,0.23016666666666666,0.0,0.12120232708468003,0.3652577813069424,-0.003500000000000003,0.0,-0.0032320620555914698
unknown_threshold,minus_10_percent,0.45,0.23366666666666666,0.0,0.1244343891402715,0.3699043611657198,0.0,0.0,0.0
unknown_threshold,default,0.5,0.23366666666666666,0.0,0.1244343891402715,0.3699043611657198,0.0,0.0,0.0
unknown_threshold,plus_10_percent,0.55,0.23366666666666666,0.0,0.1244343891402715,0.3699043611657198,0.0,0.0,0.0
conflict_threshold,minus_10_percent,0.27,0.23366666666666666,0.0,0.1244343891402715,0.3699043611657198,0.0,0.0,0.0
conflict_threshold,default,0.3,0.23366666666666666,0.0,0.1244343891402715,0.3699043611657198,0.0,0.0,0.0
conflict_threshold,plus_10_percent,0.33,0.23366666666666666,0.0,0.1244343891402715,0.3699043611657198,0.0,0.0,0.0
warning_qmodel_discount_strength,minus_10_percent,0.81,0.23416666666666666,0.0,0.12540400775694893,0.3706705897838386,0.0005000000000000004,0.0,0.0009696186166774368
warning_qmodel_discount_strength,default,0.9,0.23366666666666666,0.0,0.1244343891402715,0.3699043611657198,0.0,0.0,0.0
warning_qmodel_discount_strength,plus_10_percent,0.99,0.2335,0.0,0.1244343891402715,0.3697154882379437,-0.0001666666666666483,0.0,0.0
