method,source_config,target_coverage,score_definition,labels_used_for_ranking,accepted_count,realized_coverage,accepted_benign_count,accepted_malicious_count,accepted_malicious_ratio,benign_class_coverage,malicious_class_coverage,balanced_acceptance_rate,accepted_macro_f1,selective_error,all_sample_malicious_recall_with_abstention
probability_average_confidence_reject,probability_average,0.1,confidence*(1-uncertainty),False,600,0.1,600,0,0.0,0.20646937370956642,0.0,0.10323468685478321,0.5,0.0,0.0
probability_average_confidence_reject,probability_average,0.15,confidence*(1-uncertainty),False,900,0.15,900,0,0.0,0.3097040605643496,0.0,0.1548520302821748,0.5,0.0,0.0
probability_average_confidence_reject,probability_average,0.2,confidence*(1-uncertainty),False,1200,0.2,1200,0,0.0,0.41293874741913283,0.0,0.20646937370956642,0.5,0.0,0.0
probability_average_confidence_reject,probability_average,0.23366666666666666,confidence*(1-uncertainty),False,1402,0.23366666666666666,1402,0,0.0,0.48245010323468684,0.0,0.24122505161734342,0.5,0.0,0.0
probability_average_confidence_reject,probability_average,0.25,confidence*(1-uncertainty),False,1500,0.25,1500,0,0.0,0.516173434273916,0.0,0.258086717136958,0.5,0.0,0.0
probability_average_confidence_reject,probability_average,0.3,confidence*(1-uncertainty),False,1800,0.3,1800,0,0.0,0.6194081211286993,0.0,0.3097040605643496,0.5,0.0,0.0
probability_average_confidence_reject,probability_average,0.35,confidence*(1-uncertainty),False,2100,0.35,2100,0,0.0,0.7226428079834825,0.0,0.36132140399174123,0.5,0.0,0.0
probability_average_confidence_reject,probability_average,0.4,confidence*(1-uncertainty),False,2400,0.4,2354,46,0.019166666666666665,0.8100481761871989,0.014867485455720749,0.4124578308214598,1.0,0.0,0.014867485455720749
probability_average_confidence_reject,probability_average,0.45,confidence*(1-uncertainty),False,2700,0.45,2360,340,0.1259259259259259,0.8121128699242945,0.10989010989010989,0.46100148990720224,1.0,0.0,0.10989010989010989
probability_average_confidence_reject,probability_average,0.5,confidence*(1-uncertainty),False,3000,0.5,2368,632,0.21066666666666667,0.8148657949070888,0.20426632191338073,0.5095660584102347,1.0,0.0,0.20426632191338073
probability_average_confidence_reject,probability_average,0.55,confidence*(1-uncertainty),False,3300,0.55,2368,932,0.2824242424242424,0.8148657949070888,0.30122818358112474,0.5580469892441068,1.0,0.0,0.30122818358112474
probability_average_confidence_reject,probability_average,0.6,confidence*(1-uncertainty),False,3600,0.6,2368,1232,0.3422222222222222,0.8148657949070888,0.39819004524886875,0.6065279200779787,1.0,0.0,0.39819004524886875
probability_average_confidence_reject,probability_average,0.65,confidence*(1-uncertainty),False,3900,0.65,2368,1532,0.39282051282051283,0.8148657949070888,0.4951519069166128,0.6550088509118508,1.0,0.0,0.4951519069166128
probability_average_confidence_reject,probability_average,0.7,confidence*(1-uncertainty),False,4200,0.7,2368,1832,0.4361904761904762,0.8148657949070888,0.5921137685843568,0.7034897817457229,1.0,0.0,0.5921137685843568
probability_average_confidence_reject,probability_average,0.75,confidence*(1-uncertainty),False,4500,0.75,2368,2132,0.4737777777777778,0.8148657949070888,0.6890756302521008,0.7519707125795948,1.0,0.0,0.6890756302521008
probability_average_confidence_reject,probability_average,0.8,confidence*(1-uncertainty),False,4800,0.8,2377,2423,0.5047916666666666,0.8179628355127323,0.7831286360698125,0.8005457357912724,1.0,0.0,0.7831286360698125
probability_average_confidence_reject,probability_average,0.85,confidence*(1-uncertainty),False,5100,0.85,2388,2712,0.5317647058823529,0.8217481073640743,0.8765352294764059,0.8491416684202402,1.0,0.0,0.8765352294764059
probability_average_confidence_reject,probability_average,0.883125,confidence*(1-uncertainty),False,5299,0.8831666666666667,2393,2906,0.5484053595017928,0.8234686854783207,0.9392372333548804,0.8813529594166005,1.0,0.0,0.9392372333548804
probability_average_confidence_reject,probability_average,0.9,confidence*(1-uncertainty),False,5400,0.9,2399,3001,0.5557407407407408,0.8255333792154164,0.9699418228829993,0.8977376010492079,1.0,0.0,0.9699418228829993
probability_average_confidence_reject,probability_average,0.95,confidence*(1-uncertainty),False,5700,0.95,2631,3069,0.5384210526315789,0.9053682037164488,0.9919198448610214,0.9486440242887351,1.0,0.0,0.9919198448610214
probability_average_confidence_reject,probability_average,1.0,confidence*(1-uncertainty),False,6000,1.0,2906,3094,0.5156666666666667,1.0,1.0,1.0,1.0,0.0,1.0
probability_average_ood_score_reject,probability_average,0.1,1-max(local OOD score),False,600,0.1,17,583,0.9716666666666667,0.005849965588437715,0.18842921784098254,0.09713959171471014,1.0,0.0,0.18842921784098254
probability_average_ood_score_reject,probability_average,0.15,1-max(local OOD score),False,900,0.15,17,883,0.9811111111111112,0.005849965588437715,0.28539107950872655,0.14562052254858213,1.0,0.0,0.28539107950872655
probability_average_ood_score_reject,probability_average,0.2,1-max(local OOD score),False,1200,0.2,17,1183,0.9858333333333333,0.005849965588437715,0.38235294117647056,0.19410145338245413,1.0,0.0,0.38235294117647056
probability_average_ood_score_reject,probability_average,0.23366666666666666,1-max(local OOD score),False,1402,0.23366666666666666,19,1383,0.9864479315263909,0.00653819683413627,0.44699418228829996,0.2267661895612181,1.0,0.0,0.44699418228829996
probability_average_ood_score_reject,probability_average,0.25,1-max(local OOD score),False,1500,0.25,27,1473,0.982,0.009291121816930488,0.4760827407886231,0.2426869313027768,1.0,0.0,0.4760827407886231
probability_average_ood_score_reject,probability_average,0.3,1-max(local OOD score),False,1800,0.3,40,1760,0.9777777777777777,0.013764624913971095,0.5688429217840982,0.2913037733490347,1.0,0.0,0.5688429217840982
probability_average_ood_score_reject,probability_average,0.35,1-max(local OOD score),False,2100,0.35,182,1918,0.9133333333333333,0.06262904335856848,0.6199095022624435,0.34126927281050595,1.0,0.0,0.6199095022624435
probability_average_ood_score_reject,probability_average,0.4,1-max(local OOD score),False,2400,0.4,357,2043,0.85125,0.12284927735719202,0.6603102779573368,0.39157977765726437,1.0,0.0,0.6603102779573368
probability_average_ood_score_reject,probability_average,0.45,1-max(local OOD score),False,2700,0.45,511,2189,0.8107407407407408,0.17584308327598072,0.7074983839689722,0.4416707336224765,1.0,0.0,0.7074983839689722
probability_average_ood_score_reject,probability_average,0.5,1-max(local OOD score),False,3000,0.5,687,2313,0.771,0.23640743289745356,0.7475759534583064,0.49199169317788,1.0,0.0,0.7475759534583064
probability_average_ood_score_reject,probability_average,0.55,1-max(local OOD score),False,3300,0.55,924,2376,0.72,0.3179628355127323,0.7679379444085327,0.5429503899606325,1.0,0.0,0.7679379444085327
