model,target_coverage,accepted_count,realized_coverage,selective_error,covered_macro_f1,all_sample_malicious_recall_with_abstention,minimum_accepted_confidence
hgb,0.05,1000,0.05,0.0,0.5,0.05689253001080958,0.9998460302492633
hgb,0.1,2000,0.1,0.0,0.5,0.11378506002161916,0.9998362982204425
hgb,0.15,3000,0.15,0.0,0.5,0.17067759003242874,0.9998116086761374
hgb,0.2,4000,0.2,0.0,0.5,0.22757012004323832,0.9997861242556021
hgb,0.25,5000,0.25,0.0,0.5,0.2844626500540479,0.9997531112792243
hgb,0.3,6000,0.3,0.0,0.5,0.3413551800648575,0.9997531112792243
hgb,0.35,7000,0.35,0.0,0.5,0.39824771007566706,0.9997531112792243
hgb,0.39999999999999997,8000,0.4,0.0,0.5,0.45514024008647663,0.9996766895787507
hgb,0.44999999999999996,9000,0.45,0.0,0.5,0.5120327700972862,0.999609846688656
hgb,0.49999999999999994,10000,0.5,0.0,0.5,0.5689253001080958,0.999548631579913
hgb,0.5499999999999999,11000,0.55,0.0,0.5,0.6258178301189053,0.999548631579913
hgb,0.6,12000,0.6,0.0,0.5,0.682710360129715,0.999548631579913
hgb,0.65,13000,0.65,0.0,0.5,0.7396028901405245,0.9995157845269015
hgb,0.7,14000,0.7,0.0,1.0,0.7963816350913125,0.9991578850919517
hgb,0.75,15000,0.75,0.0,1.0,0.8531603800421005,0.9987220185141222
hgb,0.7999999999999999,16000,0.8,0.000125,0.9907093849148283,0.9071513910223588,0.9970704084357899
hgb,0.85,17000,0.85,0.00035294117647058826,0.9983309001566729,0.9128406440234397,0.9967636627502228
hgb,0.9,18000,0.9,0.00044444444444444447,0.998691861938673,0.9278602719462935,0.9946584817093519
hgb,0.95,19000,0.95,0.0010526315789473684,0.9970100767651775,0.9749672867952438,0.9735217490157174
hgb,1.0,20000,1.0,0.01225,0.9719951990169469,0.9886783865278489,0.5071347479311706
candidate,0.05,1000,0.05,0.0,1.0,0.0552426466404961,1.0
candidate,0.1,2000,0.1,0.0,1.0,0.11082664846105707,1.0
candidate,0.15,3000,0.15,0.0003333333333333333,0.9966465122050188,0.1662968652215964,1.0
candidate,0.2,4000,0.2,0.00025,0.9972333177707458,0.22227911475223303,1.0
candidate,0.25,5000,0.25,0.0004,0.9953106154535855,0.27820447175285884,1.0
candidate,0.3,6000,0.3,0.0003333333333333333,0.9960086001362398,0.33401604369346305,1.0
candidate,0.35,7000,0.35,0.00028571428571428574,0.9966375122970978,0.3895431529840132,1.0
candidate,0.39999999999999997,8000,0.4,0.000375,0.9956061652092866,0.44512715480457415,1.0
candidate,0.44999999999999996,9000,0.45,0.0003333333333333333,0.995957090656552,0.5011662968652216,1.0
candidate,0.49999999999999994,10000,0.5,0.0003,0.9963089529422259,0.5570347613358366,1.0
candidate,0.5499999999999999,11000,0.55,0.00027272727272727274,0.9966191264621893,0.6128463332764408,1.0
candidate,0.6,12000,0.6,0.00025,0.9968434274240395,0.6688285828070775,1.0
candidate,0.65,13000,0.65,0.00023076923076923076,0.9968611243082501,0.7256642202878762,0.9998876268387932
candidate,0.7,14000,0.7,0.00042857142857142855,0.9981733768104446,0.7464868862718325,0.9998319846946774
candidate,0.75,15000,0.75,0.0005333333333333334,0.9987593273254725,0.7486488024122433,0.9998197692557899
candidate,0.7999999999999999,16000,0.8,0.0005,0.9987700553525058,0.8055413324230528,0.9996384191958849
candidate,0.85,17000,0.85,0.00047058823529411766,0.9987799519990056,0.8623769699038516,0.999375005941791
candidate,0.9,18000,0.9,0.00044444444444444447,0.9987886977016447,0.9192126073846504,0.9982476361954596
candidate,0.95,19000,0.95,0.0006315789473684211,0.9982682570669694,0.9709279171644764,0.9772987495500203
candidate,1.0,20000,1.0,0.0119,0.9728,0.9888490641178813,0.5046731133630818
