heldout_group,validation_groups,train_count,validation_count,acceptance_count,hgb_stats_backend,hgb_stats_threshold,hgb_stats_macro_f1,hgb_stats_accuracy,hgb_hybrid_backend,hgb_hybrid_threshold,hgb_hybrid_macro_f1,hgb_hybrid_accuracy,tree_stats_backend,tree_stats_threshold,tree_stats_macro_f1,tree_stats_accuracy,tree_hybrid_backend,tree_hybrid_threshold,tree_hybrid_macro_f1,tree_hybrid_accuracy
benign:BitTorrent,benign:SMB|malware:Miuref,34000,4000,2000,hgb,0.6,1.0,1.0,hgb,0.2,1.0,1.0,extra_trees,0.58,1.0,1.0,rf,0.59,1.0,1.0
benign:FTP,benign:SMB|malware:Nsis-ay,34000,4000,2000,hgb,0.55,0.4335882186349476,0.7655,hgb,0.2,0.4520547945205479,0.825,rf,0.54,0.444752915047196,0.801,extra_trees,0.49,0.43149516770892554,0.759
benign:Facetime,benign:Outlook|malware:Htbot,34000,4000,2000,hgb,0.4,0.1474850809889173,0.173,hgb,0.2,0.1474850809889173,0.173,extra_trees,0.21,0.1474850809889173,0.173,rf,0.2,0.1474850809889173,0.173
benign:Gmail,benign:BitTorrent|malware:Zeus,34000,4000,2000,hgb,0.4,0.4936708860759494,0.975,hgb,0.2,1.0,1.0,rf,0.2,0.4845360824742268,0.94,rf,0.2,0.4945665908516553,0.9785
benign:MySQL,benign:Outlook|malware:Shifu,34000,4000,2000,hgb,0.4,1.0,1.0,hgb,0.2,0.4983697015299724,0.9935,rf,0.2,0.48186528497409326,0.93,rf,0.2,1.0,1.0
benign:Outlook,benign:MySQL|malware:Shifu,34000,4000,2000,hgb,0.4,1.0,1.0,hgb,0.4,1.0,1.0,rf,0.29,1.0,1.0,rf,0.2,1.0,1.0
benign:SMB,benign:BitTorrent|malware:Shifu,34000,4000,2000,hgb,0.4,0.4859933179131329,0.9455,hgb,0.2,0.4826694257630626,0.933,rf,0.2,0.48253557567917205,0.9325,extra_trees,0.2,0.49443882709807885,0.978
benign:Skype,benign:FTP|malware:Tinba,34000,4000,2000,hgb,0.59,0.22928709055876687,0.2975,hgb,0.55,0.3944898577051166,0.6515,extra_trees,0.6,1.0,1.0,extra_trees,0.6,1.0,1.0
benign:Weibo,benign:FTP|malware:Tinba,34000,4000,2000,hgb,0.6,1.0,1.0,hgb,0.6,1.0,1.0,extra_trees,0.6,1.0,1.0,extra_trees,0.6,1.0,1.0
benign:WorldOfWarcraft,benign:BitTorrent|malware:Miuref,34000,4000,2000,hgb,0.4,0.0196078431372549,0.02,hgb,0.2,0.4991234660656148,0.9965,rf,0.2,0.004975124378109453,0.005,rf,0.2,0.020088192062714356,0.0205
malware:Cridex,benign:SMB|malware:Geodo,34000,4000,2000,hgb,0.58,1.0,1.0,hgb,0.26,1.0,1.0,rf,0.44,1.0,1.0,extra_trees,0.6,1.0,1.0
malware:Geodo,benign:Gmail|malware:Htbot,34000,4000,2000,hgb,0.4,0.49044585987261147,0.9625,hgb,0.2,0.4976136649083145,0.9905,rf,0.45,0.49962471853890417,0.9985,rf,0.35,0.49987496874218557,0.9995
malware:Htbot,benign:WorldOfWarcraft|malware:Neris,34000,4000,2000,hgb,0.4,0.4887525562372188,0.956,hgb,0.2,0.49987496874218557,0.9995,rf,0.6,0.487047961015645,0.9495,extra_trees,0.58,0.4968553459119497,0.9875
malware:Miuref,benign:Outlook|malware:Geodo,34000,4000,2000,hgb,0.4,0.4834710743801653,0.936,hgb,0.2,1.0,1.0,rf,0.2,1.0,1.0,rf,0.2,1.0,1.0
malware:Neris,benign:FTP|malware:Geodo,34000,4000,2000,hgb,0.53,0.4991234660656148,0.9965,hgb,0.33,0.49824385348720523,0.993,extra_trees,0.6,0.4966020639315379,0.9865,extra_trees,0.6,0.49937421777221525,0.9975
malware:Nsis-ay,benign:Outlook|malware:Shifu,34000,4000,2000,hgb,0.4,0.48559670781893005,0.944,hgb,0.2,0.4988724630418441,0.9955,rf,0.2,0.49962471853890417,0.9985,rf,0.2,0.49962471853890417,0.9985
malware:Shifu,benign:BitTorrent|malware:Tinba,34000,4000,2000,hgb,0.4,1.0,1.0,hgb,0.2,1.0,1.0,rf,0.2,1.0,1.0,extra_trees,0.2,1.0,1.0
malware:Tinba,benign:WorldOfWarcraft|malware:Miuref,34000,4000,2000,hgb,0.51,1.0,1.0,hgb,0.48,1.0,1.0,rf,0.59,1.0,1.0,rf,0.53,1.0,1.0
malware:Virut,benign:Weibo|malware:Cridex,34000,4000,2000,hgb,0.4,0.49987496874218557,0.9995,hgb,0.2,0.49987496874218557,0.9995,rf,0.33,0.49987496874218557,0.9995,rf,0.2,0.49987496874218557,0.9995
malware:Zeus,benign:Skype|malware:Miuref,34000,4000,2000,hgb,0.53,0.49987496874218557,0.9995,hgb,0.2,0.49987496874218557,0.9995,extra_trees,0.33,0.49987496874218557,0.9995,extra_trees,0.55,0.49974987493746875,0.999
