seed,sample_count,reference_accuracy,candidate_accuracy,accuracy_delta,reference_macro_f1,candidate_macro_f1,macro_f1_delta,malicious_recall_delta,grouped_ci95_lower,grouped_ci95_upper,worst_group_class_f1_delta,average_evidence_calls,call_reduction_vs_static_two_call,blocked_field_violation,fusion_ownership_violation,acceptance_used_for_seed_selection
42,10000,0.9279,0.9492,0.021300000000000097,0.9275480217690761,0.9490777356432796,0.021529713874203438,0.0005999999999999339,0.00020803026852777296,0.06411393346538403,0.0,1.0671,0.46645000000000003,0,0,False
43,10000,0.9256,0.9256,0.0,0.9252123005661348,0.9252123005661348,0.0,0.0,0.0,0.0,0.0,1.0941,0.45294999999999996,0,0,False
44,10000,0.9242,0.9242,0.0,0.9237826337021531,0.9237826337021531,0.0,0.0,0.0,0.0,0.0,1.0582,0.4709,0,0,False
45,10000,0.93,0.93,0.0,0.9296767352034526,0.9296767352034526,0.0,0.0,0.0,0.0,0.0,1.0482,0.4759,0,0,False
46,10000,0.9295,0.9295,0.0,0.9291676368439812,0.9291676368439812,0.0,0.0,0.0,0.0,0.0,1.0485,0.47575,0,0,False
47,10000,0.9131,0.9265,0.013399999999999967,0.9124869104234847,0.9261349522863449,0.013648041862860172,0.0,0.0,0.04667713660124937,0.0,1.0496,0.47519999999999996,0,0,False
48,10000,0.9272,0.9272,0.0,0.9268834315807091,0.9268834315807091,0.0,0.0,0.0,0.0,0.0,1.0721,0.46395,0,0,False
49,10000,0.8795,0.8795,0.0,0.8777838097017849,0.8777838097017849,0.0,0.0,0.0,0.0,0.0,1.0944,0.4528,0,0,False
50,10000,0.9302,0.9349,0.0046999999999999265,0.9299020106433252,0.934660842348205,0.004758831704879785,0.0,0.0,0.015583412064983742,0.0,1.0581,0.47095,0,0,False
51,10000,0.9027,0.9333,0.03060000000000007,0.9018195085161284,0.9330178706011507,0.031198362085022358,0.0008000000000000229,0.0003142512640619044,0.09807100031220121,0.0,1.0487,0.47565,0,0,False
