mode,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,malicious_recall,ece,brier_score,coverage,selective_error,source_mode
factorial_hgb_plus_temporal,0.923925,0.9320037124244249,0.923925,0.9235676681000712,0.9235676681000712,0.9923,0.10321990268515197,0.09068305163108314,1.0,0.076075,
factorial_tree_plus_temporal,0.944225,0.9491059111110747,0.944225,0.9440730455910121,0.9440730455910121,0.99635,0.08662731905801144,0.06599304183338198,1.0,0.05577500000000002,
fixed_weight_ensemble,0.889625,0.9048379277918291,0.889625,0.8885782533453933,0.8885782533453934,0.98655,0.08839313788017078,0.07112147734452377,1.0,0.110375,
full_mad_etd_fusion,0.922475,0.9311503585249061,0.9224749999999999,0.922083050032448,0.9220830500324478,0.9934,0.07497563621626396,0.0693114739064507,1.0,0.07752499999999996,
reliability_only_fusion,0.942875,0.9472989216429728,0.942875,0.94273340401063,0.94273340401063,0.9926,0.08601145683898956,0.06626183991346238,1.0,0.05712499999999998,
reliability_plus_ood_fusion,0.942875,0.9472989216429728,0.942875,0.94273340401063,0.94273340401063,0.9926,0.08601145683898956,0.06626183991346238,1.0,0.05712499999999998,
simple_probability_average,0.942425,0.9467640179355015,0.9424250000000001,0.9422848661761254,0.9422848661761253,0.9917,0.0859169819077944,0.06617821018028303,1.0,0.05757500000000004,
stats_hgb_only,0.86245,0.8813459832952257,0.8624499999999999,0.8607247007684624,0.8607247007684625,0.97375,0.13894628026583644,0.13785182754533115,1.0,0.13754999999999995,
stats_tree_only,0.861675,0.8767683485189572,0.861675,0.8602756599484341,0.8602756599484342,0.96175,0.10502762546681654,0.09017739066600224,1.0,0.13832500000000003,
strongest_single_agent,0.916125,0.9272904070536305,0.9161250000000001,0.9155734684329964,0.9155734684329964,0.99695,0.08219764115358535,0.08069829604541774,1.0,0.08387500000000003,temporal_only
temporal_only,0.916125,0.9272904070536305,0.9161250000000001,0.9155734684329964,0.9155734684329964,0.99695,0.08219764115358535,0.08069829604541774,1.0,0.08387500000000003,
validation_selected_single_agent,0.92825,0.9318022166169774,0.92825,0.9281021332294979,0.9281021332294979,0.9736,0.050023614128691364,0.046214710285964807,1.0,0.07174999999999998,
