excluded_group,excluded_class,remaining_group_count,remaining_sample_count,reference_macro_f1,candidate_macro_f1,macro_f1_delta
benign:Skype,benign,19,38000,0.8745740370412687,0.8859923506244733,0.011418313583204664
malware:Miuref,malicious,19,38000,0.8426889531851633,0.8886187896583713,0.04592983647320792
malware:Nsis-ay,malicious,19,38000,0.8422763958988259,0.8886969934993731,0.046420597600547286
malware:Geodo,malicious,19,38000,0.8413223767952958,0.8886448576046013,0.04732248080930557
malware:Htbot,malicious,19,38000,0.8416575697999107,0.8892704887843744,0.04761291898446374
malware:Neris,malicious,19,38000,0.839569100249721,0.8887491293979516,0.04918002914823061
malware:Cridex,malicious,19,38000,0.8393886189471754,0.8886187896583713,0.04923017071119584
malware:Shifu,malicious,19,38000,0.8393886189471754,0.8886187896583713,0.04923017071119584
malware:Tinba,malicious,19,38000,0.8393886189471754,0.8886187896583713,0.04923017071119584
malware:Virut,malicious,19,38000,0.8394144019635625,0.8886448576046013,0.049230455641038784
malware:Zeus,malicious,19,38000,0.8394144019635625,0.8886709255515657,0.04925652358800314
benign:SMB,benign,19,38000,0.8377140868803586,0.8872245495253227,0.04951046264496406
benign:WorldOfWarcraft,benign,19,38000,0.8900121321571011,0.9397957515771487,0.04978361942004761
benign:Facetime,benign,19,38000,0.8815233669282005,0.9315438380362915,0.050020471108090936
benign:Gmail,benign,19,38000,0.8360054777597663,0.887196558935466,0.051191081175699704
benign:FTP,benign,19,38000,0.848078406109527,0.899424223118823,0.05134581700929597
benign:BitTorrent,benign,19,38000,0.8345552329959132,0.8859923506244733,0.05143711762856018
benign:MySQL,benign,19,38000,0.8345552329959132,0.8859923506244733,0.05143711762856018
benign:Outlook,benign,19,38000,0.8345552329959132,0.8859923506244733,0.05143711762856018
benign:Weibo,benign,19,38000,0.8345552329959132,0.8859923506244733,0.05143711762856018
