fold,method,rows,macro_f1,malicious_recall,false_positive_rate,tn,fp,fn,tp
0,stats,4000,0.9997499999843751,0.9995,0.0,2000,0,1,1999
0,temporal,4000,0.9997499999843751,0.9995,0.0,2000,0,1,1999
0,probability_average,4000,0.9997499999843751,0.9995,0.0,2000,0,1,1999
0,oof_weighted_average,4000,0.9997499999843751,0.9995,0.0,2000,0,1,1999
0,feature_concatenation,4000,0.9997499999843751,0.9995,0.0,2000,0,1,1999
1,stats,4000,0.9867476733884093,0.9735,0.0,2000,0,53,1947
1,temporal,4000,0.9974999843749024,0.995,0.0,2000,0,10,1990
1,probability_average,4000,0.996999972999757,0.994,0.0,2000,0,12,1988
1,oof_weighted_average,4000,0.9974999843749024,0.995,0.0,2000,0,10,1990
1,feature_concatenation,4000,0.9964999571244748,0.993,0.0,2000,0,14,1986
2,stats,4000,0.9997499999843751,0.9995,0.0,2000,0,1,1999
2,temporal,4000,0.9997499999843751,0.9995,0.0,2000,0,1,1999
2,probability_average,4000,0.9997499999843751,0.9995,0.0,2000,0,1,1999
2,oof_weighted_average,4000,0.9997499999843751,0.9995,0.0,2000,0,1,1999
2,feature_concatenation,4000,0.9997499999843751,0.9995,0.0,2000,0,1,1999
3,stats,4000,0.5010397893634195,0.9995,0.827,346,1654,1,1999
3,temporal,4000,0.48866583356250737,0.9645,0.827,346,1654,71,1929
3,probability_average,4000,0.5010397893634195,0.9995,0.827,346,1654,1,1999
3,oof_weighted_average,4000,0.48866583356250737,0.9645,0.827,346,1654,71,1929
3,feature_concatenation,4000,0.48866583356250737,0.9645,0.827,346,1654,71,1929
4,stats,4000,0.9942498098843393,0.9885,0.0,2000,0,23,1977
4,temporal,4000,0.9997499999843751,0.9995,0.0,2000,0,1,1999
4,probability_average,4000,1.0,1.0,0.0,2000,0,0,2000
4,oof_weighted_average,4000,0.9997499999843751,0.9995,0.0,2000,0,1,1999
4,feature_concatenation,4000,1.0,1.0,0.0,2000,0,0,2000
