partition,fold,group,rows,delta_-1_D,delta_0,delta_+1_C,C_minus_D,only_temporal_correct,only_stats_correct,both_correct,both_wrong
train_oof,0,benign:BitTorrent,2000,0,2000,0,0,0,0,2000,0
train_oof,0,benign:FTP,2000,78,1907,15,-63,78,15,1637,270
train_oof,0,benign:Facetime,2000,54,1946,0,-54,54,0,346,1600
train_oof,0,benign:Gmail,2000,0,2000,0,0,0,0,1997,3
train_oof,0,benign:SMB,2000,12,1982,6,-6,12,6,1981,1
train_oof,0,benign:Skype,2000,105,1895,0,-105,105,0,610,1285
train_oof,0,malware:Cridex,2000,0,2000,0,0,0,0,2000,0
train_oof,0,malware:Geodo,2000,1,1997,2,1,1,2,1996,1
train_oof,0,malware:Miuref,2000,0,2000,0,0,0,0,2000,0
train_oof,0,malware:Neris,2000,0,1994,6,6,0,6,1989,5
train_oof,0,malware:Nsis-ay,2000,7,1885,108,101,7,108,1875,10
train_oof,0,malware:Shifu,2000,1,1999,0,-1,1,0,1999,0
selection,0,benign:Weibo,2000,0,2000,0,0,0,0,2000,0
selection,0,malware:Virut,2000,0,2000,0,0,0,0,1999,1
train_oof,1,benign:BitTorrent,2000,0,2000,0,0,0,0,2000,0
train_oof,1,benign:FTP,2000,577,1423,0,-577,577,0,933,490
train_oof,1,benign:Gmail,2000,0,1988,12,12,0,12,1940,48
train_oof,1,benign:Outlook,2000,0,2000,0,0,0,0,2000,0
train_oof,1,benign:Skype,2000,1556,444,0,-1556,1556,0,444,0
train_oof,1,benign:WorldOfWarcraft,2000,0,1999,1,1,0,1,1994,5
train_oof,1,malware:Cridex,2000,0,2000,0,0,0,0,2000,0
train_oof,1,malware:Htbot,2000,7,1981,12,5,7,12,1970,11
train_oof,1,malware:Miuref,2000,0,2000,0,0,0,0,1978,22
train_oof,1,malware:Shifu,2000,0,2000,0,0,0,0,2000,0
train_oof,1,malware:Tinba,2000,0,2000,0,0,0,0,2000,0
train_oof,1,malware:Zeus,2000,113,1885,2,-111,113,2,1884,1
selection,1,benign:MySQL,2000,0,2000,0,0,0,0,2000,0
selection,1,malware:Neris,2000,4,1994,2,-2,4,2,1986,8
train_oof,2,benign:BitTorrent,2000,0,2000,0,0,0,0,2000,0
train_oof,2,benign:FTP,2000,163,1836,1,-162,163,1,1605,231
train_oof,2,benign:Gmail,2000,0,2000,0,0,0,0,2000,0
train_oof,2,benign:MySQL,2000,0,2000,0,0,0,0,1860,140
train_oof,2,benign:SMB,2000,3,1986,11,8,3,11,1971,15
train_oof,2,benign:Weibo,2000,0,2000,0,0,0,0,2000,0
train_oof,2,malware:Geodo,2000,0,2000,0,0,0,0,2000,0
train_oof,2,malware:Htbot,2000,9,1991,0,-9,9,0,1989,2
train_oof,2,malware:Miuref,2000,0,2000,0,0,0,0,2000,0
train_oof,2,malware:Nsis-ay,2000,299,1542,159,-140,299,159,1447,95
train_oof,2,malware:Tinba,2000,0,2000,0,0,0,0,1999,1
train_oof,2,malware:Virut,2000,0,2000,0,0,0,0,1999,1
selection,2,benign:Outlook,2000,0,2000,0,0,0,0,2000,0
selection,2,malware:Zeus,2000,0,2000,0,0,0,0,1999,1
train_oof,3,benign:Gmail,2000,0,2000,0,0,0,0,2000,0
train_oof,3,benign:MySQL,2000,0,2000,0,0,0,0,1860,140
train_oof,3,benign:Outlook,2000,0,2000,0,0,0,0,2000,0
train_oof,3,benign:SMB,2000,1,1974,25,24,1,25,1821,153
train_oof,3,benign:Skype,2000,628,1372,0,-628,628,0,1372,0
train_oof,3,benign:Weibo,2000,0,2000,0,0,0,0,2000,0
train_oof,3,malware:Cridex,2000,0,2000,0,0,0,0,2000,0
train_oof,3,malware:Htbot,2000,30,1960,10,-20,30,10,1886,74
train_oof,3,malware:Nsis-ay,2000,1,1997,2,1,1,2,1997,0
train_oof,3,malware:Tinba,2000,0,2000,0,0,0,0,2000,0
train_oof,3,malware:Virut,2000,0,2000,0,0,0,0,1999,1
train_oof,3,malware:Zeus,2000,0,2000,0,0,0,0,1998,2
selection,3,benign:Facetime,2000,0,2000,0,0,0,0,346,1654
selection,3,malware:Geodo,2000,0,1930,70,70,0,70,1929,1
train_oof,4,benign:FTP,2000,1,1968,31,30,1,31,1428,540
train_oof,4,benign:Facetime,2000,0,2000,0,0,0,0,1655,345
train_oof,4,benign:MySQL,2000,0,2000,0,0,0,0,2000,0
train_oof,4,benign:Outlook,2000,0,2000,0,0,0,0,2000,0
train_oof,4,benign:SMB,2000,0,1475,525,525,0,525,321,1154
train_oof,4,benign:Skype,2000,684,1316,0,-684,684,0,1316,0
train_oof,4,malware:Cridex,2000,0,2000,0,0,0,0,2000,0
train_oof,4,malware:Neris,2000,1,1994,5,4,1,5,1987,7
train_oof,4,malware:Shifu,2000,0,2000,0,0,0,0,1980,20
train_oof,4,malware:Tinba,2000,8,1992,0,-8,8,0,1992,0
train_oof,4,malware:Virut,2000,0,1997,3,3,0,3,1993,4
train_oof,4,malware:Zeus,2000,11,1989,0,-11,11,0,1988,1
selection,4,benign:Weibo,2000,0,2000,0,0,0,0,2000,0
selection,4,malware:Miuref,2000,0,1999,1,1,0,1,1999,0
