fold,seed,policy,target_budget,budget,budget_semantics,rows,second_calls,simulated_second_calls,effective_budget,mean_predicted_delta_acquired,C,D,C_D_reference,C_D_is_applicable,macro_f1,malicious_recall,false_positive_rate,tn,fp,fn,tp,corrected_C,introduced_D,C_minus_D,scope
0,42,first_temporal,1.0,1.0,repeated_reference_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,first_stats,1.0,1.0,repeated_reference_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,all_average,1.0,1.0,repeated_reference_panel,4000,4000,4000,2.0,4.250813143408702e-05,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,confidence_budget,1.0,1.0,matched_budget_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,hashrandom_budget,1.0,1.0,matched_budget_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,probability_only_gain,1.0,1.0,matched_budget_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,post_first_temporal_gain,1.0,1.0,matched_budget_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,first_temporal,1.1,1.1,repeated_reference_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,first_stats,1.1,1.1,repeated_reference_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,all_average,1.1,1.1,repeated_reference_panel,4000,4000,4000,2.0,4.250813143408702e-05,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,confidence_budget,1.1,1.1,matched_budget_panel,4000,400,400,1.1,0.00015671844221458995,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,hashrandom_budget,1.1,1.1,matched_budget_panel,4000,400,400,1.1,6.979768457497511e-05,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,probability_only_gain,1.1,1.1,matched_budget_panel,4000,400,400,1.1,0.00035101696454701285,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,post_first_temporal_gain,1.1,1.1,matched_budget_panel,4000,400,400,1.1,0.0035953777774933664,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,first_temporal,1.25,1.25,repeated_reference_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,first_stats,1.25,1.25,repeated_reference_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,all_average,1.25,1.25,repeated_reference_panel,4000,4000,4000,2.0,4.250813143408702e-05,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,confidence_budget,1.25,1.25,matched_budget_panel,4000,1000,1000,1.25,0.000225424990944793,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,hashrandom_budget,1.25,1.25,matched_budget_panel,4000,1000,1000,1.25,5.514694934022955e-05,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,probability_only_gain,1.25,1.25,matched_budget_panel,4000,1000,1000,1.25,0.00030314439987776207,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,post_first_temporal_gain,1.25,1.25,matched_budget_panel,4000,1000,1000,1.25,0.0016166754172415422,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,first_temporal,1.5,1.5,repeated_reference_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,first_stats,1.5,1.5,repeated_reference_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,all_average,1.5,1.5,repeated_reference_panel,4000,4000,4000,2.0,4.250813143408702e-05,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,confidence_budget,1.5,1.5,matched_budget_panel,4000,2000,2000,1.5,0.00022536455276078943,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,hashrandom_budget,1.5,1.5,matched_budget_panel,4000,2000,2000,1.5,6.435858548440695e-05,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,probability_only_gain,1.5,1.5,matched_budget_panel,4000,2000,2000,1.5,0.00028674949506241054,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,post_first_temporal_gain,1.5,1.5,matched_budget_panel,4000,2000,2000,1.5,0.0009486055461790536,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,first_temporal,2.0,2.0,repeated_reference_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,first_stats,2.0,2.0,repeated_reference_panel,4000,0,0,1.0,0.0,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,all_average,2.0,2.0,repeated_reference_panel,4000,4000,4000,2.0,4.250813143408702e-05,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,confidence_budget,2.0,2.0,matched_budget_panel,4000,4000,4000,2.0,4.250813143408702e-05,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,hashrandom_budget,2.0,2.0,matched_budget_panel,4000,4000,4000,2.0,4.250813143408702e-05,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,probability_only_gain,2.0,2.0,matched_budget_panel,4000,4000,4000,2.0,4.250813143408702e-05,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,post_first_temporal_gain,2.0,2.0,matched_budget_panel,4000,4000,4000,2.0,0.00032625153990616584,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
0,42,positive_gain_no_call,,,unbounded_positive_gain,4000,1998,1998,1.4995,0.0002872028518163967,0,0,first_temporal,True,0.9997499999843751,0.9995,0.0,2000,0,1,1999,0,0,0,fivefold train-OOF fit to independent selection role; simulated second-call count; no evaluation or latency claim
