fold,seed,group,rows,both_correct,only_temporal_correct,only_stats_correct,both_wrong,expert_disagreement,equal_average_switches,delta_-1_D,delta_0,delta_+1_C,C_minus_D,oracle_temporal_to_stats,oracle_stats_to_temporal
0,42,benign:BitTorrent,2000,2000,0,0,0,0,0,0,2000,0,0,0,0
0,42,benign:FTP,2000,1358,357,86,199,443,93,78,1907,15,-63,86,357
0,42,benign:Facetime,2000,346,54,0,1600,54,54,54,1946,0,-54,0,54
0,42,benign:Gmail,2000,1965,32,0,3,32,0,0,2000,0,0,0,32
0,42,benign:SMB,2000,1952,41,7,0,48,18,12,1982,6,-6,7,41
0,42,benign:Skype,2000,462,253,0,1285,253,105,105,1895,0,-105,0,253
0,42,malware:Cridex,2000,2000,0,0,0,0,0,0,2000,0,0,0,0
0,42,malware:Geodo,2000,1996,1,3,0,4,3,1,1997,2,1,3,1
0,42,malware:Miuref,2000,2000,0,0,0,0,0,0,2000,0,0,0,0
0,42,malware:Neris,2000,1961,28,6,5,34,6,0,1994,6,6,6,28
0,42,malware:Nsis-ay,2000,1842,40,112,6,152,115,7,1885,108,101,112,40
0,42,malware:Shifu,2000,1999,1,0,0,1,1,1,1999,0,-1,0,1
1,42,benign:BitTorrent,2000,2000,0,0,0,0,0,0,2000,0,0,0,0
1,42,benign:FTP,2000,741,769,0,490,769,577,577,1423,0,-577,0,769
1,42,benign:Gmail,2000,1837,103,54,6,157,12,0,1988,12,12,54,103
1,42,benign:Outlook,2000,2000,0,0,0,0,0,0,2000,0,0,0,0
1,42,benign:Skype,2000,409,1591,0,0,1591,1556,1556,444,0,-1556,0,1591
1,42,benign:WorldOfWarcraft,2000,10,1984,2,4,1986,1,0,1999,1,1,2,1984
1,42,malware:Cridex,2000,2000,0,0,0,0,0,0,2000,0,0,0,0
1,42,malware:Htbot,2000,1843,134,12,11,146,19,7,1981,12,5,12,134
1,42,malware:Miuref,2000,1978,0,0,22,0,0,0,2000,0,0,0,0
1,42,malware:Shifu,2000,1999,1,0,0,1,0,0,2000,0,0,0,1
1,42,malware:Tinba,2000,2000,0,0,0,0,0,0,2000,0,0,0,0
1,42,malware:Zeus,2000,85,1912,2,1,1914,115,113,1885,2,-111,2,1912
2,42,benign:BitTorrent,2000,2000,0,0,0,0,0,0,2000,0,0,0,0
2,42,benign:FTP,2000,962,806,1,231,807,164,163,1836,1,-162,1,806
2,42,benign:Gmail,2000,1942,58,0,0,58,0,0,2000,0,0,0,58
2,42,benign:MySQL,2000,1041,819,0,140,819,0,0,2000,0,0,0,819
2,42,benign:SMB,2000,1971,3,15,11,18,14,3,1986,11,8,15,3
2,42,benign:Weibo,2000,1997,3,0,0,3,0,0,2000,0,0,0,3
2,42,malware:Geodo,2000,1997,3,0,0,3,0,0,2000,0,0,0,3
2,42,malware:Htbot,2000,1901,97,0,2,97,9,9,1991,0,-9,0,97
2,42,malware:Miuref,2000,1894,106,0,0,106,0,0,2000,0,0,0,106
2,42,malware:Nsis-ay,2000,1442,304,161,93,465,458,299,1542,159,-140,161,304
2,42,malware:Tinba,2000,1999,0,0,1,0,0,0,2000,0,0,0,0
2,42,malware:Virut,2000,1993,6,1,0,7,0,0,2000,0,0,1,6
3,42,benign:Gmail,2000,1971,29,0,0,29,0,0,2000,0,0,0,29
3,42,benign:MySQL,2000,708,1152,0,140,1152,0,0,2000,0,0,0,1152
3,42,benign:Outlook,2000,2000,0,0,0,0,0,0,2000,0,0,0,0
3,42,benign:SMB,2000,1792,30,38,140,68,26,1,1974,25,24,38,30
3,42,benign:Skype,2000,263,1737,0,0,1737,628,628,1372,0,-628,0,1737
3,42,benign:Weibo,2000,2000,0,0,0,0,0,0,2000,0,0,0,0
3,42,malware:Cridex,2000,2000,0,0,0,0,0,0,2000,0,0,0,0
3,42,malware:Htbot,2000,1722,194,10,74,204,40,30,1960,10,-20,10,194
3,42,malware:Nsis-ay,2000,1990,8,2,0,10,3,1,1997,2,1,2,8
3,42,malware:Tinba,2000,2000,0,0,0,0,0,0,2000,0,0,0,0
3,42,malware:Virut,2000,1996,3,0,1,3,0,0,2000,0,0,0,3
3,42,malware:Zeus,2000,1998,0,0,2,0,0,0,2000,0,0,0,0
4,42,benign:FTP,2000,1428,1,31,540,32,32,1,1968,31,30,31,1
4,42,benign:Facetime,2000,1655,0,0,345,0,0,0,2000,0,0,0,0
4,42,benign:MySQL,2000,2000,0,0,0,0,0,0,2000,0,0,0,0
4,42,benign:Outlook,2000,2000,0,0,0,0,0,0,2000,0,0,0,0
4,42,benign:SMB,2000,245,76,530,1149,606,525,0,1475,525,525,530,76
4,42,benign:Skype,2000,1309,691,0,0,691,684,684,1316,0,-684,0,691
4,42,malware:Cridex,2000,2000,0,0,0,0,0,0,2000,0,0,0,0
4,42,malware:Neris,2000,1982,6,5,7,11,6,1,1994,5,4,5,6
4,42,malware:Shifu,2000,1978,2,20,0,22,0,0,2000,0,0,20,2
4,42,malware:Tinba,2000,1781,219,0,0,219,8,8,1992,0,-8,0,219
4,42,malware:Virut,2000,1993,0,3,4,3,3,0,1997,3,3,3,0
4,42,malware:Zeus,2000,1881,118,0,1,118,11,11,1989,0,-11,0,118
