group,folds_present,rows,both_correct,only_temporal_correct,only_stats_correct,both_wrong,expert_disagreement,equal_average_switches,delta_minus1_D,delta_0,delta_plus1_C,C_minus_D,oracle_temporal_to_stats,oracle_stats_to_temporal
benign:BitTorrent,3,6000,6000,0,0,0,0,0,0,6000,0,0,0,0
benign:FTP,4,8000,4489,1933,118,1460,2051,866,819,7134,47,-772,118,1933
benign:Facetime,2,4000,2001,54,0,1945,54,54,54,3946,0,-54,0,54
benign:Gmail,4,8000,7715,222,54,9,276,12,0,7988,12,12,54,222
benign:MySQL,3,6000,3749,1971,0,280,1971,0,0,6000,0,0,0,1971
benign:Outlook,3,6000,6000,0,0,0,0,0,0,6000,0,0,0,0
benign:SMB,4,8000,5960,150,590,1300,740,583,16,7417,567,551,590,150
benign:Skype,4,8000,2443,4272,0,1285,4272,2973,2973,5027,0,-2973,0,4272
benign:Weibo,2,4000,3997,3,0,0,3,0,0,4000,0,0,0,3
benign:WorldOfWarcraft,1,2000,10,1984,2,4,1986,1,0,1999,1,1,2,1984
malware:Cridex,4,8000,8000,0,0,0,0,0,0,8000,0,0,0,0
malware:Geodo,2,4000,3993,4,3,0,7,3,1,3997,2,1,3,4
malware:Htbot,3,6000,5466,425,22,87,447,68,46,5932,22,-24,22,425
malware:Miuref,3,6000,5872,106,0,22,106,0,0,6000,0,0,0,106
malware:Neris,2,4000,3943,34,11,12,45,12,1,3988,11,10,11,34
malware:Nsis-ay,3,6000,5274,352,275,99,627,576,307,5424,269,-38,275,352
malware:Shifu,3,6000,5976,4,20,0,24,1,1,5999,0,-1,20,4
malware:Tinba,4,8000,7780,219,0,1,219,8,8,7992,0,-8,0,219
malware:Virut,3,6000,5982,9,4,5,13,3,0,5997,3,3,4,9
malware:Zeus,3,6000,3964,2030,2,4,2032,126,124,5874,2,-122,2,2030
