fold,seed,policy,representation,target_budget,budget,rows,simulated_second_calls,effective_budget,call_rate,mean_score_acquired,C_D_reference,budget_semantics,macro_f1,malicious_recall,false_positive_rate,tn,fp,fn,tp,C,D,C_minus_D,utility_lambda_0_0,utility_lambda_0_01,utility_lambda_0_05,group
0,42,confidence_budget,v60_rule,1.0,1.0,2000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,0.0,0.0,benign:Weibo
0,42,confidence_budget,v60_rule,1.0,1.0,2000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,0.0,0.0,0.0,malware:Virut
0,42,hashrandom_budget,v60_rule,1.0,1.0,2000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,0.0,0.0,benign:Weibo
0,42,hashrandom_budget,v60_rule,1.0,1.0,2000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,0.0,0.0,0.0,malware:Virut
0,42,probability_only_gain_classifier,v60_rule_or_gain,1.0,1.0,2000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,0.0,0.0,benign:Weibo
0,42,probability_only_gain_classifier,v60_rule_or_gain,1.0,1.0,2000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,0.0,0.0,0.0,malware:Virut
0,42,post_first_temporal_gain_classifier,v60_rule_or_gain,1.0,1.0,2000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,0.0,0.0,benign:Weibo
0,42,post_first_temporal_gain_classifier,v60_rule_or_gain,1.0,1.0,2000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,0.0,0.0,0.0,malware:Virut
0,42,probability_only_gain_regression,v60_rule_or_gain,1.0,1.0,2000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,0.0,0.0,benign:Weibo
0,42,probability_only_gain_regression,v60_rule_or_gain,1.0,1.0,2000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,0.0,0.0,0.0,malware:Virut
0,42,post_first_temporal_gain_regression,v60_rule_or_gain,1.0,1.0,2000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,0.0,0.0,benign:Weibo
0,42,post_first_temporal_gain_regression,v60_rule_or_gain,1.0,1.0,2000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,0.0,0.0,0.0,malware:Virut
0,42,confidence_budget,v60_rule,1.1,1.1,2000,13,1.0065,0.0065,0.0,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,-6.500000000000001e-05,-0.000325,benign:Weibo
0,42,confidence_budget,v60_rule,1.1,1.1,2000,387,1.1935,0.1935,0.0,first_temporal,exact_quota,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,0.0,-0.001935,-0.009675000000000001,malware:Virut
0,42,hashrandom_budget,v60_rule,1.1,1.1,2000,185,1.0925,0.0925,0.0,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,-0.000925,-0.004625,benign:Weibo
0,42,hashrandom_budget,v60_rule,1.1,1.1,2000,215,1.1075,0.1075,0.0,first_temporal,exact_quota,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,0.0,-0.001075,-0.005375,malware:Virut
0,42,probability_only_gain_classifier,v60_rule_or_gain,1.1,1.1,2000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,0.0,0.0,benign:Weibo
0,42,probability_only_gain_classifier,v60_rule_or_gain,1.1,1.1,2000,400,1.2,0.2,6.60754806145125e-05,first_temporal,exact_quota,0.49987496874218557,0.9995,0.0,0,0,1,1999,0,0,0,0.0,-0.002,-0.01,malware:Virut
0,42,post_first_temporal_gain_classifier,v60_rule_or_gain,1.1,1.1,2000,273,1.1365,0.1365,9.785259887571436e-06,first_temporal,exact_quota,0.5,0.0,0.0,2000,0,0,0,0,0,0,0.0,-0.001365,-0.006825,benign:Weibo
