fold,representation,fit_rows,features,fit_seconds,n_iter,n_trees_per_iteration,model_bytes,classes
0,probability_only_3d,24000,3,0.4783006000000114,100,3,282736,"[-1, 0, 1]"
0,post_first_temporal_43d,24000,43,1.3004340999998476,100,3,345862,"[-1, 0, 1]"
1,probability_only_3d,24000,3,0.31557889999999134,100,3,282512,"[-1, 0, 1]"
1,post_first_temporal_43d,24000,43,1.6035233000000062,100,3,344070,"[-1, 0, 1]"
2,probability_only_3d,24000,3,0.3561293000000205,100,3,282736,"[-1, 0, 1]"
2,post_first_temporal_43d,24000,43,1.3642479000000094,100,3,348214,"[-1, 0, 1]"
3,probability_only_3d,24000,3,0.2871423000001414,100,3,281392,"[-1, 0, 1]"
3,post_first_temporal_43d,24000,43,1.4134400999998888,100,3,348102,"[-1, 0, 1]"
4,probability_only_3d,24000,3,0.36515540000004876,100,3,282624,"[-1, 0, 1]"
4,post_first_temporal_43d,24000,43,1.5837805999999546,100,3,343382,"[-1, 0, 1]"
