fold,seed,policy,representation,target_budget,budget,rows,simulated_second_calls,effective_budget,call_rate,mean_score_acquired,C_D_reference,budget_semantics,macro_f1,malicious_recall,false_positive_rate,tn,fp,fn,tp,C,D,C_minus_D,utility_lambda_0_0,utility_lambda_0_01,utility_lambda_0_05,mean_delta
0,42,all_average,v60_baseline,1.0,1.0,4000,4000,2.0,1.0,0.0,first_temporal,repeated_reference_panel,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.01,-0.05,0.0
0,42,all_average,v60_baseline,1.1,1.1,4000,4000,2.0,1.0,0.0,first_temporal,repeated_reference_panel,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.01,-0.05,0.0
0,42,all_average,v60_baseline,1.25,1.25,4000,4000,2.0,1.0,0.0,first_temporal,repeated_reference_panel,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.01,-0.05,0.0
0,42,all_average,v60_baseline,1.5,1.5,4000,4000,2.0,1.0,0.0,first_temporal,repeated_reference_panel,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.01,-0.05,0.0
0,42,all_average,v60_baseline,2.0,2.0,4000,4000,2.0,1.0,0.0,first_temporal,repeated_reference_panel,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.01,-0.05,0.0
0,42,confidence_budget,v60_rule,1.0,1.0,4000,0,1.0,0.0,0.0,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,0.0,0.0,0.0
0,42,confidence_budget,v60_rule,1.1,1.1,4000,400,1.1,0.1,0.0,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.001,-0.005000000000000001,0.0
0,42,confidence_budget,v60_rule,1.25,1.25,4000,1000,1.25,0.25,0.0,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.0025,-0.0125,0.0
0,42,confidence_budget,v60_rule,1.5,1.5,4000,2000,1.5,0.5,0.0,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.005,-0.025,0.0
0,42,confidence_budget,v60_rule,2.0,2.0,4000,4000,2.0,1.0,0.0,first_temporal,exact_quota,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,-0.01,-0.05,0.0
0,42,first_stats,v60_baseline,1.0,1.0,4000,0,1.0,0.0,0.0,first_temporal,repeated_reference_panel,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,0.0,0.0,0.0
0,42,first_stats,v60_baseline,1.1,1.1,4000,0,1.0,0.0,0.0,first_temporal,repeated_reference_panel,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,0.0,0.0,0.0
0,42,first_stats,v60_baseline,1.25,1.25,4000,0,1.0,0.0,0.0,first_temporal,repeated_reference_panel,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,0.0,0.0,0.0
0,42,first_stats,v60_baseline,1.5,1.5,4000,0,1.0,0.0,0.0,first_temporal,repeated_reference_panel,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,0.0,0.0,0.0
0,42,first_stats,v60_baseline,2.0,2.0,4000,0,1.0,0.0,0.0,first_temporal,repeated_reference_panel,0.9997499999843752,0.9995,0.0,2000,0,1,1999,0,0,0,0.0,0.0,0.0,0.0
