fold,arm,rows,C,D,net,simulated_second_calls,macro_f1,errors,response_status,fallback_used,api_wall_seconds
0,confidence,64,0,0,0,6,0.983702571937866,1,local_reference,False,
0,same_card_rule,64,0,0,0,6,0.983702571937866,1,local_reference,False,
0,hash_random,64,0,0,0,6,0.983702571937866,1,local_reference,False,
0,first_only,64,0,0,0,0,0.983702571937866,1,local_reference,False,
0,all_average,64,0,0,0,64,0.983702571937866,1,local_reference,False,
0,direct,64,0,0,0,6,0.983702571937866,1,valid,False,18.31091749999996
0,atomic,64,0,0,0,6,0.983702571937866,1,valid,False,76.46062780000011
1,confidence,64,0,2,-2,6,0.9227053140096618,4,local_reference,False,
1,same_card_rule,64,0,1,-1,6,0.9410138248847926,3,local_reference,False,
1,hash_random,64,0,0,0,6,0.9599499374217773,2,local_reference,False,
1,first_only,64,0,0,0,0,0.9599499374217773,2,local_reference,False,
1,all_average,64,2,2,0,64,0.9599499374217773,2,local_reference,False,
1,direct,64,0,0,0,6,0.9599499374217773,2,valid,False,13.405564400000003
1,atomic,64,0,1,-1,6,0.9410138248847926,3,invalid_or_transport_failure,True,90.32403199999999
2,confidence,64,0,0,0,6,0.9831888626214866,1,local_reference,False,
2,same_card_rule,64,0,0,0,6,0.9831888626214866,1,local_reference,False,
2,hash_random,64,0,0,0,6,0.9831888626214866,1,local_reference,False,
2,first_only,64,0,0,0,0,0.9831888626214866,1,local_reference,False,
2,all_average,64,0,0,0,64,0.9831888626214866,1,local_reference,False,
2,direct,64,0,0,0,6,0.9831888626214866,1,valid,False,4.081952400000091
2,atomic,64,0,0,0,6,0.9831888626214866,1,invalid_or_transport_failure,True,90.38313689999995
3,confidence,64,6,0,6,6,0.341991341991342,38,local_reference,False,
3,same_card_rule,64,6,0,6,6,0.341991341991342,38,local_reference,False,
3,hash_random,64,0,0,0,6,0.27794871794871795,44,local_reference,False,
3,first_only,64,0,0,0,0,0.27794871794871795,44,local_reference,False,
3,all_average,64,32,0,32,64,0.6121212121212121,12,local_reference,False,
3,direct,64,6,0,6,6,0.341991341991342,38,valid,False,3.065908199999967
3,atomic,64,6,0,6,6,0.341991341991342,38,invalid_or_transport_failure,True,91.51890509999998
4,confidence,64,1,0,1,6,1.0,0,local_reference,False,
4,same_card_rule,64,0,0,0,6,0.9840597758405978,1,local_reference,False,
4,hash_random,64,0,0,0,6,0.9840597758405978,1,local_reference,False,
4,first_only,64,0,0,0,0,0.9840597758405978,1,local_reference,False,
4,all_average,64,1,0,1,64,1.0,0,local_reference,False,
4,direct,64,0,0,0,6,0.9840597758405978,1,valid,False,10.600844899999856
4,atomic,64,0,0,0,6,0.9840597758405978,1,valid,False,48.62627489999977
