fold,policy,representation,target_budget,budget,rows,simulated_second_calls,effective_budget,call_rate,C_D_reference,budget_semantics,scope,macro_f1,malicious_recall,false_positive_rate,tn,fp,fn,tp,C,D,C_minus_D,mean_delta,utility_lambda_0_0,utility_lambda_0_01,utility_lambda_0_05
0,probability_only_gain_regression,frozen_gain_model,1.0,1.0,8000,0,1.0,0.0,first_temporal,exact_quota,outer_role_re-evaluation; no refit,0.9994999999687499,0.99975,0.00075,3997,3,1,3999,0,0,0,0.0,0.0,0.0,0.0
0,probability_only_gain_regression,frozen_gain_model,1.1,1.1,8000,800,1.1,0.1,first_temporal,exact_quota,outer_role_re-evaluation; no refit,0.9994999999687499,0.99975,0.00075,3997,3,1,3999,0,0,0,0.0,0.0,-0.001,-0.005000000000000001
0,probability_only_gain_regression,frozen_gain_model,1.25,1.25,8000,2000,1.25,0.25,first_temporal,exact_quota,outer_role_re-evaluation; no refit,0.9994999999687499,0.99975,0.00075,3997,3,1,3999,0,0,0,0.0,0.0,-0.0025,-0.0125
0,probability_only_gain_regression,frozen_gain_model,1.5,1.5,8000,4000,1.5,0.5,first_temporal,exact_quota,outer_role_re-evaluation; no refit,0.9994999999687499,0.99975,0.00075,3997,3,1,3999,0,0,0,0.0,0.0,-0.005,-0.025
0,probability_only_gain_regression,frozen_gain_model,2.0,2.0,8000,8000,2.0,1.0,first_temporal,exact_quota,outer_role_re-evaluation; no refit,0.999874999998047,0.99975,0.0,4000,0,1,3999,3,0,3,0.000375,0.000375,-0.009625,-0.049625
0,probability_only_gain_regression_positive_stop,frozen_gain_model,,,8000,3998,1.4997500000000001,0.49975,first_temporal,positive_score_stop,outer_role_re-evaluation; no refit,0.9994999999687499,0.99975,0.00075,3997,3,1,3999,0,0,0,0.0,0.0,-0.0049975,-0.024987500000000003
0,post_first_temporal_gain_regression,frozen_gain_model,1.0,1.0,8000,0,1.0,0.0,first_temporal,exact_quota,outer_role_re-evaluation; no refit,0.9994999999687499,0.99975,0.00075,3997,3,1,3999,0,0,0,0.0,0.0,0.0,0.0
0,post_first_temporal_gain_regression,frozen_gain_model,1.1,1.1,8000,800,1.1,0.1,first_temporal,exact_quota,outer_role_re-evaluation; no refit,0.999874999998047,0.99975,0.0,4000,0,1,3999,3,0,3,0.000375,0.000375,-0.000625,-0.004625000000000001
0,post_first_temporal_gain_regression,frozen_gain_model,1.25,1.25,8000,2000,1.25,0.25,first_temporal,exact_quota,outer_role_re-evaluation; no refit,0.999874999998047,0.99975,0.0,4000,0,1,3999,3,0,3,0.000375,0.000375,-0.002125,-0.012125
0,post_first_temporal_gain_regression,frozen_gain_model,1.5,1.5,8000,4000,1.5,0.5,first_temporal,exact_quota,outer_role_re-evaluation; no refit,0.999874999998047,0.99975,0.0,4000,0,1,3999,3,0,3,0.000375,0.000375,-0.004625,-0.024625
0,post_first_temporal_gain_regression,frozen_gain_model,2.0,2.0,8000,8000,2.0,1.0,first_temporal,exact_quota,outer_role_re-evaluation; no refit,0.999874999998047,0.99975,0.0,4000,0,1,3999,3,0,3,0.000375,0.000375,-0.009625,-0.049625
