group,policy,representation,target_budget,budget,rows,simulated_second_calls,C,D,C_minus_D,tn,fp,fn,tp,effective_budget,call_rate,mean_delta,malicious_recall,false_positive_rate
benign:BitTorrent,all_average,frozen_rule,1.0,1.0,2000,2000,0,0,0,2000,0,0,0,2.0,1.0,0.0,,0.0
benign:BitTorrent,all_average,frozen_rule,1.1,1.1,2000,2000,0,0,0,2000,0,0,0,2.0,1.0,0.0,,0.0
benign:BitTorrent,all_average,frozen_rule,1.25,1.25,2000,2000,0,0,0,2000,0,0,0,2.0,1.0,0.0,,0.0
benign:BitTorrent,all_average,frozen_rule,1.5,1.5,2000,2000,0,0,0,2000,0,0,0,2.0,1.0,0.0,,0.0
benign:BitTorrent,all_average,frozen_rule,2.0,2.0,2000,2000,0,0,0,2000,0,0,0,2.0,1.0,0.0,,0.0
benign:BitTorrent,confidence_budget,frozen_rule,1.0,1.0,2000,0,0,0,0,2000,0,0,0,1.0,0.0,0.0,,0.0
benign:BitTorrent,confidence_budget,frozen_rule,1.1,1.1,2000,5,0,0,0,2000,0,0,0,1.0025,0.0025,0.0,,0.0
benign:BitTorrent,confidence_budget,frozen_rule,1.25,1.25,2000,5,0,0,0,2000,0,0,0,1.0025,0.0025,0.0,,0.0
benign:BitTorrent,confidence_budget,frozen_rule,1.5,1.5,2000,7,0,0,0,2000,0,0,0,1.0035,0.0035,0.0,,0.0
benign:BitTorrent,confidence_budget,frozen_rule,2.0,2.0,2000,2000,0,0,0,2000,0,0,0,2.0,1.0,0.0,,0.0
benign:BitTorrent,first_stats,frozen_rule,1.0,1.0,2000,0,0,0,0,2000,0,0,0,1.0,0.0,0.0,,0.0
benign:BitTorrent,first_stats,frozen_rule,1.1,1.1,2000,0,0,0,0,2000,0,0,0,1.0,0.0,0.0,,0.0
benign:BitTorrent,first_stats,frozen_rule,1.25,1.25,2000,0,0,0,0,2000,0,0,0,1.0,0.0,0.0,,0.0
benign:BitTorrent,first_stats,frozen_rule,1.5,1.5,2000,0,0,0,0,2000,0,0,0,1.0,0.0,0.0,,0.0
benign:BitTorrent,first_stats,frozen_rule,2.0,2.0,2000,0,0,0,0,2000,0,0,0,1.0,0.0,0.0,,0.0
benign:BitTorrent,first_temporal,frozen_rule,1.0,1.0,2000,0,0,0,0,2000,0,0,0,1.0,0.0,0.0,,0.0
benign:BitTorrent,first_temporal,frozen_rule,1.1,1.1,2000,0,0,0,0,2000,0,0,0,1.0,0.0,0.0,,0.0
benign:BitTorrent,first_temporal,frozen_rule,1.25,1.25,2000,0,0,0,0,2000,0,0,0,1.0,0.0,0.0,,0.0
benign:BitTorrent,first_temporal,frozen_rule,1.5,1.5,2000,0,0,0,0,2000,0,0,0,1.0,0.0,0.0,,0.0
benign:BitTorrent,first_temporal,frozen_rule,2.0,2.0,2000,0,0,0,0,2000,0,0,0,1.0,0.0,0.0,,0.0
benign:BitTorrent,hashrandom_budget,frozen_rule,1.0,1.0,2000,0,0,0,0,2000,0,0,0,1.0,0.0,0.0,,0.0
benign:BitTorrent,hashrandom_budget,frozen_rule,1.1,1.1,2000,192,0,0,0,2000,0,0,0,1.096,0.096,0.0,,0.0
