policy,representation,target_budget,budget,rows,simulated_second_calls,C,D,C_minus_D,tn,fp,fn,tp,effective_budget,call_rate,mean_delta,macro_f1,malicious_recall,false_positive_rate,utility_lambda_0_0,utility_lambda_0_01,utility_lambda_0_05
all_average,frozen_rule,1.0,1.0,40000,40000,128,193,-65,17364,2636,286,19714,2.0,1.0,-0.001625,0.9266969900798223,0.9857,0.1318,-0.001625,-0.011625,-0.051625000000000004
all_average,frozen_rule,1.1,1.1,40000,40000,128,193,-65,17364,2636,286,19714,2.0,1.0,-0.001625,0.9266969900798223,0.9857,0.1318,-0.001625,-0.011625,-0.051625000000000004
all_average,frozen_rule,1.25,1.25,40000,40000,128,193,-65,17364,2636,286,19714,2.0,1.0,-0.001625,0.9266969900798223,0.9857,0.1318,-0.001625,-0.011625,-0.051625000000000004
all_average,frozen_rule,1.5,1.5,40000,40000,128,193,-65,17364,2636,286,19714,2.0,1.0,-0.001625,0.9266969900798223,0.9857,0.1318,-0.001625,-0.011625,-0.051625000000000004
all_average,frozen_rule,2.0,2.0,40000,40000,128,193,-65,17364,2636,286,19714,2.0,1.0,-0.001625,0.9266969900798223,0.9857,0.1318,-0.001625,-0.011625,-0.051625000000000004
confidence_budget,frozen_rule,1.0,1.0,40000,0,0,0,0,17399,2601,256,19744,1.0,0.0,0.0,0.9283286734898359,0.9872,0.13005,0.0,0.0,0.0
confidence_budget,frozen_rule,1.1,1.1,40000,4000,123,187,-64,17365,2635,286,19714,1.1,0.1,-0.0016,0.92672229262059,0.9857,0.13175,-0.0016,-0.0026,-0.006600000000000001
confidence_budget,frozen_rule,1.25,1.25,40000,10000,128,188,-60,17365,2635,282,19718,1.25,0.25,-0.0015,0.9268217754897328,0.9859,0.13175,-0.0015,-0.004,-0.014
confidence_budget,frozen_rule,1.5,1.5,40000,20000,128,189,-61,17364,2636,282,19718,1.5,0.5,-0.001525,0.9267964725763944,0.9859,0.1318,-0.001525,-0.006525,-0.026525
confidence_budget,frozen_rule,2.0,2.0,40000,40000,128,193,-65,17364,2636,286,19714,2.0,1.0,-0.001625,0.9266969900798223,0.9857,0.1318,-0.001625,-0.011625,-0.051625000000000004
first_stats,frozen_rule,1.0,1.0,40000,0,208,2885,-2677,15083,4917,617,19383,1.0,0.0,-0.066925,0.8600325005848841,0.96915,0.24585,-0.066925,-0.066925,-0.066925
first_stats,frozen_rule,1.1,1.1,40000,0,208,2885,-2677,15083,4917,617,19383,1.0,0.0,-0.066925,0.8600325005848841,0.96915,0.24585,-0.066925,-0.066925,-0.066925
first_stats,frozen_rule,1.25,1.25,40000,0,208,2885,-2677,15083,4917,617,19383,1.0,0.0,-0.066925,0.8600325005848841,0.96915,0.24585,-0.066925,-0.066925,-0.066925
first_stats,frozen_rule,1.5,1.5,40000,0,208,2885,-2677,15083,4917,617,19383,1.0,0.0,-0.066925,0.8600325005848841,0.96915,0.24585,-0.066925,-0.066925,-0.066925
first_stats,frozen_rule,2.0,2.0,40000,0,208,2885,-2677,15083,4917,617,19383,1.0,0.0,-0.066925,0.8600325005848841,0.96915,0.24585,-0.066925,-0.066925,-0.066925
first_temporal,frozen_rule,1.0,1.0,40000,0,0,0,0,17399,2601,256,19744,1.0,0.0,0.0,0.9283286734898359,0.9872,0.13005,0.0,0.0,0.0
first_temporal,frozen_rule,1.1,1.1,40000,0,0,0,0,17399,2601,256,19744,1.0,0.0,0.0,0.9283286734898359,0.9872,0.13005,0.0,0.0,0.0
first_temporal,frozen_rule,1.25,1.25,40000,0,0,0,0,17399,2601,256,19744,1.0,0.0,0.0,0.9283286734898359,0.9872,0.13005,0.0,0.0,0.0
first_temporal,frozen_rule,1.5,1.5,40000,0,0,0,0,17399,2601,256,19744,1.0,0.0,0.0,0.9283286734898359,0.9872,0.13005,0.0,0.0,0.0
first_temporal,frozen_rule,2.0,2.0,40000,0,0,0,0,17399,2601,256,19744,1.0,0.0,0.0,0.9283286734898359,0.9872,0.13005,0.0,0.0,0.0
hashrandom_budget,frozen_rule,1.0,1.0,40000,0,0,0,0,17399,2601,256,19744,1.0,0.0,0.0,0.9283286734898359,0.9872,0.13005,0.0,0.0,0.0
hashrandom_budget,frozen_rule,1.1,1.1,40000,4000,12,25,-13,17390,2610,260,19740,1.1,0.1,-0.000325,0.9280014926519816,0.987,0.1305,-0.000325,-0.001325,-0.005325000000000001
