round,prefix_packets,method,capture_count,root_wall_total_ns,root_wall_median_ns,root_wall_min_ns,root_wall_max_ns,coordination_total_ns,fusion_total_ns,prefix_materialization_total_ns,source_parse_total_ns,stats_feature_total_ns,stats_inference_total_ns,temporal_feature_total_ns,temporal_inference_total_ns,stage_sum_ns,residual_ns,stage_sum_le_root
0,8,allavg,5,4219251800,840174800,834875600,856106700,0,473400,373845600,3242475300,30388300,28423300,498004100,32280200,4205890200,13361600,True
0,8,fixed_low_confidence,5,4602238200,917125800,868660000,965707000,407400,315100,388557000,3632438700,0,0,538269000,30234000,4590221200,12017000,True
0,8,stats,5,3815253900,738222700,685632800,910458700,0,0,381427600,3369100900,28351700,25911800,0,0,3804792000,10461900,True
0,8,temporal,5,4060881500,805955900,777207700,849301200,0,0,345667600,3257043500,0,0,421212300,26443100,4050366500,10515000,True
0,16,allavg,5,4823096600,984602600,877393400,999898600,0,498800,391739700,3782818800,31591600,26913400,546148900,30603500,4810314700,12781900,True
0,16,fixed_low_confidence,5,4267354100,858241400,812236100,893771100,401200,302200,392649100,3379302500,0,0,453387700,29577600,4255620300,11733800,True
0,16,stats,5,3816335600,768429700,714552900,832747000,0,0,341489200,3408918800,29427700,25932300,0,0,3805768000,10567600,True
0,16,temporal,5,4496227300,880209900,747126400,1051891800,0,0,372212500,3587083100,0,0,497541000,27661100,4484497700,11729600,True
1,8,allavg,5,4108073300,821675800,772749900,856967400,0,442400,357862300,3219547800,26346200,24420000,440637800,27080000,4096336500,11736800,True
1,8,fixed_low_confidence,5,4064096200,823290900,762075300,844591200,421400,301500,371738000,3201234800,0,0,450082300,27869000,4051647000,12449200,True
1,8,stats,5,4107499400,782454500,744260900,989210200,0,0,359706200,3674417100,32620800,29236100,0,0,4095980200,11519200,True
1,8,temporal,5,4325634500,861419700,780789200,940719400,0,0,376636000,3444929000,0,0,465020300,27784200,4314369500,11265000,True
1,16,allavg,5,4419895700,935052900,784293800,963619300,0,456000,390678700,3479888700,28365200,23870100,457439700,27277500,4407975900,11919800,True
1,16,fixed_low_confidence,5,3930818800,783740300,775448700,802901200,355700,276700,329490100,3159179600,0,0,404706500,26302200,3920310800,10508000,True
1,16,stats,5,3796608000,743086900,711415400,879813400,0,0,325436000,3404912700,30153600,25517200,0,0,3786019500,10588500,True
1,16,temporal,5,4271082900,834090600,766268200,982880600,0,0,410471300,3342304200,0,0,477716000,27979700,4258471200,12611700,True
2,8,allavg,5,4154332200,826017700,766396400,884978500,0,439300,358937200,3253356200,27930200,23523500,450714900,26825500,4141726800,12605400,True
2,8,fixed_low_confidence,5,3904370300,778356200,738270400,821868000,364500,282100,302688900,3141482300,0,0,422603300,26144200,3893565300,10805000,True
2,8,stats,5,3997359300,790230500,775331600,826221000,0,0,397561700,3526360300,34948900,26705200,0,0,3985576100,11783200,True
2,8,temporal,5,4128969400,804913300,784728300,904504800,0,0,375524000,3253180500,0,0,459002400,28763300,4116470200,12499200,True
2,16,allavg,5,3957604900,796297000,726532700,852425800,0,460000,342933400,3108115700,30031500,23569100,414793500,26676300,3946579500,11025400,True
2,16,fixed_low_confidence,5,4153182200,834302100,767730500,887307200,381500,315600,364288800,3299211500,0,0,450951100,26617800,4141766300,11415900,True
2,16,stats,5,4184036100,846341600,761835800,917895800,0,0,384127000,3728242100,31856700,28042500,0,0,4172268300,11767800,True
2,16,temporal,5,4351929100,851766400,833625700,927671900,0,0,392970400,3393136900,0,0,520662500,31761700,4338531500,13397600,True
