fold,group,method,coverage_target,accepted_rows,total_rows,coverage,accepted_error_count,accepted_error,malicious_correct_detected,malicious_missed,malicious_refused,normal_refused,base_pavg_malicious_correct_full,base_pavg_malicious_missed_full
0,__ALL__,risk_pavg,0.5,2000,4000,0.5,0,0.0,88,1912,1912,88,1999,1
0,__ALL__,risk_pavg,0.7,2800,4000,0.7,1,0.00035714285714285714,803,1197,1196,4,1999,1
0,__ALL__,risk_pavg,0.8,3200,4000,0.8,1,0.0003125,1203,797,796,4,1999,1
0,__ALL__,risk_pavg,0.9,3600,4000,0.9,1,0.0002777777777777778,1603,397,396,4,1999,1
0,__ALL__,risk_pavg,0.95,3800,4000,0.95,1,0.0002631578947368421,1803,197,196,4,1999,1
0,__ALL__,risk_pavg,1.0,4000,4000,1.0,1,0.00025,1999,1,0,0,1999,1
0,__ALL__,risk_disagreement,0.5,2000,4000,0.5,0,0.0,269,1731,1731,269,1999,1
0,__ALL__,risk_disagreement,0.7,2800,4000,0.7,1,0.00035714285714285714,803,1197,1196,4,1999,1
0,__ALL__,risk_disagreement,0.8,3200,4000,0.8,1,0.0003125,1203,797,796,4,1999,1
0,__ALL__,risk_disagreement,0.9,3600,4000,0.9,1,0.0002777777777777778,1603,397,396,4,1999,1
0,__ALL__,risk_disagreement,0.95,3800,4000,0.95,1,0.0002631578947368421,1803,197,196,4,1999,1
0,__ALL__,risk_disagreement,1.0,4000,4000,1.0,1,0.00025,1999,1,0,0,1999,1
0,__ALL__,risk_hgb,0.5,2000,4000,0.5,0,0.0,383,1617,1617,383,1999,1
0,__ALL__,risk_hgb,0.7,2800,4000,0.7,1,0.00035714285714285714,799,1201,1200,0,1999,1
0,__ALL__,risk_hgb,0.8,3200,4000,0.8,1,0.0003125,1199,801,800,0,1999,1
0,__ALL__,risk_hgb,0.9,3600,4000,0.9,1,0.0002777777777777778,1599,401,400,0,1999,1
0,__ALL__,risk_hgb,0.95,3800,4000,0.95,1,0.0002631578947368421,1799,201,200,0,1999,1
0,__ALL__,risk_hgb,1.0,4000,4000,1.0,1,0.00025,1999,1,0,0,1999,1
0,benign:Weibo,risk_pavg,0.5,1000,2000,0.5,0,0.0,0,0,0,1000,0,0
0,benign:Weibo,risk_pavg,0.7,1400,2000,0.7,0,0.0,0,0,0,600,0,0
0,benign:Weibo,risk_pavg,0.8,1600,2000,0.8,0,0.0,0,0,0,400,0,0
0,benign:Weibo,risk_pavg,0.9,1800,2000,0.9,0,0.0,0,0,0,200,0,0
0,benign:Weibo,risk_pavg,0.95,1900,2000,0.95,0,0.0,0,0,0,100,0,0
0,benign:Weibo,risk_pavg,1.0,2000,2000,1.0,0,0.0,0,0,0,0,0,0
0,benign:Weibo,risk_disagreement,0.5,1000,2000,0.5,0,0.0,0,0,0,1000,0,0
0,benign:Weibo,risk_disagreement,0.7,1400,2000,0.7,0,0.0,0,0,0,600,0,0
