fold,method,aurc
0,risk_pavg,0.00012914787278296873
0,risk_disagreement,0.00012988224174338857
0,risk_hgb,0.00015963681658140617
1,risk_pavg,9.255659946439974e-05
1,risk_disagreement,0.0001387127958250472
1,risk_hgb,0.0016816586082914577
2,risk_pavg,3.316422092213446e-05
2,risk_disagreement,3.20961475303511e-05
2,risk_hgb,1.0921276675706962e-05
3,risk_pavg,0.11367487642941869
3,risk_disagreement,0.11367487642941869
3,risk_hgb,0.11266152964871273
4,risk_pavg,0.0
4,risk_disagreement,0.0
4,risk_hgb,0.0
