fold,method,coverage,selective_error
0,risk_pavg,0.5,0.0
0,risk_pavg,0.7,0.00035714285714285714
0,risk_pavg,0.8,0.0003125
0,risk_pavg,0.9,0.0002777777777777778
0,risk_pavg,0.95,0.0002631578947368421
0,risk_pavg,1.0,0.00025
0,risk_disagreement,0.5,0.0
0,risk_disagreement,0.7,0.00035714285714285714
0,risk_disagreement,0.8,0.0003125
0,risk_disagreement,0.9,0.0002777777777777778
0,risk_disagreement,0.95,0.0002631578947368421
0,risk_disagreement,1.0,0.00025
0,risk_hgb,0.5,0.0
0,risk_hgb,0.7,0.00035714285714285714
0,risk_hgb,0.8,0.0003125
0,risk_hgb,0.9,0.0002777777777777778
0,risk_hgb,0.95,0.0002631578947368421
0,risk_hgb,1.0,0.00025
1,risk_pavg,0.5,0.0
1,risk_pavg,0.7,0.0
1,risk_pavg,0.8,0.0
1,risk_pavg,0.9,0.0
1,risk_pavg,0.95,0.0010526315789473684
1,risk_pavg,1.0,0.003
1,risk_disagreement,0.5,0.0
1,risk_disagreement,0.7,0.0
1,risk_disagreement,0.8,0.0
1,risk_disagreement,0.9,0.0011111111111111111
1,risk_disagreement,0.95,0.0010526315789473684
1,risk_disagreement,1.0,0.003
1,risk_hgb,0.5,0.002
1,risk_hgb,0.7,0.0014285714285714286
1,risk_hgb,0.8,0.00125
1,risk_hgb,0.9,0.0011111111111111111
1,risk_hgb,0.95,0.0010526315789473684
1,risk_hgb,1.0,0.003
2,risk_pavg,0.5,0.0
2,risk_pavg,0.7,0.0
2,risk_pavg,0.8,0.0
2,risk_pavg,0.9,0.0002777777777777778
2,risk_pavg,0.95,0.0002631578947368421
2,risk_pavg,1.0,0.00025
2,risk_disagreement,0.5,0.0
2,risk_disagreement,0.7,0.0
2,risk_disagreement,0.8,0.0
2,risk_disagreement,0.9,0.0002777777777777778
2,risk_disagreement,0.95,0.0002631578947368421
2,risk_disagreement,1.0,0.00025
2,risk_hgb,0.5,0.0
2,risk_hgb,0.7,0.0
2,risk_hgb,0.8,0.0
2,risk_hgb,0.9,0.0
2,risk_hgb,0.95,0.0
2,risk_hgb,1.0,0.00025
3,risk_pavg,0.5,0.0
3,risk_pavg,0.7,0.19678571428571429
3,risk_pavg,0.8,0.2971875
3,risk_pavg,0.9,0.37527777777777777
3,risk_pavg,0.95,0.4081578947368421
3,risk_pavg,1.0,0.41375
3,risk_disagreement,0.5,0.0
3,risk_disagreement,0.7,0.19678571428571429
3,risk_disagreement,0.8,0.2971875
3,risk_disagreement,0.9,0.37527777777777777
3,risk_disagreement,0.95,0.4081578947368421
3,risk_disagreement,1.0,0.41375
3,risk_hgb,0.5,0.0
3,risk_hgb,0.7,0.19392857142857142
3,risk_hgb,0.8,0.2946875
3,risk_hgb,0.9,0.37305555555555553
3,risk_hgb,0.95,0.4060526315789474
3,risk_hgb,1.0,0.41375
4,risk_pavg,0.5,0.0
4,risk_pavg,0.7,0.0
4,risk_pavg,0.8,0.0
4,risk_pavg,0.9,0.0
4,risk_pavg,0.95,0.0
4,risk_pavg,1.0,0.0
4,risk_disagreement,0.5,0.0
4,risk_disagreement,0.7,0.0
4,risk_disagreement,0.8,0.0
4,risk_disagreement,0.9,0.0
4,risk_disagreement,0.95,0.0
4,risk_disagreement,1.0,0.0
4,risk_hgb,0.5,0.0
4,risk_hgb,0.7,0.0
4,risk_hgb,0.8,0.0
4,risk_hgb,0.9,0.0
4,risk_hgb,0.95,0.0
4,risk_hgb,1.0,0.0
