fold,group,method,rows,base_pavg_error_rate,aurc,tie_count,max_tie_size,tied_rows,base_malicious_correct_full,base_malicious_missed_full
0,__ALL__,risk_pavg,4000,0.00025,0.00012914787278296873,60,1449,3901,1999,1
0,__ALL__,risk_disagreement,4000,0.00025,0.00012988224174338857,60,1449,3901,1999,1
0,__ALL__,risk_hgb,4000,0.00025,0.00015963681658140617,14,1997,3990,1999,1
0,benign:Weibo,risk_pavg,2000,0.0,0.0,12,1097,1991,0,0
0,benign:Weibo,risk_disagreement,2000,0.0,0.0,12,1097,1991,0,0
0,benign:Weibo,risk_hgb,2000,0.0,0.0,3,1996,2000,0,0
0,malware:Virut,risk_pavg,2000,0.0005,0.0008168620980939045,48,1449,1909,1999,1
0,malware:Virut,risk_disagreement,2000,0.0005,0.0008246041839638209,48,1449,1909,1999,1
0,malware:Virut,risk_hgb,2000,0.0005,0.0008259062672971542,11,1574,1989,1999,1
1,__ALL__,risk_pavg,4000,0.003,9.255659946439974e-05,149,598,3691,1988,12
1,__ALL__,risk_disagreement,4000,0.003,0.0001387127958250472,149,598,3691,1988,12
1,__ALL__,risk_hgb,4000,0.003,0.0016816586082914577,43,1990,3967,1988,12
1,benign:MySQL,risk_pavg,2000,0.0,0.0,35,173,1989,0,0
1,benign:MySQL,risk_disagreement,2000,0.0,0.0,35,173,1989,0,0
1,benign:MySQL,risk_hgb,2000,0.0,0.0,2,1986,2000,0,0
1,malware:Neris,risk_pavg,2000,0.006,0.00036046916855885625,114,598,1702,1988,12
1,malware:Neris,risk_disagreement,2000,0.006,0.0003839602394230743,114,598,1702,1988,12
1,malware:Neris,risk_hgb,2000,0.006,0.004713554010034466,42,627,1967,1988,12
2,__ALL__,risk_pavg,4000,0.00025,3.316422092213446e-05,52,1912,3952,1999,1
2,__ALL__,risk_disagreement,4000,0.00025,3.20961475303511e-05,52,1912,3952,1999,1
2,__ALL__,risk_hgb,4000,0.00025,1.0921276675706962e-05,13,1976,3993,1999,1
2,benign:Outlook,risk_pavg,2000,0.0,0.0,9,1912,1992,0,0
2,benign:Outlook,risk_disagreement,2000,0.0,0.0,9,1912,1992,0,0
2,benign:Outlook,risk_hgb,2000,0.0,0.0,3,1976,2000,0,0
2,malware:Zeus,risk_pavg,2000,0.0005,0.00013783706807645265,43,1001,1960,1999,1
2,malware:Zeus,risk_disagreement,2000,0.0005,0.00013783706807645265,43,1001,1960,1999,1
2,malware:Zeus,risk_hgb,2000,0.0005,4.467722090039536e-05,10,1494,1993,1999,1
3,__ALL__,risk_pavg,4000,0.41375,0.11367487642941869,35,1255,3975,1999,1
3,__ALL__,risk_disagreement,4000,0.41375,0.11367487642941869,35,1255,3975,1999,1
3,__ALL__,risk_hgb,4000,0.41375,0.11266152964871273,13,1272,3996,1999,1
3,benign:Facetime,risk_pavg,2000,0.827,0.5236844157645811,4,1255,2000,0,0
3,benign:Facetime,risk_disagreement,2000,0.827,0.5236844157645811,4,1255,2000,0,0
3,benign:Facetime,risk_hgb,2000,0.827,0.5236844157645811,4,1255,2000,0,0
3,malware:Geodo,risk_pavg,2000,0.0005,1.962535262734465e-05,31,1145,1975,1999,1
3,malware:Geodo,risk_disagreement,2000,0.0005,1.962535262734465e-05,31,1145,1975,1999,1
3,malware:Geodo,risk_hgb,2000,0.0005,2.30160802031512e-05,9,1272,1996,1999,1
4,__ALL__,risk_pavg,4000,0.0,0.0,94,693,3946,2000,0
4,__ALL__,risk_disagreement,4000,0.0,0.0,94,693,3946,2000,0
4,__ALL__,risk_hgb,4000,0.0,0.0,33,1032,3984,2000,0
4,benign:Weibo,risk_pavg,2000,0.0,0.0,61,509,1966,0,0
4,benign:Weibo,risk_disagreement,2000,0.0,0.0,61,509,1966,0,0
4,benign:Weibo,risk_hgb,2000,0.0,0.0,15,873,1995,0,0
4,malware:Miuref,risk_pavg,2000,0.0,0.0,33,693,1980,2000,0
4,malware:Miuref,risk_disagreement,2000,0.0,0.0,33,693,1980,2000,0
4,malware:Miuref,risk_hgb,2000,0.0,0.0,18,1032,1989,2000,0
