method,prefix_packets,round,capture,root_seconds,residual_seconds,prefix_materialization_seconds,source_parse_seconds,temporal_feature_seconds,temporal_inference_seconds,stats_feature_seconds,stats_inference_seconds,fusion_seconds,coordination_seconds
temporal,8,0,Benign\Weibo\Weibo\Weibo-1.pcap,0.8493012,0.002285,0.0810807,0.6632575,0.0976053,0.0050727,0.0,0.0,0.0,0.0
temporal,8,0,Benign\Weibo\Weibo\Weibo-2.pcap,0.8059559,0.0022614,0.0698482,0.6280843,0.1010386,0.0047234,0.0,0.0,0.0,0.0
temporal,8,0,Benign\Weibo\Weibo\Weibo-3.pcap,0.8381294,0.0022991,0.0708572,0.6571214,0.1030783,0.0047734,0.0,0.0,0.0,0.0
temporal,8,0,Benign\Weibo\Weibo\Weibo-4.pcap,0.7902873,0.0020629,0.0615759,0.6300687,0.0920181,0.0045617,0.0,0.0,0.0,0.0
temporal,8,0,Malware\Virut\Virut.pcap,0.7772077,0.0016066,0.0623056,0.6785116,0.027472,0.0073119,0.0,0.0,0.0,0.0
temporal,16,0,Benign\Weibo\Weibo\Weibo-1.pcap,0.8802099,0.002446,0.0694817,0.6905285,0.1126664,0.0050873,0.0,0.0,0.0,0.0
temporal,16,0,Benign\Weibo\Weibo\Weibo-2.pcap,1.0184916,0.0028331,0.0765363,0.7749536,0.1580476,0.006121,0.0,0.0,0.0,0.0
temporal,16,0,Benign\Weibo\Weibo\Weibo-3.pcap,1.0518918,0.002239,0.0744128,0.8611408,0.1091564,0.0049428,0.0,0.0,0.0,0.0
temporal,16,0,Benign\Weibo\Weibo\Weibo-4.pcap,0.7985076,0.0024359,0.0696386,0.6244511,0.097124,0.004858,0.0,0.0,0.0,0.0
temporal,16,0,Malware\Virut\Virut.pcap,0.7471264,0.0017756,0.0821431,0.6360091,0.0205466,0.006652,0.0,0.0,0.0,0.0
stats,8,0,Benign\Weibo\Weibo\Weibo-1.pcap,0.7857261,0.0021578,0.0747876,0.6983509,0.0,0.0,0.0063673,0.0040625,0.0,0.0
stats,8,0,Benign\Weibo\Weibo\Weibo-2.pcap,0.6952136,0.0019745,0.0638856,0.6194201,0.0,0.0,0.0060349,0.0038985,0.0,0.0
stats,8,0,Benign\Weibo\Weibo\Weibo-3.pcap,0.7382227,0.0020327,0.0875376,0.6379983,0.0,0.0,0.0063536,0.0043005,0.0,0.0
stats,8,0,Benign\Weibo\Weibo\Weibo-4.pcap,0.6856328,0.002371,0.0612376,0.6103862,0.0,0.0,0.0069161,0.0047219,0.0,0.0
stats,8,0,Malware\Virut\Virut.pcap,0.9104587,0.0019259,0.0939792,0.8029454,0.0,0.0,0.0026798,0.0089284,0.0,0.0
stats,16,0,Benign\Weibo\Weibo\Weibo-1.pcap,0.7819526,0.0024742,0.0568532,0.709855,0.0,0.0,0.007824,0.0049462,0.0,0.0
stats,16,0,Benign\Weibo\Weibo\Weibo-2.pcap,0.7186534,0.0023053,0.0636774,0.6409542,0.0,0.0,0.0070447,0.0046718,0.0,0.0
stats,16,0,Benign\Weibo\Weibo\Weibo-3.pcap,0.7145529,0.0020885,0.0754155,0.6260525,0.0,0.0,0.006646,0.0043504,0.0,0.0
stats,16,0,Benign\Weibo\Weibo\Weibo-4.pcap,0.832747,0.0020426,0.0710309,0.7497017,0.0,0.0,0.0059364,0.0040354,0.0,0.0
stats,16,0,Malware\Virut\Virut.pcap,0.7684297,0.001657,0.0745122,0.6823554,0.0,0.0,0.0019766,0.0079285,0.0,0.0
allavg,8,0,Benign\Weibo\Weibo\Weibo-1.pcap,0.8510276,0.0024964,0.068022,0.6422574,0.1216635,0.0049146,0.0071996,0.0043569,0.0001172,0.0
allavg,8,0,Benign\Weibo\Weibo\Weibo-2.pcap,0.8401748,0.0024455,0.0644341,0.6508763,0.1062879,0.0050856,0.0066871,0.0042626,9.57e-05,0.0
allavg,8,0,Benign\Weibo\Weibo\Weibo-3.pcap,0.8561067,0.003274,0.0755255,0.6255849,0.1311158,0.0067991,0.0081179,0.0055666,0.0001229,0.0
allavg,8,0,Benign\Weibo\Weibo\Weibo-4.pcap,0.8348756,0.0025192,0.0712674,0.6402241,0.1055065,0.0047861,0.0063674,0.0041132,9.17e-05,0.0
allavg,8,0,Malware\Virut\Virut.pcap,0.8370671,0.0026265,0.0945966,0.6835326,0.0334304,0.0106948,0.0020163,0.010124,4.59e-05,0.0
allavg,16,0,Benign\Weibo\Weibo\Weibo-1.pcap,0.9660208,0.00334,0.0715186,0.7371322,0.1344537,0.0063939,0.0072759,0.0057604,0.0001461,0.0
allavg,16,0,Benign\Weibo\Weibo\Weibo-2.pcap,0.9846026,0.0027563,0.0803868,0.7423782,0.1416456,0.005281,0.0074212,0.0046274,0.0001061,0.0
allavg,16,0,Benign\Weibo\Weibo\Weibo-3.pcap,0.9951812,0.002411,0.0793172,0.7752184,0.1202105,0.0052054,0.0079982,0.0047208,9.97e-05,0.0
allavg,16,0,Benign\Weibo\Weibo\Weibo-4.pcap,0.9998986,0.0026412,0.0699802,0.7842938,0.1254666,0.0054095,0.0071917,0.0048073,0.0001083,0.0
allavg,16,0,Malware\Virut\Virut.pcap,0.8773934,0.0016334,0.0905369,0.7437962,0.0243725,0.0083137,0.0017046,0.0069975,3.86e-05,0.0
fixed_low_confidence,8,0,Benign\Weibo\Weibo\Weibo-1.pcap,0.9171258,0.002618,0.0700556,0.7272088,0.1121384,0.0049428,0.0,0.0,7.4e-05,8.82e-05
fixed_low_confidence,8,0,Benign\Weibo\Weibo\Weibo-2.pcap,0.8978753,0.0023104,0.0789826,0.6956266,0.1160306,0.0047771,0.0,0.0,6.82e-05,7.98e-05
fixed_low_confidence,8,0,Benign\Weibo\Weibo\Weibo-3.pcap,0.86866,0.0025626,0.0753086,0.6776435,0.1078811,0.0051112,0.0,0.0,6.9e-05,8.4e-05
fixed_low_confidence,8,0,Benign\Weibo\Weibo\Weibo-4.pcap,0.9528701,0.0026131,0.0789491,0.6964542,0.1686917,0.0059986,0.0,0.0,7.24e-05,9.1e-05
fixed_low_confidence,8,0,Malware\Virut\Virut.pcap,0.965707,0.0019129,0.0852611,0.8355056,0.0335272,0.0094043,0.0,0.0,3.15e-05,6.44e-05
